,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
0,227035,77.0,0,3,4.4,5.0,5.0
1,255297,76.0,0,3,5.0,5.0,5.0
2,345331,79.0,0,4,5.0,5.0,5.0
3,403721,77.0,0,9,3.7,4.8,4.8
4,634577,73.0,0,4,5.0,5.0,5.0
5,652919,60.0,0,0,0.0,0.0,0.0
6,666460,70.0,0,12,2.3,3.7,3.7
7,722212,81.0,0,5,4.5,4.7,4.7
8,724418,70.0,0,12,4.9,5.0,5.0
9,767243,75.0,0,1,4.3,4.8,4.8
10,809558,69.0,0,2,0.0,0.0,0.0
11,829130,77.0,0,8,5.0,4.4,4.4
12,832314,75.0,0,3,4.6,5.0,5.0
13,911233,72.0,0,6,5.0,5.0,5.0
14,914805,86.0,0,15,4.8,4.6,4.6
15,978388,68.0,0,2,0.0,0.0,0.0
16,1024781,72.0,0,14,4.6,4.6,4.6
17,1025932,64.0,0,0,0.0,0.0,0.0
18,1056309,70.0,0,0,0.0,0.0,0.0
19,1065807,77.0,0,3,5.0,5.0,5.0
20,1115599,78.0,1,7,5.0,5.0,5.0
21,1306021,70.0,1,1,0.0,0.0,0.0
22,1317559,77.0,1,19,4.8,4.8,4.8
23,1357365,72.0,0,4,4.7,5.0,5.0
24,1410092,66.0,0,1,0.0,0.0,0.0
25,1445291,82.0,0,9,5.0,5.0,5.0
26,1537303,82.0,1,16,4.8,4.6,4.6
27,1682006,75.0,0,4,5.0,5.0,5.0
28,1786360,61.0,0,0,0.0,0.0,0.0
29,1806980,61.0,0,2,0.0,0.0,0.0
30,1959140,66.0,0,5,5.0,5.0,5.0
31,1993353,74.0,0,4,4.4,4.6,4.6
32,1996730,74.0,0,1,4.7,5.0,5.0
33,2002283,65.0,0,1,0.0,0.0,0.0
34,2148336,77.0,0,4,4.9,5.0,5.0
35,2149848,78.0,1,6,4.2,4.3,4.3
36,2290168,60.0,0,0,0.0,0.0,0.0
37,2372726,85.0,2,9,5.0,5.0,5.0
38,2387910,51.0,0,1,0.0,0.0,0.0
39,2396768,82.0,2,27,4.8,5.0,5.0
40,2414605,80.0,0,8,5.0,5.0,5.0
41,2499036,78.0,0,8,5.0,0.0,0.0
42,2526841,70.0,0,1,0.0,0.0,0.0
43,2531868,74.0,0,4,0.0,0.0,0.0
44,2568882,79.0,0,6,4.6,4.6,4.6
45,2613397,77.0,0,5,3.6,5.0,5.0
46,2633533,75.0,0,3,4.3,4.6,4.6
47,2681117,66.0,0,1,0.0,0.0,0.0
48,2692280,82.0,0,5,4.7,0.0,0.0
49,2721901,71.0,0,7,5.0,5.0,5.0
50,2758504,83.0,0,16,4.4,5.0,5.0
51,2758931,81.0,0,7,0.0,0.0,0.0
52,2782682,88.0,1,5,5.0,5.0,5.0
53,2903944,86.0,0,9,4.8,4.7,4.7
54,2951300,70.0,0,1,0.0,0.0,0.0
55,2954975,65.0,0,0,0.0,0.0,0.0
56,2992347,73.0,0,3,5.0,5.0,5.0
57,3032292,84.0,1,30,4.8,5.0,5.0
58,3069058,75.0,0,0,0.0,0.0,0.0
59,3074868,66.0,0,0,0.0,0.0,0.0
60,3100497,73.0,0,4,4.4,4.4,4.4
61,3114586,71.0,0,3,3.0,4.3,4.3
62,3115396,80.0,0,2,4.9,5.0,5.0
63,3134500,79.0,0,9,4.3,4.7,4.7
64,3140988,75.0,1,19,4.7,4.8,4.8
65,3153483,77.0,0,1,4.4,4.3,4.3
66,3174819,52.0,0,1,0.0,0.0,0.0
67,3230734,77.0,1,18,4.2,4.7,4.7
68,3251274,79.0,0,1,5.0,5.0,5.0
69,3372458,71.0,0,2,0.0,0.0,0.0
70,3420406,73.0,0,6,0.0,0.0,0.0
71,3423829,81.0,0,5,5.0,5.0,5.0
72,3453699,71.0,0,8,5.0,5.0,5.0
73,3522148,57.0,0,0,0.0,0.0,0.0
74,3534673,45.0,0,0,0.0,0.0,0.0
75,3566834,76.0,0,5,4.8,5.0,5.0
76,3590298,60.0,0,0,0.0,0.0,0.0
77,3593644,60.0,0,0,0.0,0.0,0.0
78,3695585,78.0,0,16,4.6,4.5,4.5
79,3738967,64.0,0,3,0.0,0.0,0.0
80,3782706,79.0,0,1,4.8,5.0,5.0
81,3825934,73.0,0,7,4.8,5.0,5.0
82,3859980,85.0,0,5,5.0,5.0,5.0
83,3878986,70.0,0,11,4.5,4.5,4.5
84,3899843,56.0,0,0,0.0,0.0,0.0
85,3915289,65.0,0,0,0.0,0.0,0.0
86,4108818,78.0,2,9,5.0,5.0,5.0
87,4129848,60.0,0,3,0.0,0.0,0.0
88,4133335,61.0,0,2,0.0,0.0,0.0
89,4182702,63.0,0,2,0.0,0.0,0.0
90,4184985,74.0,0,2,0.0,0.0,0.0
91,4249322,49.0,0,0,0.0,0.0,0.0
92,4277847,80.0,0,10,5.0,5.0,5.0
93,4278885,84.0,3,34,4.4,4.8,4.8
94,4320557,78.0,0,6,4.4,4.8,4.8
95,4362920,74.0,0,4,4.7,5.0,5.0
96,4371458,72.0,0,2,4.7,4.7,4.7
97,4384891,71.0,0,1,4.6,5.0,5.0
98,4404304,77.0,0,6,5.0,5.0,5.0
99,4496751,52.0,0,1,0.0,0.0,0.0
100,4530539,77.0,0,1,5.0,5.0,5.0
101,4564340,76.0,1,13,4.9,4.8,4.8
102,4568666,55.0,0,4,0.0,0.0,0.0
103,4597000,72.0,0,4,4.9,5.0,5.0
104,4641301,62.0,0,0,0.0,0.0,0.0
105,4644119,84.0,0,3,5.0,5.0,5.0
106,4648258,69.0,0,1,0.0,0.0,0.0
