,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
0,227035,85.0,0,3,0.0,0.0,0.0
1,255297,75.0,0,2,0.0,0.0,0.0
2,345331,90.0,0,11,5.0,5.0,5.0
3,403721,83.0,0,1,2.8,4.6,4.6
4,634577,76.0,0,1,0.0,0.0,0.0
5,652919,54.0,0,0,0.0,0.0,0.0
6,666460,78.0,1,5,1.6,3.3,3.3
7,722212,72.0,0,3,0.0,0.0,0.0
8,724418,79.0,0,9,0.0,0.0,0.0
9,767243,79.0,0,1,3.7,4.6,4.6
10,809558,69.0,0,0,0.0,0.0,0.0
11,829130,80.0,1,4,0.0,0.0,0.0
12,832314,61.0,0,0,0.0,0.0,0.0
13,911233,82.0,0,1,0.0,0.0,0.0
14,914805,84.0,0,13,0.0,0.0,0.0
15,978388,57.0,0,0,0.0,0.0,0.0
16,1024781,82.0,0,12,4.3,4.2,4.2
17,1025932,69.0,0,0,0.0,0.0,0.0
18,1056309,68.0,0,0,0.0,0.0,0.0
19,1065807,76.0,0,1,4.6,5.0,5.0
20,1115599,89.0,0,7,5.0,5.0,5.0
21,1306021,65.0,0,0,0.0,0.0,0.0
22,1317559,87.0,0,12,4.7,4.7,4.7
23,1357365,84.0,0,4,0.0,0.0,0.0
24,1410092,69.0,0,1,0.0,0.0,0.0
25,1445291,81.0,1,2,0.0,0.0,0.0
26,1537303,87.0,1,13,0.0,0.0,0.0
27,1682006,82.0,1,3,0.0,0.0,0.0
28,1786360,56.0,0,1,0.0,0.0,0.0
29,1806980,56.0,0,1,0.0,0.0,0.0
30,1959140,58.0,1,4,0.0,0.0,0.0
31,1993353,85.0,0,10,4.0,4.4,4.4
32,1996730,66.0,0,0,0.0,0.0,0.0
33,2002283,59.0,0,1,0.0,0.0,0.0
34,2148336,74.0,0,4,0.0,0.0,0.0
35,2149848,85.0,0,5,4.2,4.3,4.3
36,2290168,66.0,0,0,0.0,0.0,0.0
37,2372726,83.0,0,4,5.0,5.0,5.0
38,2387910,68.0,0,0,0.0,0.0,0.0
