门店,门店ID,城市(城市负责人),体检分,权益奖励,近7日服务问题导致的营业额损失(元),本周触犯红线,上周触犯红线
"邂逅花坊鲜花（香梅花坊）	","227035	",无锡,"77.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（蔷薇花艺）	","255297	",青岛,"81.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（温馨花坊）	","345331	",徐州,"84.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（创懿花艺婚庆）	","403721	",杭州,"79.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（花韵千谷)	","634577	",张家口,"73.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（美丽花坊）	","652919	",武汉,"56.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（小仙女花艺）	","666460	",中山,"72.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（蝶恋花花坊）	","722212	",龙岩,"74.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（紫罗兰鲜花坊）	","724418	",湖州,"75.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（花卉轩）	","767243	",厦门,"81.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（新生命花坊）	","809558	",杭州,"70.0	",--,0,未触犯红线,未触犯红线
"婷婷花店(七夕预定，表白，鲜花)	","829130	",深圳,"82.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（万花丛婚庆鲜花）	","832314	",石家庄,"71.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（花园花坊）	","911233	",绍兴,"73.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（花汐小铺）	","914805	",衡阳,"86.0	",--,0,未触犯红线,未触犯红线
"邂逅花坊鲜花（铂尔曼花都）	","978388	",桂林,"69.0	",--,0,未触犯红线,未触犯红线
"安宁花海花艺园艺店(邂逅花坊)	","1024781	",昆明,"77.0	",--,0,未触犯红线,未触犯红线
