,time,商家ID,商家名称,r,f,m,r_score,f_score,m_score,rfm_group
63,20200701,9338771,玫瑰之约（艾尚花语鲜花店）,12.5,30,2440.6,1,3,3,133
64,20200701,9338794,喜乐四季花卉鲜花礼品鲜花店,15.8,2,122,3,1,1,311
65,20200701,9339174,清香园鲜花礼品鲜花店,14,6,401,2,2,2,222
66,20200701,9339176,绿之园花卉鲜花礼品鲜花店,13,25,2086,1,3,3,133
67,20200701,9339177,阳光鲜花礼品鲜花店,9.5,6,424,1,2,2,122
68,20200701,9342535,晶晶花艺鲜花礼品鲜花店,13,3,212,1,1,1,111
69,20200701,9344175,爱神鲜花批发礼品鲜花店,11,6,299.6,1,2,1,121
70,20200701,9345839,花戒鲜花礼品鲜花店,12,7,492,1,2,2,122
71,20200701,9349868,花世界迷尔鲜花店鲜花礼品,23.9,13,967,3,3,3,333
72,20200701,9350030,北植花屿鲜花礼品鲜花店,14.5,0,0,2,1,1,211
73,20200701,9352076,花仙子（鲜花店）,18.1,17,1872,3,3,3,333
74,20200701,9352424,尚品花坊（艾尚花语鲜花店）,13.2,13,952.8,1,3,3,133
75,20200701,9355273,花香时刻鲜花店鲜花礼品,16.5,12,1153,3,3,3,333
76,20200701,9360432,大自然花艺（艾尚花语鲜花店）,12,0,0,1,1,1,111
77,20200701,9364821,郁花缘鲜花礼品鲜花店,12.1,36,2586,1,3,3,133
78,20200701,9364823,花颜花艺生活馆鲜花礼品鲜花店,12,1,64,1,1,1,111
79,20200701,9366091,海霞花艺鲜花礼品鲜花店,16,29,2573,3,3,3,333
80,20200701,9366382,集美花艺鲜花礼品鲜花店,15,0,0,2,1,1,211
81,20200701,9370710,戴氏花艺鲜花礼品鲜花店,0,0,0,1,1,1,111
82,20200701,9370711,夏沫鲜花（文峰路店）,8.2,0,0,1,1,1,111
83,20200701,9371509,慧媛花艺,11,0,0,1,1,1,111
84,20200701,9382867,维罗纳花坊鲜花礼品鲜花店,13,6,641,1,2,2,122
85,20200701,9385039,惜缘花业鲜花礼品鲜花店,0.8,1,0,1,1,1,111
86,20200701,9385040,鲜花绿植鲜花礼品鲜花店,16,7,395,3,2,2,322
87,20200701,9385041,拾贰花艺鲜花礼品鲜花店,15.7,10,1169,3,2,3,323
88,20200701,9385042,石上花坊批发鲜花礼品鲜花店,9,0,0,1,1,1,111
89,20200701,9385115,千千惠鲜花礼品鲜花店,14.8,21,2026,2,3,3,233
90,20200701,9385117,尚品鲜花礼品鲜花店,12,0,0,1,1,1,111
91,20200701,9385118,四季花艺鲜花礼品鲜花店,13.1,6,422.6,1,2,2,122
92,20200701,9385213,娜娜花屋鲜花礼品鲜花店,15,17,1781,2,3,3,233
93,20200701,9385384,简单花艺鲜花礼品鲜花店,9,9,809,1,2,2,122
94,20200701,9385911,阁禹鲜花礼品鲜花店,8,0,0,1,1,1,111
95,20200701,9387883,花开半夏鲜花礼品鲜花店,15,5,276,2,1,1,211
96,20200701,9394079,花言草语鲜花礼品鲜花店,15,16,972.8,2,3,3,233
97,20200701,9394266,花仙谷鲜花礼品鲜花店,14,0,0,2,1,1,211
98,20200701,9402143,亿米阳光鲜花礼品鲜花店,15,0,0,2,1,1,211
99,20200701,9402187,百卉鲜花婚庆礼品鲜花店,15,3,359,2,1,1,211
100,20200701,9402588,爱使鲜花礼品鲜花店,11.5,1,66,1,1,1,111
101,20200701,9415492,95至尊花艺鲜花礼品鲜花店,15,0,0,2,1,1,211
102,20200701,9415494,九月花艺鲜花礼品鲜花店,7,1,254,1,1,1,111
103,20200701,9415495,芳雅花艺生活馆,13.3,0,0,1,1,1,111
104,20200701,9415496,花之舞庆典鲜花礼品鲜花店,15.7,6,432.6,3,2,2,322
105,20200701,9415610,小浣熊鲜花坊礼品鲜花店,15,3,264,2,1,1,211
106,20200701,9415611,圣格花艺鲜花礼品鲜花店,24,33,3073,3,3,3,333
107,20200701,9415612,利群鲜花批发礼品鲜花店,15.2,29,2780.6,2,3,3,233
108,20200701,9415613,金百合花店鲜花礼品鲜花店,15,1,74,2,1,1,211
109,20200701,9415614,真情鲜花礼品鲜花店,12,2,135,1,1,1,111
110,20200701,9415615,一花一木花艺生活馆,17.3,30,4837,3,3,3,333
111,20200701,9415704,爱尚花艺鲜花礼品鲜花店,15,0,0,2,1,1,211
112,20200701,9415707,鑫福源鲜花,11.3,0,0,1,1,1,111
113,20200701,9415709,乐都鲜花礼品鲜花店,15,2,138,2,1,1,211
114,20200701,9415742,花语轩鲜花礼品鲜花店,15,0,0,2,1,1,211
115,20200701,9416497,柳柳花舍鲜花礼品鲜花店,12.5,5,419,1,1,2,112
116,20200701,9418080,唯一鲜花礼品鲜花店,12,12,1064,1,3,3,133
117,20200701,9421954,江东花卉市场鲜花礼品鲜花店,13.5,9,920,1,2,2,122
118,20200701,9424813,如意鲜花店鲜花礼品,13.7,0,0,1,1,1,111
119,20200701,9427397,依家花店,14.9,3,282,2,1,1,211
120,20200701,9427398,花之韵鲜花礼品鲜花店,12.8,4,376,1,1,2,112
121,20200701,9427399,花仙子鲜花礼品鲜花店,20,18,1280,3,3,3,333
122,20200701,9427887,花之恋果之园鲜花礼品鲜花店,13.4,10,744,1,2,2,122
123,20200701,9427890,上辰花店鲜花礼品鲜花店,12.9,9,646,1,2,2,122
124,20200701,9427934,福雅花卉鲜花礼品鲜花店,12.7,0,0,1,1,1,111
125,20200701,9427935,花满庭花艺鲜花礼品鲜花店,16,22,2449,3,3,3,333
126,20200701,9432834,馨悦花坊鲜花礼品鲜花店,23.5,9,720,3,2,2,322
127,20200701,9436121,玉花坊鲜花礼品鲜花店,12.9,22,2350,1,3,3,133
128,20200701,9438139,繁花花坊鲜花礼品鲜花店,23.4,18,2083,3,3,3,333
129,20200701,9438320,尚品花艺鲜花礼品鲜花店,15.7,2,74,3,1,1,311
130,20200701,9438920,拾花间鲜花礼品鲜花店,22.8,31,2701,3,3,3,333
