,供应商ID,供应商名,城市名,门店ID,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
773,22267202676,花非花科技（原邂逅花坊）,哈尔滨,166924713,邂逅花坊（英子鲜花坊宾州镇店）,355.0,295.2,3,118.33,323.0,107.67,59.8,27.0,0.08,0,0.0,0,0,0,0,355.0,0,0.0,20201112,20201211
586,22267202676,花非花科技（原邂逅花坊）,鹤岗,169732185,邂逅花坊（馨语鲜花兴安路店）,328.0,210.6,3,109.33,231.5,77.17,117.4,94.0,0.29,0,0.0,0,0,0,0,328.0,0,0.0,20201112,20201211
787,22267202676,花非花科技（原邂逅花坊）,北京,2042459219,天蓝蓝婚庆鲜花（兴隆街店）,640.0,316.8,3,213.33,349.0,116.33,323.2,288.0,0.45,0,0.0,0,0,0,0,640.0,0,0.0,20201112,20201211
924,22267202676,花非花科技（原邂逅花坊）,杭州,300712258,邂逅花坊（雯公主花卉映荷街店）,568.0,239.4,3,189.33,258.0,86.0,328.6,302.0,0.53,0,0.0,0,0,0,0,568.0,0,0.0,20201112,20201211
796,22267202676,花非花科技（原邂逅花坊）,南京,304882599,邂逅花坊（森小花行栖霞区店）,421.0,220.08,3,140.33,243.0,81.0,200.92,178.0,0.42,0,0.0,0,0,0,0,421.0,0,0.0,20201112,20201211
168,22267202676,花非花科技（原邂逅花坊）,滨州,336952732,浪漫花坊（博城五路店）,730.0,315.0,3,243.33,347.5,115.83,415.0,380.0,0.52,1,102.0,1,0,0,0,730.0,0,0.0,20201112,20201211
323,22267202676,花非花科技（原邂逅花坊）,温州,166924739,邂逅花坊（情意浓花店永中街道店）,682.0,369.9,3,227.33,406.5,135.5,312.1,271.0,0.4,1,88.0,0,1,0,0,672.0,0,10.0,20201112,20201211
889,22267202676,花非花科技（原邂逅花坊）,周口,2036852687,邂逅花坊（情和缘鲜花团结北路店）,624.0,305.1,3,208.0,339.0,113.0,318.9,285.0,0.46,0,0.0,0,0,0,0,624.0,0,0.0,20201112,20201211
1007,22267202676,花非花科技（原邂逅花坊）,玉林,170246009,邂逅花坊（三叶草花艺坊万良路店）,462.0,234.0,3,154.0,256.5,85.5,228.0,202.0,0.44,0,0.0,0,0,0,0,462.0,0,0.0,20201112,20201211
352,22267202676,花非花科技（原邂逅花坊）,葫芦岛,2036081700,邂逅花坊（花之语鲜花兴海北路店）,364.0,322.2,3,121.33,358.0,119.33,41.8,6.0,0.02,0,0.0,0,0,0,0,364.0,0,0.0,20201112,20201211
