,供应商ID,供应商名,城市名,门店ID,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
150,22267202676,花非花科技（原邂逅花坊）,周口,335774225,邂逅花坊（花堡广场东路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,122.0,1,0,0,0,0.0,0,0.0,20201112,20201211
157,22267202676,花非花科技（原邂逅花坊）,仙桃,300682887,邂逅花坊（紫月亮汉江路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
158,22267202676,花非花科技（原邂逅花坊）,永州,336712344,邂逅花坊（品馨鲜花鲤鱼井大道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
163,22267202676,花非花科技（原邂逅花坊）,长沙,170246115,邂逅花坊（米蘭花坊湘龙街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
165,22267202676,花非花科技（原邂逅花坊）,大连,2036822599,邂逅花坊(七色鲜花批发普兰店市店),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
174,22267202676,花非花科技（原邂逅花坊）,包头,166924719,邂逅花坊（青山区利民社区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
175,22267202676,花非花科技（原邂逅花坊）,镇江,305175464,邂逅花坊（九里鲜花禹山路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
181,22267202676,花非花科技（原邂逅花坊）,六盘水,2036855273,邂逅花坊（咔哒呢花艺双水街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.4,0,0,1,0,0.0,0,0.0,20201112,20201211
183,22267202676,花非花科技（原邂逅花坊）,韶关,167744267,邂逅花坊（美好鲜花人民南路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
186,22267202676,花非花科技（原邂逅花坊）,吉林,2036855276,邂逅花坊（情缘鲜花婚庆永吉大街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
189,22267202676,花非花科技（原邂逅花坊）,东莞,166924873,邂逅花坊（虎门镇店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
191,22267202676,花非花科技（原邂逅花坊）,绵阳,170246039,邂逅花坊（初遇鲜花警钟街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
193,22267202676,花非花科技（原邂逅花坊）,深圳,300722373,邂逅花坊（花韵花艺西环路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
197,22267202676,花非花科技（原邂逅花坊）,邯郸,335754047,邂逅花坊（蓝月亮鲜花坊体育路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
198,22267202676,花非花科技（原邂逅花坊）,信阳,305235417,邂逅花坊（爱尚鲜花蓼北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
199,22267202676,花非花科技（原邂逅花坊）,长春,167744272,邂逅花坊（东天光路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
203,22267202676,花非花科技（原邂逅花坊）,长春,2043157295,鲜花商行（华大城店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
204,22267202676,花非花科技（原邂逅花坊）,广州,2036101240,邂逅花坊（柚子花艺黄埔大道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
205,22267202676,花非花科技（原邂逅花坊）,合肥,304982545,邂逅花坊（唯爱花店金寨路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
208,22267202676,花非花科技（原邂逅花坊）,遂宁,167744329,邂逅花坊（开发区川中市场点）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,207.0,0,0,1,0,0.0,0,0.0,20201112,20201211
209,22267202676,花非花科技（原邂逅花坊）,青岛,169732194,邂逅花坊（唯美鲜花红旗路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
212,22267202676,花非花科技（原邂逅花坊）,西安,335784180,邂逅花坊（心情小站花坊建设西路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
214,22267202676,花非花科技（原邂逅花坊）,临汾,169732241,邂逅花坊（尧都区环城中路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
215,22267202676,花非花科技（原邂逅花坊）,秦皇岛,2036905306,邂逅花坊（花之恋鲜花庆典海港区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
218,22267202676,花非花科技（原邂逅花坊）,南阳,335794223,邂逅花坊（那时花开新华路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,85.0,1,0,0,0,0.0,0,0.0,20201112,20201211
223,22267202676,花非花科技（原邂逅花坊）,吐鲁番,300673086,邂逅花坊（楼兰花卉老城南路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
231,22267202676,花非花科技（原邂逅花坊）,莆田,166924843,邂逅花坊（缤纷花艺学园南街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
232,22267202676,花非花科技（原邂逅花坊）,抚顺,170246098,邂逅花坊（宁宁花艺东四路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
234,22267202676,花非花科技（原邂逅花坊）,文山壮族苗族自治州,2043137375,我家花店（安平西路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
237,22267202676,花非花科技（原邂逅花坊）,南宁,170245984,邂逅花坊（花缘花坊秀灵路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
241,22267202676,花非花科技（原邂逅花坊）,贵阳,300682428,邂逅花坊（朵朵花坊碧海南路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
243,22267202676,花非花科技（原邂逅花坊）,兰州,336809803,邂逅花坊（先花店一悟路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
244,22267202676,花非花科技（原邂逅花坊）,安康,2042539229,花好月圆（向阳路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
246,22267202676,花非花科技（原邂逅花坊）,南昌,300702809,邂逅花坊（阳光花坊上海路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
247,22267202676,花非花科技（原邂逅花坊）,湖州,2043177263,花颜花艺（织里镇店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
248,22267202676,花非花科技（原邂逅花坊）,酒泉,2043157299,薇艺鲜花（金塔路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
250,22267202676,花非花科技（原邂逅花坊）,昆明,171029610,邂逅花坊（万裕花园店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
251,22267202676,花非花科技（原邂逅花坊）,昆明,170245910,邂逅花坊（勿忘我婚庆春晓路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
254,22267202676,花非花科技（原邂逅花坊）,营口,2042579200,万有婚庆鲜花站（前区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
255,22267202676,花非花科技（原邂逅花坊）,西安,166924717,邂逅花坊（阳光雨露花港店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
257,22267202676,花非花科技（原邂逅花坊）,武汉,335754053,邂逅花坊（洪山区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
259,22267202676,花非花科技（原邂逅花坊）,株洲,169732211,邂逅花坊（雅馨花坊泰山路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
260,22267202676,花非花科技（原邂逅花坊）,上饶,2043482917,花开花花艺（冰溪街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
262,22267202676,花非花科技（原邂逅花坊）,咸阳,2036084097,邂逅花坊（三原店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
265,22267202676,花非花科技（原邂逅花坊）,济宁,170245944,邂逅花坊（玫瑰佳人太平西路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
276,22267202676,花非花科技（原邂逅花坊）,哈尔滨,300732225,邂逅花坊（鲜花林苑小区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
277,22267202676,花非花科技（原邂逅花坊）,连云港,169732249,邂逅花坊（喜阳阳花店利民路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
