,开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）,cluster
15,20200101,20200131,2019807,花生活鲜花（爱荷花坊）,鲜花组,福建省,厦门,否,20170214,在线,24.0,24.0,3624,26,0,0,0.72,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,2
16,20200101,20200131,2045211,花生活鲜花（阳光花坊）,鲜花组,江西省,南昌,否,20170222,在线,24.0,24.0,5755,55,0,0,0.96,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,2
17,20200101,20200131,2068451,花生活鲜花（花语人生）,鲜花组,福建省,厦门,否,20170224,在线,8.0,8.3,2560,28,0,0,1.09,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,,2
19,20200101,20200131,2174771,花生活鲜花（九零花坊）,鲜花组,上海市,上海,否,20170324,在线,18.0,18.1,2408,59,4,2,2.45,6.78,5,3,1060.0,536.0,641.0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,,2
20,20200101,20200131,2220100,花生活鲜花（花花世界鲜花）,鲜花组,湖北省,十堰,否,20170327,在线,24.0,24.0,19872,177,1,0,0.89,0.56,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,,1
21,20200101,20200131,2329256,花生活鲜花（七彩坊鲜花店）,鲜花组,福建省,泉州,否,20170526,在线,22.0,22.7,6381,73,0,0,1.14,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,0
22,20200101,20200131,2402349,花生活鲜花（静静花艺银盛路店）,鲜花组,宁夏回族自治区,银川,否,20170430,在线,24.0,24.0,5447,59,0,0,1.08,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50.0,0,0,0,0.0,0.0,0.0,0.0,,,2
23,20200101,20200131,2482113,花生活鲜花（玫瑰坊）,鲜花组,江苏省,镇江,否,20170515,在线,24.0,24.0,7927,51,0,0,0.64,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,0
24,20200101,20200131,2527715,花生活鲜花（情缘鲜花店遵义店）,鲜花组,贵州省,遵义,否,20170519,在线,24.0,24.0,18625,79,0,0,0.42,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100.0,0,0,0,0.0,0.0,0.0,0.0,,,1
25,20200101,20200131,2622811,花生活鲜花（品蕊花屋）,鲜花组,四川省,宜宾,否,20170606,在线,22.0,22.7,12939,191,8,2,1.48,4.19,6,4,1288.0,516.0,928.0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,,0
