,Unnamed: 0,开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）,cluster,比率
77,79,20200101,20200131,5962302,花生活鲜花（众里寻Ta花舍）,鲜花组,甘肃省,兰州,否,20181024,在线,18.0,18.1,18877,334,10,7,1.77,2.99,9,9,4343.0,1161.09,3337.91,0,0,0,0,0,0,0,0,1,9,0,0,7,5,71.43,0,0,0,4.3,4.3,0.6,0.0,,,1,1042.92817679558
81,83,20200101,20200131,6104153,花生活鲜花（花伴鲜花）,鲜花组,安徽省,滁州,否,20181125,在线,21.0,21.6,17997,176,2,0,0.98,1.14,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,833.1944444444443
82,84,20200101,20200131,6132769,花生活鲜花（艾洛芙花坊）,鲜花组,安徽省,合肥,否,20190702,在线,22.0,22.2,13152,272,10,7,2.07,3.68,10,10,1895.0,1258.0,910.0,0,0,0,0,0,0,0,0,0,10,0,0,5,5,100.0,2,0,0,2.4,2.4,2.4,0.0,,,0,592.4324324324325
87,89,20200101,20200131,6390095,花生活鲜花（倾城鲜花）,鲜花组,湖北省,襄阳,否,20181227,在线,24.0,24.0,13735,94,0,0,0.68,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,,1,572.2916666666666
88,90,20200101,20200131,6395163,花生活鲜花（花海）,鲜花组,浙江省,杭州,否,20181225,在线,13.0,12.9,16097,610,49,45,3.79,8.03,54,49,17594.0,9787.01,9705.99,1,0,0,0,1,0,0,0,0,55,0,4,25,25,100.0,18,0,0,4.7,4.7,4.7,6.0,,,1,1247.8294573643411
89,91,20200101,20200131,6405229,花生活鲜花（天缘花艺）,鲜花组,贵州省,遵义,否,20190719,在线,18.0,18.2,17565,126,2,1,0.72,1.59,1,1,245.0,112.0,172.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,965.1098901098901
95,98,20200101,20200131,6582771,花生活鲜花（七彩花艺坊）,鲜花组,辽宁省,营口,否,20190223,在线,24.0,24.0,22035,451,26,21,2.05,5.76,26,26,22742.02,2633.65,20771.37,0,0,0,0,0,0,0,0,0,26,0,0,6,6,100.0,5,0,0,4.2,4.2,4.2,0.0,,,1,918.125
99,102,20200101,20200131,6704550,花生活鲜花（萌宠一花语）,鲜花组,安徽省,安庆,否,20190315,在线,24.0,24.0,15926,156,0,0,0.98,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,66.67,0,0,0,0.0,0.0,0.0,0.0,,,1,663.5833333333334
101,104,20200101,20200131,6769761,花生活鲜花（小野猫花艺）,鲜花组,贵州省,遵义,否,20190402,在线,24.0,24.0,21294,105,1,1,0.49,0.95,1,1,198.0,175.0,62.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,887.25
110,114,20200101,20200131,6773725,花生活鲜花（荣浩千寻花艺）,鲜花组,陕西省,西安,否,20190426,在线,23.0,23.4,20038,154,1,0,0.77,0.65,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,50.0,0,0,0,2.7,2.7,2.7,0.0,,,1,856.3247863247864
116,121,20200101,20200131,6774016,花生活鲜花（婷雅花坊）,鲜花组,安徽省,马鞍山,否,20190329,在线,19.0,19.1,17379,610,51,43,3.51,8.36,49,47,19530.0,6732.07,14310.73,0,0,0,0,0,0,0,0,1,52,0,0,20,20,100.0,20,0,1,5.0,5.0,4.9,0.0,,,1,909.8952879581151
119,124,20200101,20200131,6826712,花生活鲜花（流星花园鲜花）,鲜花组,河北省,廊坊,否,20190423,在线,24.0,24.0,13818,534,14,5,3.86,2.62,12,8,4378.0,982.09,3590.91,0,0,0,0,0,0,0,0,0,10,0,0,5,4,80.0,0,0,0,4.6,4.6,3.7,0.0,,,1,575.75
120,125,20200101,20200131,6826772,花生活鲜花（倾城时光鲜花）,鲜花组,江西省,吉安,否,20190422,在线,22.0,22.4,17904,666,40,32,3.72,6.01,40,38,9323.0,4776.0,5910.0,1,0,0,0,1,0,0,0,0,42,0,0,22,21,95.45,9,0,0,5.0,5.0,5.0,0.0,,,1,799.2857142857143
125,130,20200101,20200131,6882164,花生活鲜花（天蓉鲜花店）,鲜花组,浙江省,嘉兴,否,20190703,在线,24.0,24.0,13535,218,3,3,1.61,1.38,3,3,889.0,348.0,650.0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,563.9583333333334
135,141,20200101,20200131,7022271,花生活鲜花（心艺花店）,鲜花组,湖南省,长沙,否,20190514,在线,14.0,14.0,17747,481,13,9,2.71,2.7,13,10,3773.0,1284.02,2761.98,1,0,1,0,0,0,0,0,0,11,0,0,6,6,100.0,1,1,0,2.9,2.9,2.9,0.0,,,1,1267.642857142857
142,148,20200101,20200131,7022375,花生活鲜花（冉绘鲜花）,鲜花组,山西省,吕梁,否,20190514,在线,24.0,24.0,16788,334,5,4,1.99,1.5,4,4,1757.0,735.0,1178.0,0,0,0,0,0,0,0,0,0,4,0,0,4,2,50.0,0,0,0,0.0,0.0,0.0,0.0,,,1,699.5
143,149,20200101,20200131,7028637,花生活鲜花（鲜花批发）,鲜花组,黑龙江省,双鸭山,否,20190514,在线,24.0,24.0,18774,202,1,0,1.08,0.5,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,782.25
147,154,20200101,20200131,7166109,花生活鲜花（花研巧遇）,鲜花组,安徽省,合肥,否,20190612,在线,21.0,21.7,18083,485,7,2,2.68,1.44,6,2,656.0,530.0,204.0,3,3,0,0,0,0,0,0,0,2,0,0,4,3,75.0,1,0,0,0.0,0.0,0.0,0.0,,,1,833.3179723502304
150,157,20200101,20200131,7166113,花生活鲜花（浪漫鲜花坊）,鲜花组,山东省,德州,否,20190611,在线,24.0,24.0,14556,117,1,0,0.8,0.85,2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,606.5
154,161,20200101,20200131,7166264,花生活鲜花（花开相爱）,鲜花组,安徽省,合肥,否,20190528,在线,24.0,24.0,19701,171,4,1,0.87,2.34,3,3,304.0,141.0,241.0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,100.0,0,0,0,2.4,2.4,2.4,0.0,,,1,820.875
155,162,20200101,20200131,7194721,花生活鲜花（四季春花艺美学馆）,鲜花组,云南省,丽江,否,20190614,在线,24.0,24.0,15354,460,23,11,3.0,5.0,24,11,3543.0,2141.0,1826.0,0,0,0,0,0,0,0,0,0,12,0,0,4,3,75.0,1,0,0,0.0,0.0,0.0,0.0,,,1,639.75
158,165,20200101,20200131,7207843,花生活鲜花（花殿鲜花店）,鲜花组,内蒙古自治区,呼伦贝尔,否,20190603,在线,21.0,21.4,16485,300,6,2,1.82,2.0,4,2,483.0,305.0,251.0,2,2,0,0,0,0,0,0,0,2,0,0,3,3,100.0,1,0,0,0.0,0.0,0.0,0.0,,,1,770.3271028037384
163,170,20200101,20200131,7207850,花生活鲜花（尚花坊）,鲜花组,安徽省,亳州,否,20190604,在线,24.0,24.0,21789,396,8,5,1.82,2.02,7,6,1988.0,1350.0,868.0,0,0,0,0,0,0,0,0,0,7,0,0,3,2,66.67,0,0,0,0.0,0.0,0.0,0.0,,,1,907.875
164,171,20200101,20200131,7207851,花生活鲜花（龙兴花艺）,鲜花组,福建省,龙岩,否,20190603,在线,20.0,19.5,15261,669,64,45,4.38,9.57,59,58,36050.0,6684.71,30993.19,0,0,0,0,0,0,0,0,0,65,0,0,16,15,93.75,6,0,0,5.0,5.0,5.0,0.0,,,1,782.6153846153846
166,173,20200101,20200131,7264472,花生活鲜花（花朝鲜花店）,鲜花组,安徽省,合肥,否,20190613,在线,7.0,7.6,14403,389,6,2,2.7,1.54,4,2,593.0,308.0,363.0,2,1,1,0,0,0,0,0,0,2,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,,1,1895.1315789473686
171,178,20200101,20200131,7310176,花生活鲜花（新罗区石斛花坊）,鲜花组,福建省,龙岩,否,20190719,在线,23.0,23.5,15444,172,0,0,1.11,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,657.1914893617021
187,196,20200101,20200131,7392900,花生活鲜花（如意花坊济南店）,鲜花组,山东省,莱芜,否,20190718,在线,20.0,20.4,22017,272,1,0,1.24,0.37,2,0,0.0,0.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,,1,1079.264705882353
188,197,20200101,20200131,7392901,花生活鲜花（挚爱一生鲜花店）,鲜花组,福建省,宁德,否,20190724,在线,24.0,24.0,17336,477,3,3,2.75,0.63,6,4,1122.0,943.0,335.0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,100.0,1,0,0,0.0,0.0,0.0,0.0,,,1,722.3333333333334
190,199,20200101,20200131,7392906,花生活鲜花（云槿花艺）,鲜花组,江苏省,无锡,否,20190708,在线,11.0,11.2,14316,480,20,13,3.35,4.17,23,22,21033.0,2871.61,18785.39,0,0,0,0,0,0,0,0,0,26,0,0,10,10,100.0,8,1,0,4.6,4.6,2.3,0.0,,,1,1278.2142857142858
203,212,20200101,20200131,7475293,花生活鲜花（520忆花坊）,鲜花组,贵州省,遵义,否,20190719,在线,23.0,23.1,17035,131,4,3,0.77,3.05,4,4,5355.0,335.18,5097.82,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.0,0,0,0,1.6,1.6,1.6,0.0,,,1,737.4458874458874
204,213,20200101,20200131,7475294,花生活鲜花（苔米花艺）,鲜花组,山东省,烟台,否,20190723,在线,24.0,24.0,13465,189,0,0,1.4,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,561.0416666666666
206,215,20200101,20200131,7475298,花生活鲜花（香阁丽娜）,鲜花组,贵州省,遵义,否,20190723,在线,12.0,12.0,13903,423,13,11,3.04,3.07,12,11,2838.0,1569.0,1698.0,0,0,0,0,0,0,0,0,0,11,0,0,2,2,100.0,2,0,0,0.5,0.5,0.8,0.0,,,1,1158.5833333333333
209,218,20200101,20200131,7475402,花生活鲜花（百合花坊）,鲜花组,宁夏回族自治区,中卫,否,20190730,在线,22.0,22.8,17802,725,5,3,4.07,0.69,5,3,840.0,355.0,602.0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,100.0,2,0,0,0.0,0.0,0.0,0.0,,,1,780.7894736842105
213,222,20200101,20200131,7514881,花生活鲜花（小简花艺工作室）,鲜花组,浙江省,绍兴,否,20190726,在线,18.0,18.0,19720,169,2,1,0.86,1.18,2,1,318.0,152.0,205.0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,1095.5555555555557
220,230,20200101,20200131,7514890,花生活鲜花（金蔷薇时尚花艺）,鲜花组,湖北省,襄阳,否,20190724,在线,24.0,24.0,13815,287,5,2,2.08,1.74,5,2,536.0,227.0,387.0,0,0,0,0,0,0,0,0,0,4,0,0,4,2,50.0,1,0,0,0.0,0.0,0.0,0.0,,,1,575.625
234,245,20200101,20200131,7641996,花生活鲜花（花幸福花店襄阳店）,鲜花组,湖北省,襄阳,否,20190830,在线,23.0,23.1,13641,334,4,0,2.45,1.2,3,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,,1,590.5194805194805
240,251,20200101,20200131,7642073,花生活鲜花（花花小娴）,鲜花组,湖北省,黄冈,否,20190918,在线,24.0,24.0,13059,228,1,0,1.75,0.44,1,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,100.0,1,0,0,0.0,0.0,0.0,0.0,,,0,544.125
241,252,20200101,20200131,7642074,花生活鲜花（云艳花坊）,鲜花组,湖北省,黄冈,否,20190830,在线,24.0,24.0,17857,2053,22,14,11.5,1.07,25,16,3095.0,1582.0,1895.0,5,5,0,0,0,0,0,0,0,17,0,0,16,13,81.25,4,0,0,3.3,3.3,3.4,0.0,,,1,744.0416666666666
248,259,20200101,20200131,7672420,花生活鲜花（义乌鲜花婚庆）,鲜花组,浙江省,金华,否,20190827,在线,24.0,24.0,14284,261,2,0,1.83,0.77,2,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,2,0,0,3,1,33.33,0,0,0,0.0,0.0,0.0,0.0,,,1,595.1666666666666
251,262,20200101,20200131,7690567,花生活鲜花（温馨花店）,鲜花组,重庆市,重庆,否,20190916,在线,23.0,23.8,17275,176,1,1,1.02,0.57,1,1,288.0,185.0,142.0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,50.0,0,0,0,0.0,0.0,0.0,0.0,,,1,725.8403361344538
259,270,20200101,20200131,7785895,花生活鲜花（心愿屋鲜花店）,鲜花组,贵州省,贵阳,否,20190912,在线,20.0,20.0,15074,170,3,1,1.13,1.76,4,1,148.0,125.0,62.0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,100.0,1,0,0,1.0,1.0,1.1,0.0,,,1,753.7
267,280,20200101,20200131,7934075,花生活鲜花（红玫瑰鲜花婚庆）,鲜花组,陕西省,榆林,否,20191210,在线,24.0,24.0,24951,244,8,3,0.98,3.28,8,3,713.0,446.0,384.0,3,3,0,0,0,0,0,0,0,6,0,0,4,2,50.0,0,0,0,0.0,0.0,0.0,0.0,,,1,1039.625
273,288,20200101,20200131,7994671,花生活鲜花（爱花坊鲜花店）,鲜花组,浙江省,温州,否,20191208,在线,24.0,24.0,16232,195,7,5,1.2,3.59,6,5,1014.0,536.0,673.0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,100.0,1,0,0,0.0,0.0,0.0,0.0,,,1,676.3333333333334
274,289,20200101,20200131,7994673,花生活鲜花（禾木鲜花店）,鲜花组,天津市,天津,否,20191205,在线,24.0,24.0,15243,220,4,3,1.44,1.82,5,4,221.0,121.0,139.0,1,0,0,0,1,0,0,0,0,5,0,0,3,3,100.0,1,0,0,2.3,2.3,2.3,0.0,,,1,635.125
276,291,20200101,20200131,8068587,花生活鲜花（花轩子鲜花店）,鲜花组,贵州省,毕节,否,20191205,在线,24.0,24.0,22105,441,8,6,2.0,1.81,9,6,2541.0,1178.0,1597.0,1,1,0,0,0,0,0,0,0,8,0,0,8,5,62.5,0,0,0,0.0,0.0,0.0,0.0,,,1,921.0416666666666
277,292,20200101,20200131,8070349,花生活鲜花（花瓣雨鲜花总汇）,鲜花组,湖北省,仙桃,否,20191126,在线,24.0,24.0,14595,117,0,0,0.8,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,608.125
281,296,20200101,20200131,8094433,花生活鲜花（清湘花坊）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20191204,在线,23.0,23.0,23357,591,23,14,2.53,3.89,22,15,3676.0,2218.0,2038.0,6,6,0,0,0,0,0,0,0,18,0,0,20,16,80.0,4,0,0,0.0,0.0,0.0,0.0,,,1,1015.5217391304348
295,311,20200101,20200131,8250903,花生活鲜花（花之韵鲜花店）,鲜花组,河南省,新乡,否,20191205,在线,18.0,18.4,23253,891,17,14,3.83,1.91,16,14,3751.0,2062.0,2196.0,1,0,1,0,0,0,0,0,0,14,0,0,11,6,54.55,2,0,0,2.3,2.3,2.3,0.0,,,1,1263.75
307,323,20200101,20200131,8278267,花生活鲜花（时光对白花店）,鲜花组,河南省,周口,否,20191207,在线,21.0,21.5,16743,585,11,6,3.49,1.88,11,6,1747.0,934.0,1047.0,1,0,1,0,0,0,0,0,0,6,0,0,5,1,20.0,1,0,0,0.0,0.0,0.0,0.0,,,1,778.7441860465116
313,329,20200101,20200131,8278326,花生活鲜花（知心花卉）,鲜花组,安徽省,芜湖,否,20191220,在线,24.0,24.0,14597,152,2,1,1.04,1.32,1,1,170.0,65.0,144.0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,33.33,0,0,0,0.0,0.0,0.0,0.0,,,1,608.2083333333334
324,340,20200101,20200131,8284382,花生活鲜花（胡子花艺）,鲜花组,云南省,昆明,否,20191209,在线,9.0,9.9,20209,667,16,10,3.3,2.4,22,20,2410.0,1133.0,1589.0,1,0,1,0,0,0,0,0,0,21,0,0,7,6,85.71,0,0,0,0.3,0.3,0.3,0.0,,,1,2041.3131313131312
327,343,20200101,20200131,8357582,花生活鲜花（遇见BEAUTY）,鲜花组,山东省,菏泽,否,20191219,在线,10.0,10.3,21110,536,30,26,2.54,5.6,33,31,17126.02,3321.39,14935.63,1,0,1,0,0,0,0,0,0,35,0,0,14,14,100.0,11,0,0,5.0,5.0,5.0,0.0,,,1,2049.514563106796
338,354,20200101,20200131,8435955,花生活鲜花（花之都鲜花批发行）,鲜花组,江苏省,徐州,否,20200109,在线,14.0,14.8,24362,305,1,0,1.25,0.33,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1,1646.081081081081
339,355,20200101,20200131,8435957,花生活鲜花（花之恋鲜花店）,鲜花组,河北省,唐山,否,20200108,在线,13.0,13.8,15670,523,18,16,3.34,3.44,27,25,43668.0,2275.43,42094.57,1,1,0,0,0,0,0,0,0,28,0,0,5,5,100.0,2,0,0,4.4,4.4,4.4,0.0,,,1,1135.5072463768115
