门店,门店ID,城市(城市负责人),体检分,权益奖励,近7日服务问题导致的营业额损失(元),本周触犯红线,上周触犯红线
"花韵花艺馆鲜花店(生日鲜花，表白鲜花)	","9024275	",郑州,"73.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"友新意鲜花坊(生日鲜花，表白鲜花)	","9024278	",西安,"80.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花之都创意鲜花馆(生日鲜花，表白鲜花)	","9043306	",潍坊,"71.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"时初花艺鲜花店(生日鲜花，表白鲜花)	","9043308	",咸阳,"66.0	",--,0,未触犯红线,未触犯红线
"元寳花店鲜花礼品鲜花店(生日鲜花，表白鲜花)	","9043310	",长春,"66.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"浪漫主题花艺(生日鲜花，表白鲜花)	","9043313	",佳木斯,"83.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"茗蔓花艺(生日鲜花，表白鲜花)	","9043314	",石家庄,"82.0	",提升月均体检分-生意贷-8月,259,未触犯红线,未触犯红线
"花坞鲜花店(生日鲜花，表白鲜花)	","9043317	",福州,"85.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花企网婚庆鲜花店(生日鲜花，表白鲜花)	","9043320	",泉州,"67.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"永恒鲜花店(生日鲜花，表白鲜花)	","9043425	",六盘水,"78.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"八度花艺(生日鲜花，表白鲜花)	","9043994	",许昌,"82.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"情缘婚庆鲜花店(生日鲜花，表白鲜花)	","9043995	",南平,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花间时光(生日鲜花，表白鲜花)	","9043996	",许昌,"81.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"柔怡鲜花鲜花店(生日鲜花，表白鲜花)	","9127995	",烟台,"69.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"等你花舍鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9132125	",合肥,"69.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花鲜阁鲜花店(生日鲜花，表白鲜花)	","9221181	",合肥,"82.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"南园鲜花坊鲜花店(生日鲜花，表白鲜花)	","9221238	",盘锦,"81.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花仙子-生日鲜花，表白鲜花	","9221239	",鹤岗,"72.0	",--,0,未触犯红线,未触犯红线
"印象花坊鲜花店(生日鲜花，表白鲜花)	","9221240	",潍坊,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"天天花坊鲜花店(生日鲜花，表白鲜花)	","9223872	",郴州,"82.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花知语婚典鲜花店(生日鲜花，表白鲜花)	","9228865	",龙岩,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"镜花缘花店鲜花店(生日鲜花，表白鲜花)	","9230196	",镇江,"68.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"姐妹鲜花店(生日鲜花，表白鲜花)	","9257821	",绥化,"81.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"1°花艺礼品(生日鲜花，表白鲜花)	","9257829	",安康,"81.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"都市花乡鲜花店(生日鲜花，表白鲜花)	","9263605	",朝阳,"79.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花语鲜鲜花店(生日鲜花，表白鲜花)	","9263832	",葫芦岛,"76.0	",提升月均体检分-生意贷-8月,339,未触犯红线,未触犯红线
"馨露鲜花店(生日鲜花，表白鲜花)	","9263833	",盘锦,"67.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"珍馨花店鲜花店(生日鲜花，表白鲜花)	","9266336	",泉州,"62.0	",提升月均体检分-生意贷-8月,229,未触犯红线,未触犯红线
"群芳鲜花店(生日鲜花，表白鲜花)	","9266337	",泰州,"87.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"流星花園鲜花店(生日鲜花，表白鲜花)	","9266338	",永州,"70.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"7号花舍鲜花店(生日鲜花，表白鲜花)	","9268522	",双鸭山,"62.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"大拇指婚庆鲜花店(生日鲜花，表白鲜花)	","9277061	",本溪,"82.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"百花庄花卉鲜花店(生日鲜花，表白鲜花)	","9280257	",益阳,"78.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"金缘鲜花店(生日鲜花，表白鲜花)	","9284178	",锦州,"61.0	",--,0,未触犯红线,未触犯红线
"长华花店鲜花店(生日鲜花，表白鲜花)	","9288256	",抚州,"68.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花开相爱鲜花店(生日鲜花，表白鲜花)	","9288258	",吕梁,"88.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"凤鲜婚庆花艺鲜花店(生日鲜花，表白鲜花)	","9288323	",益阳,"75.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"鑫鑫花艺鲜花店(生日鲜花，表白鲜花)	","9288324	",锦州,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"喜洋洋鲜花店(生日鲜花，表白鲜花)	","9288325	",乌海,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"英皇鲜花店(生日鲜花，表白鲜花)	","9288367	",菏泽,"56.0	",--,0,未触犯红线,未触犯红线
"婷旭花坊鲜花店(生日鲜花，表白鲜花)	","9291522	",营口,"71.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"蓝梦鲜花店(生日鲜花，表白鲜花)	","9295282	",丹东,"63.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"麦萌花艺生活馆鲜花店(生日鲜花，表白鲜花)	","9295284	",本溪,"77.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"婉苑鲜花鲜花店(生日鲜花，表白鲜花)	","9295286	",齐齐哈尔,"88.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"美家鲜花店(生日鲜花，表白鲜花)	","9295325	",岳阳,"83.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"田美花艺鲜花店(生日鲜花，表白鲜花)	","9295388	",丹东,"72.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"丰颖花艺鲜花店(生日鲜花，表白鲜花)	","9297947	",辽源,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"木子花开鲜花店-生日鲜花，表白鲜花	","9314599	",铁岭,"81.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"鲜花婚庆鲜花店(生日鲜花，表白鲜花)	","9314603	",天津,"83.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"馨悦花店鲜花店(生日鲜花，表白鲜花)	","9314605	",唐山,"59.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"茂业花店鲜花店(生日鲜花，表白鲜花)	","9314606	",湘西土家族苗族自治州,"68.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"如意花艺鲜花店(生日鲜花，表白鲜花)	","9314607	",南阳,"80.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"欣然鲜花店(生日鲜花，表白鲜花)	","9314608	",唐山,"81.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花间集鲜花店(生日鲜花，表白鲜花)	","9319351	",恩施土家族苗族自治州,"85.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"爱尚花坊鲜花店(生日鲜花，表白鲜花)	","9319651	",呼伦贝尔,"79.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"芳香缘鲜花批发(生日鲜花，表白鲜花)	","9320858	",大连,"67.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"博文花艺行鲜花店(生日鲜花，表白鲜花)	","9322628	",郑州,"66.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"锦上添花鲜花店(生日鲜花，表白鲜花)	","9322697	",长春,"75.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花无缺鲜花店(生日鲜花，表白鲜花)	","9323842	",锡林郭勒盟,"81.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"恒海鲜花店(生日鲜花，表白鲜花)	","9338708	",滨州,"80.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"开封市玺花诚园艺有限公司鲜花店(生日鲜花，表白鲜花)	","9338709	",开封,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"玫瑰之约（艾尚花语鲜花店）	","9338771	",安阳,"83.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"喜乐四季花卉鲜花店(生日鲜花，表白鲜花)	","9338794	",开封,"56.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"清香园鲜花店(生日鲜花，表白鲜花)	","9339174	",青岛,"73.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"绿之园花卉鲜花店(生日鲜花，表白鲜花)	","9339176	",永州,"75.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"阳光鲜花店(生日鲜花，表白鲜花)	","9339177	",保定,"49.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"晶晶花艺鲜花店(生日鲜花，表白鲜花)	","9342535	",漯河,"79.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"爱神鲜花鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9344175	",大连,"79.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
