,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
121,9438139,82.0,0,3,0.0,0.0,0.0
122,9438320,70.0,1,1,0.0,0.0,0.0
123,9438920,83.0,1,11,0.0,0.0,0.0
124,9439896,73.0,0,4,0.0,0.0,0.0
125,9465967,57.0,0,0,0.0,0.0,0.0
126,9465968,67.0,0,3,0.0,0.0,0.0
127,9465969,57.0,0,1,0.0,0.0,0.0
128,9469049,78.0,1,7,0.0,0.0,0.0
129,9469050,70.0,0,2,0.0,0.0,0.0
130,9469051,68.0,0,7,0.0,0.0,0.0
131,9471210,59.0,0,2,0.0,0.0,0.0
132,9474812,66.0,0,1,0.0,0.0,0.0
133,9474816,57.0,0,2,0.0,0.0,0.0
134,9475584,57.0,0,6,0.0,0.0,0.0
135,9479464,72.0,0,4,0.0,0.0,0.0
136,9479881,85.0,1,6,5.0,5.0,5.0
137,9482632,77.0,0,1,0.0,0.0,0.0
138,9482975,75.0,0,6,0.0,0.0,0.0
139,9483932,76.0,0,6,0.0,0.0,0.0
140,9517628,57.0,0,3,0.0,0.0,0.0
141,9517629,57.0,0,1,0.0,0.0,0.0
142,9523580,75.0,0,6,0.0,0.0,0.0
143,9529758,73.0,0,4,0.0,0.0,0.0
144,9529762,85.0,0,1,0.0,0.0,0.0
145,9529764,69.0,0,9,0.0,0.0,0.0
146,9529765,77.0,0,6,5.0,0.0,0.0
147,9529812,75.0,0,0,0.0,0.0,0.0
148,9529813,85.0,0,5,0.0,0.0,0.0
149,9544029,81.0,0,8,5.0,5.0,5.0
150,9555879,83.0,0,0,0.0,0.0,0.0
151,9555881,83.0,2,14,5.0,5.0,5.0
152,9555883,79.0,0,5,0.0,0.0,0.0
153,9556095,85.0,0,4,0.0,0.0,0.0
154,9556096,72.0,0,3,0.0,0.0,0.0
155,9557541,73.0,0,6,0.0,0.0,0.0
156,9559158,72.0,0,3,0.0,0.0,0.0
157,9569416,68.0,0,3,0.0,0.0,0.0
158,9569417,69.0,0,8,0.0,0.0,0.0
159,9569418,81.0,4,18,0.0,0.0,0.0
160,9569419,85.0,1,3,0.0,0.0,0.0
161,9569422,87.0,1,18,4.9,5.0,5.0
162,9575274,86.0,0,3,0.0,0.0,0.0
163,9578421,83.0,0,3,0.0,0.0,0.0
164,9594041,87.0,1,6,5.0,5.0,5.0
165,9594043,86.0,2,6,0.0,0.0,0.0
166,9607547,57.0,1,1,0.0,0.0,0.0
167,9607673,69.0,0,3,0.0,0.0,0.0
168,9607674,74.0,1,12,0.0,0.0,0.0
169,9608314,90.0,3,19,5.0,5.0,5.0
170,9608428,66.0,0,0,0.0,0.0,0.0
171,9608429,83.0,0,3,0.0,0.0,0.0
172,9609375,76.0,0,1,0.0,0.0,0.0
173,9609376,83.0,0,1,0.0,0.0,0.0
174,9614734,75.0,0,2,0.0,0.0,0.0
175,9622180,77.0,0,9,0.0,0.0,0.0
176,9622181,88.0,0,9,5.0,5.0,5.0
177,9641341,80.0,0,6,4.6,4.6,4.6
178,9649678,69.0,0,0,0.0,0.0,0.0
179,9670002,56.0,0,0,0.0,0.0,0.0
180,9670006,90.0,0,8,4.6,4.7,4.7
181,9670007,57.0,0,2,0.0,0.0,0.0
182,9670009,83.0,0,3,0.0,0.0,0.0
183,9670010,81.0,2,7,4.4,0.0,0.0
184,9670012,76.0,0,2,0.0,0.0,0.0
185,9670013,61.0,0,9,0.0,0.0,0.0
186,9670014,84.0,0,6,0.0,0.0,0.0
187,9670230,55.0,0,1,0.0,0.0,0.0
188,9673693,61.0,0,4,0.0,0.0,0.0
189,9679931,88.0,2,14,4.7,4.6,4.6
190,9679933,67.0,0,3,0.0,0.0,0.0
191,9685750,85.0,0,6,5.0,5.0,5.0
192,9686356,71.0,0,0,0.0,0.0,0.0
193,9686402,53.0,0,2,0.0,0.0,0.0
194,9691325,89.0,0,8,5.0,5.0,5.0
195,9691363,83.0,0,3,5.0,5.0,5.0
196,9694995,72.0,0,0,0.0,0.0,0.0
197,9699879,84.0,0,8,5.0,5.0,5.0
198,9709845,82.0,0,6,0.0,0.0,0.0
199,9709846,77.0,0,5,0.0,0.0,0.0
200,9709847,77.0,0,0,0.0,0.0,0.0
201,9718069,66.0,0,6,0.0,0.0,0.0
202,9724664,80.0,0,0,0.0,0.0,0.0
203,9736707,81.0,0,6,0.0,0.0,0.0
204,9736708,58.0,0,1,0.0,0.0,0.0
205,9737860,84.0,0,4,0.0,0.0,0.0
206,9755157,85.0,2,10,5.0,5.0,5.0
207,9756432,57.0,0,1,0.0,0.0,0.0
208,9756433,74.0,0,2,0.0,0.0,0.0
209,9756434,62.0,0,1,0.0,0.0,0.0
210,9756635,89.0,0,5,5.0,5.0,5.0
211,9757599,90.0,2,18,5.0,5.0,5.0
212,9762315,88.0,0,18,4.5,4.8,4.8
213,9762363,82.0,0,2,0.0,0.0,0.0
214,9766033,70.0,0,5,0.0,0.0,0.0
215,9766035,68.0,0,2,0.0,0.0,0.0
216,9766118,78.0,0,2,0.0,0.0,0.0
217,9766355,75.0,0,0,0.0,0.0,0.0
218,9768804,78.0,1,9,0.0,0.0,0.0
219,9771189,70.0,0,0,0.0,0.0,0.0
220,9771192,72.0,0,6,0.0,0.0,0.0
221,9771493,72.0,1,1,0.0,0.0,0.0
222,9773505,69.0,0,2,0.0,0.0,0.0
223,9784837,69.0,0,4,0.0,0.0,0.0
224,9785050,56.0,0,2,0.0,0.0,0.0
225,9786811,58.0,0,1,0.0,0.0,0.0
226,9789398,73.0,0,2,0.0,0.0,0.0
227,9789543,72.0,0,9,0.0,0.0,0.0
228,9793094,69.0,1,7,0.0,0.0,0.0
229,9793955,80.0,2,6,0.0,0.0,0.0
230,9794094,57.0,0,3,0.0,0.0,0.0
231,9794311,76.0,0,0,0.0,0.0,0.0
232,9794313,67.0,0,1,0.0,0.0,0.0
233,9797287,56.0,1,1,0.0,0.0,0.0
234,9797289,71.0,0,2,0.0,0.0,0.0
235,9798862,69.0,1,6,0.0,0.0,0.0
236,9798917,89.0,0,10,4.9,5.0,5.0
237,9805296,61.0,0,1,0.0,0.0,0.0
238,9811068,83.0,0,5,0.0,0.0,0.0
239,9811069,53.0,0,0,0.0,0.0,0.0
240,9811070,72.0,0,4,0.0,0.0,0.0
241,9811072,69.0,0,2,0.0,0.0,0.0
242,9811073,68.0,0,0,0.0,0.0,0.0
243,9811074,58.0,0,4,0.0,0.0,0.0
244,9811183,74.0,1,7,0.0,0.0,0.0
245,9811296,67.0,0,6,0.0,0.0,0.0
246,9811345,70.0,0,3,0.0,0.0,0.0
247,9819316,57.0,0,2,0.0,0.0,0.0
248,9835439,60.0,0,0,0.0,0.0,0.0
249,9848024,56.0,1,6,0.0,0.0,0.0
250,9848060,67.0,0,5,0.0,0.0,0.0
251,9850495,82.0,1,8,5.0,5.0,5.0
252,9863009,58.0,0,2,0.0,0.0,0.0
253,9863844,85.0,0,7,0.0,0.0,0.0
254,9863847,70.0,0,1,0.0,0.0,0.0
255,9866627,63.0,0,2,0.0,0.0,0.0
256,9881351,57.0,0,3,0.0,0.0,0.0
257,9881352,59.0,0,0,0.0,0.0,0.0
258,9885296,54.0,0,5,0.0,0.0,0.0
259,9889032,58.0,0,1,0.0,0.0,0.0
260,9890018,69.0,0,3,0.0,0.0,0.0
261,9902657,65.0,0,3,0.0,0.0,0.0
262,9902659,74.0,1,16,5.0,5.0,5.0
263,9902661,58.0,0,0,0.0,0.0,0.0
264,9903524,56.0,0,0,0.0,0.0,0.0
265,9910134,67.0,0,4,0.0,0.0,0.0
266,9910136,59.0,0,1,0.0,0.0,0.0
267,9910137,80.0,1,8,4.8,5.0,5.0
268,9918775,86.0,0,3,5.0,5.0,5.0
269,9918777,65.0,0,1,0.0,0.0,0.0
270,9921695,68.0,0,1,0.0,0.0,0.0
271,9922605,69.0,0,1,0.0,0.0,0.0
272,9924115,69.0,0,4,0.0,0.0,0.0
273,9924117,56.0,0,4,0.0,0.0,0.0
274,9924119,59.0,0,3,0.0,0.0,0.0
275,9932508,56.0,0,5,0.0,0.0,0.0
276,9933385,87.0,1,8,5.0,5.0,5.0
277,9933387,73.0,1,4,0.0,0.0,0.0
278,9934377,81.0,0,1,0.0,0.0,0.0
279,9980769,78.0,2,12,5.0,5.0,5.0
280,9985032,65.0,0,3,0.0,0.0,0.0
281,9985033,58.0,0,5,0.0,0.0,0.0
282,9985034,59.0,0,5,0.0,0.0,0.0
283,9985036,56.0,0,4,0.0,0.0,0.0
284,9987446,72.0,0,1,0.0,0.0,0.0
285,9991357,58.0,1,5,0.0,0.0,0.0
286,10004339,56.0,0,4,0.0,0.0,0.0
287,10014596,57.0,0,3,0.0,0.0,0.0
288,10017274,72.0,0,7,0.0,0.0,0.0
289,10017276,58.0,0,3,0.0,0.0,0.0
290,10017279,57.0,0,5,0.0,0.0,0.0
291,10017448,58.0,0,6,0.0,0.0,0.0
292,10051256,77.0,3,46,5.0,5.0,5.0
293,10051258,76.0,2,14,5.0,5.0,5.0
294,10051259,55.0,0,6,0.0,0.0,0.0
295,10052682,55.0,0,1,0.0,0.0,0.0
296,10052683,54.0,0,4,0.0,0.0,0.0
297,10058914,54.0,0,4,0.0,0.0,0.0
298,10060164,49.0,0,0,0.0,0.0,0.0
299,10065309,51.0,0,2,0.0,0.0,0.0
300,10066084,54.0,0,7,0.0,0.0,0.0
301,10068350,51.0,0,3,0.0,0.0,0.0
302,10068351,52.0,1,14,0.0,0.0,0.0
303,10068352,65.0,1,4,0.0,0.0,0.0
304,10068353,49.0,0,2,0.0,0.0,0.0
