,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
0,9024275,73.0,0,0,0.0,0.0,0.0
1,9024278,73.0,6,72,4.4,3.4,3.4
2,9043306,75.0,0,33,5.0,5.0,5.0
3,9043308,59.0,0,6,0.0,0.0,0.0
4,9043310,70.0,0,7,0.0,0.0,0.0
5,9043313,81.0,0,14,0.0,0.0,0.0
6,9043314,83.0,0,8,5.0,5.0,5.0
7,9043317,83.0,0,18,5.0,5.0,5.0
8,9043320,68.0,0,5,3.8,0.0,0.0
9,9043425,79.0,0,5,0.0,0.0,0.0
10,9043994,81.0,2,32,4.4,5.0,5.0
11,9043995,80.0,0,14,4.3,5.0,5.0
12,9043996,76.0,1,13,4.6,4.5,4.5
13,9127995,67.0,0,9,0.0,0.0,0.0
14,9132125,71.0,0,2,0.0,0.0,0.0
15,9221181,83.0,0,9,4.5,5.0,5.0
16,9221238,86.0,2,40,4.9,5.0,5.0
17,9221239,59.0,0,8,0.0,0.0,0.0
18,9221240,77.0,0,10,5.0,5.0,5.0
19,9223872,86.0,0,22,4.6,4.6,4.6
20,9228865,74.0,0,7,5.0,5.0,5.0
21,9230196,69.0,0,5,0.0,0.0,0.0
22,9257821,81.0,0,31,4.3,5.0,5.0
23,9257829,77.0,1,5,0.0,0.0,0.0
24,9263605,78.0,1,7,4.4,5.0,5.0
25,9263832,81.0,0,11,4.2,0.0,0.0
26,9263833,71.0,0,9,0.0,0.0,0.0
27,9266336,81.0,0,15,0.0,0.0,0.0
28,9266337,84.0,1,43,5.0,5.0,5.0
29,9266338,71.0,0,9,4.3,4.3,4.3
30,9268522,62.0,0,5,0.0,0.0,0.0
31,9277061,78.0,0,13,5.0,5.0,5.0
32,9280257,80.0,2,7,0.0,0.0,0.0
33,9284178,59.0,0,6,0.0,0.0,0.0
34,9288256,60.0,0,3,0.0,0.0,0.0
35,9288258,87.0,0,45,4.9,4.7,4.7
36,9288323,71.0,1,12,0.0,0.0,0.0
37,9288324,77.0,1,12,0.0,0.0,0.0
38,9288325,70.0,0,5,0.0,0.0,0.0
39,9288367,49.0,0,1,0.0,0.0,0.0
40,9291522,73.0,0,7,0.0,0.0,0.0
41,9295282,63.0,0,3,0.0,0.0,0.0
42,9295284,72.0,1,8,5.0,5.0,5.0
43,9295286,88.0,1,29,5.0,5.0,5.0
44,9295325,87.0,0,8,4.6,5.0,5.0
45,9295388,71.0,0,4,0.0,0.0,0.0
46,9297947,77.0,0,8,5.0,5.0,5.0
47,9314599,82.0,0,22,4.6,5.0,5.0
48,9314603,83.0,1,6,5.0,5.0,5.0
49,9314605,67.0,0,10,0.0,0.0,0.0
50,9314606,76.0,0,8,3.6,3.8,3.8
51,9314607,74.0,0,6,5.0,5.0,5.0
52,9314608,73.0,0,10,4.0,4.2,4.2
53,9319351,87.0,0,8,4.6,5.0,5.0
54,9319651,79.0,0,12,0.0,0.0,0.0
55,9320858,58.0,0,7,0.0,0.0,0.0
56,9322628,62.0,0,6,0.0,0.0,0.0
57,9322697,71.0,1,9,4.3,5.0,5.0
58,9323842,82.0,0,20,4.8,5.0,5.0
59,9338708,70.0,0,24,5.0,0.0,0.0
60,9338709,73.0,0,11,0.0,0.0,0.0
61,9338771,84.0,0,14,4.9,5.0,5.0
62,9338794,69.0,0,21,0.0,0.0,0.0
63,9339174,65.0,0,3,0.0,0.0,0.0
64,9339176,77.0,0,4,5.0,5.0,5.0
65,9339177,61.0,0,1,0.0,0.0,0.0
66,9342535,73.0,1,5,0.0,0.0,0.0
67,9344175,76.0,1,7,0.0,0.0,0.0
68,9345839,77.0,0,8,0.0,0.0,0.0
69,9349868,79.0,0,15,5.0,5.0,5.0
70,9352076,83.0,0,30,4.7,5.0,5.0
71,9352424,64.0,0,1,0.0,0.0,0.0
72,9355273,73.0,0,8,0.0,0.0,0.0
73,9360432,70.0,0,4,0.0,0.0,0.0
74,9364821,84.0,0,28,5.0,5.0,5.0
75,9364823,67.0,0,9,0.0,0.0,0.0
76,9366091,83.0,0,14,4.5,5.0,5.0
77,9366382,61.0,0,3,0.0,0.0,0.0
78,9370710,63.0,0,2,0.0,0.0,0.0
79,9382867,76.0,0,13,5.0,5.0,5.0
80,9385039,54.0,0,7,0.0,0.0,0.0
81,9385040,85.0,0,24,5.0,5.0,5.0
82,9385041,83.0,1,14,4.2,4.2,4.2
83,9385042,61.0,0,12,0.0,0.0,0.0
84,9385115,83.0,0,25,4.7,4.8,4.8
85,9385117,76.0,0,3,0.0,0.0,0.0
86,9385118,70.0,0,5,0.0,0.0,0.0
87,9385213,82.0,1,16,4.3,0.0,0.0
88,9385384,85.0,1,13,5.0,5.0,5.0
89,9385911,60.0,0,1,0.0,0.0,0.0
