,Unnamed: 0,供应商ID,供应商名,城市名,门店ID,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
619,1101,22267202676,花非花科技（原邂逅花坊）,滨州,2042489229,金双喜鲜花（棣新三路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
620,1102,22267202676,花非花科技（原邂逅花坊）,潍坊,167744278,邂逅花坊（四平路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
621,1103,22267202676,花非花科技（原邂逅花坊）,徐州,300672900,邂逅花坊（大吴街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
622,1104,22267202676,花非花科技（原邂逅花坊）,钦州,169732204,邂逅花坊（时尚花坊新兴路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
623,1105,22267202676,花非花科技（原邂逅花坊）,廊坊,166924750,邂逅花坊(燕顺路店),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
624,1106,22267202676,花非花科技（原邂逅花坊）,娄底,2043483969,遇见鲜花婚庆（新星南路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
625,1107,22267202676,花非花科技（原邂逅花坊）,贵阳,170245892,邂逅花坊（花心思花艺南明区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
626,1108,22267202676,花非花科技（原邂逅花坊）,南京,2043368127,御花园（天元东路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
627,1110,22267202676,花非花科技（原邂逅花坊）,贵阳,300692321,邂逅花坊（七晨花艺花石路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
628,1113,22267202676,花非花科技（原邂逅花坊）,克孜勒苏柯尔克孜自治州,2042499385,珍爱鲜花（光明街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
629,1117,22267202676,花非花科技（原邂逅花坊）,郑州,171029602,邂逅花坊（十里铺街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
630,1119,22267202676,花非花科技（原邂逅花坊）,桂林,167744309,邂逅花坊（良玉鲜花中山中路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
