,Unnamed: 0,Unnamed: 0.1,poi_id,门店名,品牌ID,品牌名,省份,城市,城市等级,蜂窝,一级品类,二级品类,是否营业,首次上线时间,配送方式,提单数,推单数,接单数,订单数,原价交易额,实付交易额,原价客单价,实付客单价,非异订单数,商家配送延迟订单数,商家拒单订单数,商家不接单订单数,商家取消不告知订单数,商家少餐错餐订单数,商家经营状态异常订单数,商家违规投诉订单数,美团配送延迟订单数,因美团配送原因取消订单数,线上活动总补贴金额,曝光人数,进店人数,成单用户数,在线商品数,在售商品数
667748,36665,36665,9710057,开心花卉（百合·康乃馨·向日葵）,100034936,玫瑰说,河北省,张家口,D1,桥西区,鲜花绿植,鲜花店,0,20200810.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,58,0,0,293,287
667846,36763,36763,9987840,紫情花艺,100012196,如愿鲜花,河北省,张家口,D1,桥西区,鲜花绿植,鲜花店,1,20200918.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,188,2,0,770,770
669460,38377,38377,9601223,花森林（海娇鲜花店）,100035486,花森林,河北省,张家口,D1,,鲜花绿植,综合鲜花绿植店,1,20200724.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,88,0,0,352,338
669550,38467,38467,1958942,鲜花坊（好心情鲜花店）,27557,鲜花坊,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20170119.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,106,1,0,285,278
670127,39044,39044,7255449,熊先生鲜花（天天鲜花）,100030825,熊先生鲜花,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20190614.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,257,1,0,408,287
670280,39197,39197,979299,随心花苑,0,,河北省,张家口,D1,银座,鲜花绿植,鲜花店,0,20160517.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,6,0,0,24,19
671612,40529,40529,8369636,花伴鲜花店（生日鲜花、婚庆用花、开业花篮）,100011097,玫瑰之约鲜花,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20200226.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,164,1,0,119,104
671849,40766,40766,8850906,花·时间鲜花店(生日花，表白花，鲜花),100004099,邂逅花坊鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200410.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,86,1,0,609,475
672140,41057,41057,9804027,绿之缘鲜花坊,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200822.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,33,5,0,94,93
672567,41484,41484,7535576,花匠先生（婚庆典礼情人竹鲜花店）,100030827,花匠先生,河北省,张家口,D1,桥东区,鲜花绿植,鲜花店,1,20190806.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,70,1,0,563,524
672997,41914,41914,9431456,花艺空间鲜花店（生日鲜花、婚庆用花、开业花篮）,100011097,玫瑰之约鲜花,河北省,张家口,D1,桥西区,鲜花绿植,鲜花店,1,20200702.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,143,2,0,433,414
674238,43155,43155,5961371,花匠先生（卡朵朵鲜花店）,100030827,花匠先生,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20181022.0,1,1,1,1,1,298.0,128.0,298.0,128.0,0,0,0,0,0,0,0,0,0,0,173.0,132,3,1,560,519
674246,43163,43163,7274305,初诺鲜花水果,0,,河北省,张家口,D1,高新区,鲜花绿植,鲜花店,0,20190617.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,22,1,0,60,58
674974,43891,43891,9736290,匠心花艺婚庆（百合·康乃馨·向日葵）,100034936,玫瑰说,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20200817.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,178,2,0,299,293
675040,43957,43957,3169810,腾飞花卉中心,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20170824.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,21,3,0,88,88
676686,45603,45603,4357084,婕拉花艺,0,,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20180129.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,64,2,0,94,49
677546,46463,46463,6675134,蕞美花店·dream flower,0,,河北省,张家口,D1,河北北方学院,鲜花绿植,鲜花店,1,20190402.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,48,1,0,9,9
678250,47167,47167,9438139,繁花花坊鲜花店(生日鲜花，表白鲜花),100034937,艾尚花语,河北省,张家口,D1,桥东区,鲜花绿植,鲜花店,1,20200703.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,87,3,0,449,444
678899,47816,47816,7577182,一家花店鲜花（青青花店）,100003909,一家花店,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20190827.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,225,3,0,523,486
680339,49256,49256,9552795,简爱花艺,0,,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20200721.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,44,0,0,216,215
680445,49362,49362,376284,美丽契约鲜花（花添喜事花店）,9810,美丽契约鲜花,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20150819.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,109,1,0,511,408
680655,49572,49572,6136674,邂逅花坊鲜花（沁香霞轩）,100004099,邂逅花坊鲜花,河北省,张家口,D1,桥西区,鲜花绿植,鲜花店,1,20181213.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,78,0,0,582,469
681046,49963,49963,890655,花世界,0,,河北省,张家口,D1,高新区,鲜花绿植,鲜花店,1,20160427.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,75,2,0,256,256
681825,50742,50742,5588201,俪缘花艺鲜花店,100009539,花西拾鲜花,河北省,张家口,D1,桥西区,鲜花绿植,鲜花店,1,20180811.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,44,2,0,258,257
682312,51229,51229,1449953,花匠先生(海艳花艺鲜花店),100030827,花匠先生,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20160902.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,128,0,0,560,519
683180,52097,52097,9201940,花香语鲜花婚庆（生日花，表白花，鲜花）,100004099,邂逅花坊鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200529.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,35,0,0,612,477
684048,52965,52965,9630382,蘭亭花卉（宣化路店）,100035487,花专家,河北省,张家口,D1,桥东区,鲜花绿植,鲜花店,1,20200729.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,115,3,0,324,318
684637,53554,53554,6524306,花之语,0,,河北省,张家口,D1,桥西区,鲜花绿植,鲜花店,1,20190128.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,5,2,0,15,13
685182,54099,54099,6332216,花间密码,0,,河北省,张家口,D1,高新区,鲜花绿植,鲜花店,0,20181226.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,25,23
685369,54286,54286,1786360,邂逅花坊鲜花（小草鲜花店）,100004099,邂逅花坊鲜花,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20161125.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,92,0,0,583,469
685697,54614,54614,1372332,花开相爱鲜花店,0,,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20160817.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,293,8,0,163,152
685976,54893,54893,8953201,实惠花屋,27819,维纳斯鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200422.0,1,4,2,2,2,426.0,266.0,213.0,133.0,0,0,0,0,0,0,0,0,0,0,223.0,168,12,2,656,610
686160,55077,55077,5744907,玫瑰园鲜花,0,,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20180901.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,138,0,0,142,51
686512,55429,55429,9736189,溢馨花艺店,100033020,沪花拾者,河北省,张家口,D1,高新区,鲜花绿植,综合鲜花绿植店,1,20200818.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,76,3,0,233,172
687286,56203,56203,5648476,花房姑娘,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20180816.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,17,1,0,33,14
687313,56230,56230,4966315,馨缘花艺,0,,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20180514.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,56,0,0,120,120
687417,56334,56334,6898286,那时花开,0,,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20190423.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,114,1,0,62,62
687541,56458,56458,7832692,百红花房（鲜花，绿植，生日花表白）,100003909,一家花店,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20191129.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,125,3,0,521,426
687729,56646,56646,6643951,芊卉花坊,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20190307.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,22,0,0,35,3
689046,57963,57963,8674169,木棉记忆花屋（崇礼店）,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200313.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,57,2,0,17,17
690177,59094,59094,9776058,百祥刺青鲜花店,0,,河北省,张家口,D1,高新区,鲜花绿植,鲜花店,1,20200819.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,194,4,0,185,181
691090,60007,60007,3809441,八彩鲜花（花语鲜花）,100004096,八彩时尚花艺,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20171124.0,1,1,1,1,1,158.0,68.0,158.0,68.0,1,1,0,0,0,0,0,0,0,0,102.9,224,10,1,506,501
691342,60259,60259,8191064,轩辕花卉,11035,鼎卉鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20191211.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,117,5,0,773,751
691468,60385,60385,2253189,世佳花艺,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,0,20170401.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,0
691676,60593,60593,5988221,798花舍,0,,河北省,张家口,D1,桥西区,鲜花绿植,鲜花店,1,20181023.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,23,1,0,120,104
693708,62625,62625,8837374,醉美花艺馆（教师节鲜花、绿植，盆栽）,0,,河北省,张家口,D1,高新区,鲜花绿植,鲜花店,1,20200409.0,1,2,2,2,2,906.0,456.0,453.0,228.0,0,0,0,0,0,0,0,0,0,0,461.0,264,13,2,145,144
694210,63127,63127,8769299,小梦花艺,11035,鼎卉鲜花,河北省,张家口,D1,高新区,鲜花绿植,鲜花店,1,20200327.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,281,5,0,782,758
694273,63190,63190,8371176,娇芷鲜花水果,0,,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20191225.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,36,1,0,34,24
696163,65080,65080,4303713,幸福花坊,27446,妮依然鲜花品牌店,河北省,张家口,D1,桥东区,鲜花绿植,鲜花店,1,20180123.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,314,7,0,266,264
696310,65227,65227,4393585,花鲜生鲜花店（张家口店）,0,,河北省,张家口,D1,桥东区,鲜花绿植,鲜花店,1,20180211.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,162,3,0,535,275
696769,65686,65686,7429063,熊先生鲜花（深深爱花艺馆）,100030825,熊先生鲜花,河北省,张家口,D1,桥西区,鲜花绿植,鲜花店,1,20190801.0,1,1,1,1,1,176.0,88.0,176.0,88.0,0,0,0,0,0,0,0,0,0,0,92.0,273,10,1,408,287
697278,66195,66195,6289392,源之香鲜花绿植（怀来店）,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20181207.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,98,7,0,66,62
697661,66578,66578,7715615,八彩鲜花（挚爱鲜花坊店）,100004096,八彩时尚花艺,河北省,张家口,D1,高新区,鲜花绿植,鲜花店,1,20191013.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,372,4,0,507,490
697911,66828,66828,9860425,"品茗鲜花店(生日花,表白花,鲜花店)",100004099,邂逅花坊鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200902.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,95,4,0,574,467
698580,67497,67497,9397301,洪茂花店（康乃馨·向日葵）,100035487,花专家,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200629.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,159,2,0,324,318
699468,68385,68385,4949364,娜娜鲜花店,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20180512.0,2,1,1,1,1,130.0,130.0,130.0,130.0,0,0,0,0,0,0,0,0,0,0,6.5,75,4,1,105,96
700260,69177,69177,4439347,欣馨花艺赤城河沿街店,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20180309.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,65,1,0,112,24
700882,69799,69799,9599505,千寻花道生活馆（七夕情人节，告白，生日）,100025970,花生活,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200725.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,143,4,0,639,623
701330,70247,70247,4376062,爱阳花卉中心,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20180205.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,31,1,0,30,18
701961,70878,70878,7335337,墨里花坊,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20190626.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,41,2,0,84,76
702298,71215,71215,8061981,梅瑜花艺,0,,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20191224.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,38,3,0,42,42
702338,71255,71255,6531722,花匠先生（鲜花店绿植）,100030827,花匠先生,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20190129.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,113,1,0,541,519
702824,71741,71741,9928561,尤加利女孩,0,,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20200913.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,25,1,0,15,12
703069,71986,71986,7134390,生活花译馆,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20190522.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,29,1,0,145,138
703111,72028,72028,9379579,初遇花坊(鲜花),11035,鼎卉鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200622.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,137,6,0,758,751
703500,72417,72417,5633635,花木兰,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20180815.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,42,2,0,64,12
704098,73015,73015,4017324,藤园艺馆,0,,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20171211.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,12,0,0,13,8
705246,74163,74163,7255448,熊先生鲜花（娜间花店）,100030825,熊先生鲜花,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20190611.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,176,4,0,407,257
705849,74766,74766,4465240,鹿大人（田园花舍鲜花）,100033339,鹿大人,河北省,张家口,D1,桥东区,鲜花绿植,鲜花店,1,20180309.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,375,14,0,391,390
705913,74830,74830,7933846,鲜花店,0,,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,0,20191013.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,13,1
706102,75019,75019,9810227,爱之漫,100025970,花生活,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200823.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,81,4,0,639,622
706988,75905,75905,9569808,小草鲜花店（百合·康乃馨·向日葵）,100034936,玫瑰说,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20200720.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,138,0,0,293,287
707012,75929,75929,9716991,花间密码,100031553,喜花绿植,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20200810.0,1,1,1,1,1,228.0,88.0,228.0,88.0,0,0,0,0,0,0,0,0,0,0,143.0,330,9,1,288,288
707184,76101,76101,7134801,花漫,0,,河北省,张家口,D1,桥东区,鲜花绿植,鲜花店,0,20190603.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,2,1,0,21,19
708280,77197,77197,4381739,一美花卉,0,,河北省,张家口,D1,桥东区,鲜花绿植,鲜花店,1,20180206.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,194,2,0,425,405
708410,77327,77327,9147490,小娜花艺,0,,河北省,张家口,D1,,鲜花绿植,综合鲜花绿植店,0,20200809.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,15,0,0,16,16
709017,77934,77934,8629184,花点时间花艺室（向日葵·康乃馨·鲜花）,100030825,熊先生鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200330.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,259,4,0,408,287
709105,78022,78022,8936499,花·时间（康乃馨·向日葵）,100035487,花专家,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20200427.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,150,2,0,324,318
709511,78428,78428,7380463,花驿花苑(礼品鲜花，生日花、表白花),0,,河北省,张家口,D1,桥东区,鲜花绿植,鲜花店,1,20190709.0,1,12,10,10,10,3150.0,1081.0,315.0,108.1,0,0,0,0,0,0,0,0,0,0,2181.0,731,52,10,606,345
709820,78737,78737,2033651,百艳花卉,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,0,20170220.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,18,1,0,155,139
710339,79256,79256,5624135,七月·花坊,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20180814.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,44,2,0,48,20
710975,79892,79892,6513954,如愿鲜花（小梦花艺）,100012196,如愿鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20190125.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,170,6,0,848,848
710981,79898,79898,7438654,醉美花艺馆（向日葵·康乃馨·鲜花）,100030825,熊先生鲜花,河北省,张家口,D1,高新区,鲜花绿植,鲜花店,1,20190801.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,371,6,0,408,313
711241,80158,80158,6724672,四季花卉（金聚底商店）,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20190320.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,47,1,0,144,75
711617,80534,80534,5588132,百艳花居鲜花店,100009539,花西拾鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20180811.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,92,5,0,179,179
712368,81285,81285,9709845,百艳花居-生日鲜花，表白鲜花,100034937,艾尚花语,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200810.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,106,5,0,453,452
712663,81580,81580,9230081,心语鲜花店,100009539,花西拾鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200713.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,38,3,0,219,218
713952,82869,82869,7529295,舒艺鲜花（汉桥街店）,0,,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20190816.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,76,2,0,113,95
714476,83393,83393,5388162,木子花艺,100012293,艾菲尔鲜花,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20180713.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,62,2,0,264,264
714643,83560,83560,9600515,花森林（苗苗鲜花店）,100035486,花森林,河北省,张家口,D1,银座,鲜花绿植,综合鲜花绿植店,1,20200724.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,75,2,0,352,125
715359,84276,84276,9543676,情缘花卉（桥东区店）,100004093,鲜花到家,河北省,张家口,D1,高新区,鲜花绿植,综合鲜花绿植店,1,20200721.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,70,1,0,212,211
715614,84531,84531,5588164,世纪花卉鲜花店,100009539,花西拾鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20180811.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,67,6,0,186,186
715706,84623,84623,7103809,诗蕊花艺,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20190517.0,2,1,1,1,1,188.0,188.0,188.0,188.0,0,0,0,0,0,0,0,0,0,0,1.0,76,6,1,42,30
716259,85176,85176,2285433,靓家花艺,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20170411.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,56,1,0,66,45
716312,85229,85229,7210185,牵手婚庆鲜花,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20190604.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,47,1,0,26,12
717522,86439,86439,1434270,诗蕊花艺,0,,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20160831.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,106,0,0,207,87
717635,86552,86552,2153267,小橡树花坊,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,0,20170324.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,8,0,0,52,10
718109,87026,87026,9465283,花屿（百合·康乃馨·向日葵）,100034936,玫瑰说,河北省,张家口,D1,桥西区,鲜花绿植,鲜花店,1,20200706.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,144,1,0,293,287
718943,87860,87860,9549350,王小姐的花店（百合·康乃馨·向日葵）,100034936,玫瑰说,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20200717.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,163,2,0,293,287
719356,88273,88273,9627274,蘭亭花卉（胜利北路店）,100035487,花专家,河北省,张家口,D1,桥东区,鲜花绿植,鲜花店,1,20200729.0,1,1,1,1,1,426.0,149.0,426.0,149.0,0,0,0,0,0,0,0,0,0,0,281.0,160,3,1,324,318
719700,88617,88617,9652002,鲜花绿植（生日花）,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200803.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,210,5,0,566,412
720808,89725,89725,6591906,鼎卉鲜花（九朵精致鲜花坊）,11035,鼎卉鲜花,河北省,张家口,D1,桥东区,鲜花绿植,鲜花店,1,20190811.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,206,2,0,743,718
720902,89819,89819,7417976,锦熹花艺（鲜花，绿植，生日花）,0,,河北省,张家口,D1,桥西区,鲜花绿植,鲜花店,1,20190710.0,1,2,2,2,2,686.0,176.0,343.0,88.0,0,0,0,0,0,0,0,0,0,0,521.0,373,12,2,514,292
721077,89994,89994,9608503,花艺坊,0,,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20200809.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,212,2,0,216,215
721378,90295,90295,8743603,玫瑰花坊·七夕鲜花,100025970,花生活,河北省,张家口,D1,桥西区,鲜花绿植,鲜花店,1,20200330.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,300,4,0,639,623
722581,1038,1038,9655234,一间花坊·教师节鲜花,100042771,朋克城市花坊,河北省,张家口,D1,高新区,鲜花绿植,鲜花店,1,20200804.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,84,0,0,235,96
722608,1065,1065,7001544,她的花店,0,,河北省,张家口,D1,高新区,鲜花绿植,鲜花店,1,20190627.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,69,1,0,73,68
722864,1321,1321,634577,邂逅花坊鲜花（花韵千谷),100004099,邂逅花坊鲜花,河北省,张家口,D1,桥西区,鲜花绿植,鲜花店,1,20190423.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,127,4,0,582,464
723582,2039,2039,9721458,良玉花艺美学馆,0,,河北省,张家口,D1,银座,鲜花绿植,综合鲜花绿植店,0,20200822.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,5,0,0,38,36
