,poi_id,门店名,品牌ID,品牌名,省份,城市,城市等级,蜂窝,首次上线时间,一级品类,二级品类,在线商品数,提单数,推单数,订单数,原价交易额,实付交易额,非异订单数,商家配送延迟订单数,商家拒单订单数,商家不接单订单数,商家取消不告知订单数,商家违规投诉订单数,美团配送延迟订单数,因美团配送原因取消订单数,曝光人数,进店人数,成单用户数
0,5588132,百艳花居鲜花店,100009539,花西拾鲜花,河北省,张家口,D1,,20180811.0,鲜花绿植,鲜花店,174,10,10,9,2648.0,1320.0,1,0,1,0,0,0,0,0,1708,103,9
0,6513954,如愿鲜花（小梦花艺）,100012196,如愿鲜花,河北省,张家口,D1,,20190125.0,鲜花绿植,鲜花店,848,34,33,32,7107.8,4330.7,1,1,0,0,0,0,0,0,4379,339,32
0,7438654,醉美花艺馆（向日葵·康乃馨·鲜花）,100030825,熊先生鲜花,河北省,张家口,D1,高新区,20190801.0,鲜花绿植,鲜花店,408,7,7,7,974.0,737.0,0,0,0,0,0,0,0,0,7851,125,7
0,7380463,花驿花苑(礼品鲜花，生日花、表白花),0,,河北省,张家口,D1,桥东区,20190709.0,鲜花绿植,鲜花店,605,232,209,182,66106.0,24276.0,17,10,7,0,0,0,0,0,18087,1386,182
0,5624135,七月·花坊,0,,河北省,张家口,D1,,20180814.0,鲜花绿植,鲜花店,48,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,929,36,0
0,2033651,百艳花卉,0,,河北省,张家口,D1,,20170220.0,鲜花绿植,鲜花店,155,1,1,1,157.0,157.0,0,0,0,0,0,0,0,0,990,40,1
0,9147490,小娜花艺,0,,河北省,张家口,D1,,20200809.0,鲜花绿植,综合鲜花绿植店,16,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,390,15,0
0,9709845,百艳花居-生日鲜花，表白鲜花,100034937,艾尚花语,河北省,张家口,D1,,20200810.0,鲜花绿植,鲜花店,453,13,12,12,3357.0,1732.99,0,0,0,0,0,0,0,0,2223,149,12
0,5744907,玫瑰园鲜花,0,,河北省,张家口,D1,银座,20180901.0,鲜花绿植,鲜花店,142,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3901,14,0
0,5648476,花房姑娘,0,,河北省,张家口,D1,,20180816.0,鲜花绿植,鲜花店,33,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,350,6,0
0,9736189,溢馨花艺店,100033020,沪花拾者,河北省,张家口,D1,高新区,20200818.0,鲜花绿植,综合鲜花绿植店,233,4,3,3,429.0,231.48,0,0,0,0,0,0,0,0,1554,52,3
0,8674169,木棉记忆花屋（崇礼店）,0,,河北省,张家口,D1,,20200313.0,鲜花绿植,鲜花店,17,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1599,61,0
0,6643951,芊卉花坊,0,,河北省,张家口,D1,,20190307.0,鲜花绿植,鲜花店,35,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,453,28,0
0,8953201,实惠花屋,27819,维纳斯鲜花,河北省,张家口,D1,,20200422.0,鲜花绿植,鲜花店,656,41,35,35,8159.0,3181.02,0,0,0,0,0,0,0,0,4825,322,35
0,1786360,邂逅花坊鲜花（小草鲜花店）,100004099,邂逅花坊鲜花,河北省,张家口,D1,宣化区,20161125.0,鲜花绿植,鲜花店,583,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1701,16,0
0,1372332,花开相爱鲜花店,0,,河北省,张家口,D1,银座,20160817.0,鲜花绿植,鲜花店,163,17,17,17,2273.0,2273.0,0,0,0,0,0,0,0,0,6083,204,16
0,6898286,那时花开,0,,河北省,张家口,D1,宣化区,20190423.0,鲜花绿植,鲜花店,62,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3171,19,0
0,4966315,馨缘花艺,0,,河北省,张家口,D1,宣化区,20180514.0,鲜花绿植,鲜花店,109,1,1,1,68.0,68.0,0,0,0,0,0,0,0,0,1224,34,1
0,7832692,百红花房（鲜花，绿植，生日花表白）,100003909,一家花店,河北省,张家口,D1,,20191129.0,鲜花绿植,鲜花店,521,1,1,1,266.0,159.0,1,1,0,0,0,0,0,0,3112,96,1
0,5972058,邂逅花坊鲜花（茗花坊鲜花店）,100004099,邂逅花坊鲜花,河北省,张家口,D1,银座,20181018.0,鲜花绿植,鲜花店,583,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1775,30,0
0,3604414,芙蓉花店,0,,河北省,张家口,D1,,20171023.0,鲜花绿植,鲜花店,21,1,1,1,599.0,599.0,0,0,0,0,0,0,0,0,1548,68,1
0,9231667,奇欣花卉（鲜花，绿植，生日花表白）,100003909,一家花店,河北省,张家口,D1,,20200602.0,鲜花绿植,鲜花店,475,9,8,6,1527.0,651.0,0,0,0,0,0,0,0,0,2159,72,6
0,9131026,海林超市鲜花店,0,,河北省,张家口,D1,,20200524.0,鲜花绿植,综合鲜花绿植店,64,4,2,2,446.0,446.0,0,0,0,0,0,0,0,0,1672,81,2
0,6513955,如愿鲜花（花恋鲜花坊）,100012196,如愿鲜花,河北省,张家口,D1,宣化区,20190124.0,鲜花绿植,鲜花店,770,6,6,5,2228.0,1186.0,0,0,0,0,0,0,0,0,6759,106,5
0,4950879,鲜花到（怡花都鲜花礼品）,100028370,鲜花网,河北省,张家口,D1,桥西区,20180512.0,鲜花绿植,鲜花店,470,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2585,55,0
0,7707902,鹿大人（风云花艺鲜花馆）,100033339,鹿大人,河北省,张家口,D1,桥东区,20190910.0,鲜花绿植,鲜花店,414,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2308,34,0
0,5154982,水云间花卉,0,,河北省,张家口,D1,,20180607.0,鲜花绿植,鲜花店,76,3,2,2,277.0,277.0,0,0,0,0,0,0,0,0,1044,51,2
0,9028638,巧巧花坊（张家口店）,0,,河北省,张家口,D1,,20200516.0,鲜花绿植,鲜花店,249,3,2,0,0.0,0.0,0,0,0,0,0,0,0,0,2520,55,0
0,9438139,繁花花坊鲜花店(生日鲜花，表白鲜花),100034937,艾尚花语,河北省,张家口,D1,桥东区,20200703.0,鲜花绿植,鲜花店,449,2,2,2,548.0,268.0,0,0,0,0,0,0,0,0,3422,98,2
0,6136674,邂逅花坊鲜花（沁香霞轩）,100004099,邂逅花坊鲜花,河北省,张家口,D1,桥西区,20181213.0,鲜花绿植,鲜花店,582,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1757,7,0
0,376284,美丽契约鲜花（花添喜事花店）,9810,美丽契约鲜花,河北省,张家口,D1,银座,20150819.0,鲜花绿植,鲜花店,510,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2949,78,0
0,7577182,一家花店鲜花（青青花店）,100003909,一家花店,河北省,张家口,D1,宣化区,20190827.0,鲜花绿植,鲜花店,523,2,2,0,0.0,0.0,1,0,1,0,0,0,0,0,5961,80,0
0,9552795,简爱花艺,0,,河北省,张家口,D1,银座,20200721.0,鲜花绿植,鲜花店,164,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1705,7,0
0,6675134,蕞美花店·dream flower,0,,河北省,张家口,D1,河北北方学院,20190402.0,鲜花绿植,鲜花店,9,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1185,7,0
