,蜂窝,门店总数,订单数,曝光人数,订单方差,实付交易额,平均订单数,平均金额,均客单价,最小客单价,最大客单价,非议订单数,拒单,不接订单,蜂窝数量
0,0,80,377,148104,8.206502130334819,48974.55,4.7125,612.181875,146.88823508594004,42.61666666666667,599.0,16,7,2,1
0,宣化区,30,311,132547,22.644910112936824,38087.51,10.366666666666667,1269.5836666666667,116.48187460563172,59.28333333333333,237.2,9,1,0,1
0,桥东区,20,306,100746,42.9370408119168,39068.659999999996,15.3,1953.4329999999998,160.71601643970064,50.25,398.88,23,9,0,1
0,桥西区,24,292,102935,37.598180652869324,32329.539999999997,12.166666666666666,1347.0641666666666,137.64300207772584,82.79333333333334,299.0,26,5,2,1
0,高新区,26,240,141187,20.711943785763207,24995.03,9.23076923076923,961.3473076923076,99.87493515292293,8.833333333333334,168.0,8,3,1,1
0,河北北方学院,4,144,34488,61.193681591048815,16365.9,36.0,4091.475,116.06746178786474,112.90551181102362,119.22941176470589,5,2,0,1
0,银座,26,41,65429,3.869605426118554,5137.99,1.5769230769230769,197.61499999999998,149.30794989106755,94.66666666666667,218.0,3,1,0,1
