日期,订单编号,下单时间,接单时长,店铺名称,店铺ID,店铺所在城市,订单支付类型,订单状态,订单配送状态,是否预订单,订单总金额,订单折扣后金额,平台承担活动金额,商家承担活动金额,商品分类,商品名称,UPC码,商品SKU码,商品销售数量,商品原价销售额,商品实付销售额,商品总补贴金额,商品商家补贴金额,商品平台补贴金额,是否部分退款商品,部分退款商品数量,部分退款商品金额,订单小额付款,配送费,是否活动订单,优惠活动,是否催单,回复状态,商家回复内容,配送时长,打包袋费,订单完成时间,订单取消原因（仅取消订单）
"	20200601-20200630","92663370205334896	","2020-06-12 14:58:02	",180秒,"群芳鲜花礼品	","9266337	","泰州	",在线支付,订单完成,配送中,否,239.00,96.00,0.00,148.00,"爱情告白	",【一吻之间】11枝红玫瑰鲜花花束,,,1,239.00,96.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满79.0元赠精美贺卡下单备注贺卡内容*1/购买【一吻之间】11枝红玫瑰鲜花花束原价239.0元现价99.0元/门店新客立减3.0元	",否,已回复,,0.00分,0.00,"2020-06-12 16:38:43	",
"	20200601-20200630","92663371771916350	","2020-06-12 15:59:38	",63秒,"群芳鲜花礼品	","9266337	","泰州	",在线支付,订单完成,配送中,否,229.00,86.00,0.00,148.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,86.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满79.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价89.0元/门店新客立减3.0元	",否,已回复,,0.00分,0.00,"2020-06-12 18:42:31	",
"	20200601-20200630","92663371594930278	","2020-06-17 17:57:10	",57秒,"群芳鲜花礼品	","9266337	","泰州	",在线支付,订单完成,配送中,否,229.00,86.00,0.00,148.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,86.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满79.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价89.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,"炎炎夏日，鲜花传情，感谢您的喜欢和信任，每一束鲜花都是经过花艺师精心设计细心制作的。您是有眼光的，我们是负责任的。赠人玫瑰手有余香，初心不改，花开相爱。再次感谢您的鼓励和支持，祝您生活愉快，工作顺利！	",0.00分,0.00,"2020-06-17 20:32:21	",
"	20200601-20200630","92663371922721414	","2020-06-18 12:53:10	",62秒,"群芳鲜花礼品	","9266337	","泰州	",在线支付,订单完成,配送中,否,239.00,73.00,0.00,171.00,"爱情告白	",【我心永恒】11枝红玫瑰鲜花花束,,,1,239.00,73.00,166.00,166.00,0.00,否,0,0.00,0.00,0.00,是,"满79.0元赠精美贺卡下单备注贺卡内容*1/购买【我心永恒】11枝红玫瑰鲜花花束原价239.0元现价79.0元/门店新客立减3.0元/用户使用了商家代金券减3元	",否,已回复,,0.00分,0.00,"2020-06-18 14:22:39	",
"	20200601-20200630","92663373754946970	","2020-06-18 18:36:53	",55秒,"群芳鲜花礼品	","9266337	","泰州	",在线支付,订单完成,配送中,否,229.00,66.00,0.00,163.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,66.00,163.00,163.00,0.00,否,0,0.00,0.00,0.00,是,"购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减3.0元	",否,已回复,,0.00分,0.00,"2020-06-18 20:15:48	",
"	20200601-20200630","92663370223711193	","2020-06-27 16:10:26	",41秒,"群芳鲜花礼品	","9266337	","泰州	",在线支付,订单完成,配送中,否,229.00,64.00,0.00,165.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,64.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减5.0元	",否,已回复,"感谢您在茫茫花海中找到了心情不错鲜花，(*^__^*) 选择我们没有让您失望，收花人很满意，做鲜花的一定要对得起爱情 一直以来是我们的宗旨，祝您万事如意，合家欢乐！期待您的每一次光临哦~	",0.00分,0.00,"2020-06-27 18:28:51	",
"	20200601-20200630","92663371046535479	","2020-06-28 11:17:58	",110秒,"群芳鲜花礼品	","9266337	","泰州	",在线支付,订单完成,配送中,否,239.00,74.00,0.00,170.00,"爱情告白	",【我心永恒】11枝红玫瑰鲜花花束,,,1,239.00,74.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满79.0元赠精美贺卡下单备注贺卡内容*1/购买【我心永恒】11枝红玫瑰鲜花花束原价239.0元现价79.0元/门店新客立减5.0元	",否,已回复,,0.00分,0.00,"2020-06-28 15:48:42	",
"	20200601-20200630","92663373126568044	","2020-06-29 08:12:04	",111秒,"群芳鲜花礼品	","9266337	","泰州	",在线支付,订单完成,配送中,否,239.00,84.00,0.00,160.00,"毕业季	",【阳光】6枝向日葵鲜花花束毕业季花礼,,,1,239.00,84.00,155.00,155.00,0.00,否,0,0.00,0.00,0.00,是,"满79.0元赠精美贺卡下单备注贺卡内容*1/购买【阳光】6枝向日葵鲜花花束毕业季花礼原价239.0元现价89.0元/门店新客立减5.0元	",否,已回复,"感谢您选择我们，相信我们，支持我们。不管是什么时候，我们都在不停地改变和进步，期待您的每一次光临~祝您生活愉快	",0.00分,0.00,"2020-06-29 10:07:27	",
"	20200601-20200630","92663381046535479	","2020-06-28 16:15:03	",0秒,"流星花園	","9266338	","永州	",在线支付,订单完成,用户提交订单,是,289.00,181.00,0.00,113.00,"开业花篮	",【四季发财】开业花篮一对,,,1,289.00,181.00,108.00,108.00,0.00,否,0,0.00,0.00,0.00,是,"满200.0元减100.0元/满69.0元赠精美贺卡下单备注贺卡内容*1/门店新客立减5.0元/用户使用了商家代金券减3元	",否,已回复,,0.00分,0.00,"2020-06-29 08:01:00	",
"	20200601-20200630","92770611813158088	","2020-06-23 14:33:00	",19秒,"大拇指婚庆	","9277061	","本溪	",在线支付,订单完成,配送中,否,229.00,73.00,0.00,161.00,"爱的惊喜	",【心向暖阳】11枝红玫瑰鲜花花束,,"115	",1,229.00,73.00,156.00,156.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【心向暖阳】11枝红玫瑰鲜花花束原价229.0元现价79.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减3元	",否,未回复,,0.00分,0.00,"2020-06-23 21:43:42	",
"	20200601-20200630","92802571594930278	","2020-06-17 16:05:24	",35秒,"百花庄花卉	","9280257	","益阳	",在线支付,订单完成,配送中,否,259.00,126.00,0.00,138.00,"爱情告白	",【如此爱你】19枝红玫瑰鲜花花束,,,1,259.00,126.00,133.00,133.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【如此爱你】19枝红玫瑰鲜花花束原价259.0元现价129.0元/门店新客立减3.0元	",否,未回复,,0.00分,0.00,"2020-06-17 23:32:17	",
"	20200601-20200630","92802571562630905	","2020-06-26 14:50:30	",212秒,"百花庄花卉	","9280257	","益阳	",在线支付,订单完成,配送中,否,289.00,111.00,0.00,183.00,"感恩父亲节	",【浩然正气】9枝向日葵鲜花花束,,,1,289.00,111.00,178.00,178.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【浩然正气】9枝向日葵鲜花花束原价289.0元现价119.0元/门店新客立减5.0元/送3元商家代金券/用户使用了商家代金券减3元	",否,已回复,"感谢您的惠顾与好评，您的支持是我们前进的动力，我们会继续加油，希望下次还能为您服务，祝您生活美满，每天都有新收获！	",0.00分,0.00,"2020-06-26 16:38:16	",
"	20200601-20200630","92802570362605194	","2020-06-27 14:39:00	",102秒,"百花庄花卉	","9280257	","益阳	",在线支付,订单完成,配送中,否,229.00,64.00,0.00,170.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,64.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减5.0元/送3元商家代金券	",否,已回复,"您喜欢就好的，我们知道您订购的绝不仅仅是一束鲜花，而是您的一份深情，能为您完美的传递这份感情是我们应该并努力做到的。希望在您心中，我们是一家您可以信赖的花店！祝您开心快乐每一天！	",0.00分,0.00,"2020-06-27 17:49:42	",
"	20200601-20200630","92802573126568044	","2020-06-29 16:42:12	",16秒,"百花庄花卉	","9280257	","益阳	",在线支付,订单完成,配送中,否,239.00,74.00,0.00,170.00,"爱情告白	",【我心永恒】11枝红玫瑰鲜花花束,,,1,239.00,74.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【我心永恒】11枝红玫瑰鲜花花束原价239.0元现价79.0元/门店新客立减5.0元/送3元商家代金券	",否,已回复,"感谢您选择我们，相信我们，支持我们。不管是什么时候，我们都在不停地改变和进步，期待您的每一次光临~祝您生活愉快	",0.00分,0.00,"2020-06-29 19:22:51	",
"	20200601-20200630","92882562418905312	","2020-06-22 16:44:50	",153秒,"长华花店	","9288256	","抚州	",在线支付,订单取消,用户提交订单,否,239.00,96.00,0.00,148.00,"感恩父亲节	",【一身正气】6枝向日葵鲜花花束,,,1,239.00,96.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【一身正气】6枝向日葵鲜花花束原价239.0元现价99.0元/门店新客立减3.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,,"其他	"
"	20200601-20200630","92882583586875043	","2020-06-28 22:32:35	",167秒,"花开相爱	","9288258	","吕梁	",在线支付,订单完成,配送中,否,239.00,74.00,0.00,170.00,"感恩父亲节	",【语重心长】11枝红玫瑰鲜花花束,,,1,239.00,74.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【语重心长】11枝红玫瑰鲜花花束原价239.0元现价79.0元/门店新客立减5.0元	",否,已回复,"亲爱的顾客您好，您的信任是我们前进的最大动力	",0.00分,0.00,"2020-06-28 23:27:36	",
"	20200601-20200630","92882582871595796	","2020-06-30 19:12:27	",176秒,"花开相爱	","9288258	","吕梁	",在线支付,订单完成,配送中,否,88.00,88.00,0.00,5.00,"11枝玫瑰专区	",11支戴安娜,,,1,88.00,88.00,0.00,0.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/送3元商家代金券	",否,已回复,"亲爱的顾客您好，谢谢您的信任与支持期待您的在次光临。	",0.00分,0.00,"2020-06-30 20:40:58	",
"	20200601-20200630","92883671990498538	","2020-06-21 16:49:21	",0秒,"英皇花店	","9288367	","菏泽	",在线支付,订单取消,用户提交订单,否,133.00,74.00,0.00,64.00,"感恩父亲节	",【父亲】1枝向日葵+3枝香槟玫瑰鲜花花束,,,1,129.00,73.00,56.00,56.00,0.00,否,0,0.00,0.00,4.00,是,"满100.0元减50.0元/满69.0元赠精美贺卡下单备注贺卡内容*1/门店新客立减3.0元/减配送费3.0元/送3元商家代金券/用户使用了商家代金券减3元	",否,未回复,,0.00分,0.00,,"其他	"
"	20200601-20200630","92883672218359854	","2020-06-25 20:04:27	",0秒,"英皇花店	","9288367	","菏泽	",在线支付,订单取消,用户提交订单,是,703.00,595.00,0.00,113.00,"开业花篮	",【财源流长】三脚架开业花篮一对,,,1,699.00,594.00,105.00,105.00,0.00,否,0,0.00,0.00,4.00,是,"满200.0元减100.0元/满69.0元赠精美贺卡下单备注贺卡内容*1/门店新客立减5.0元/减配送费3.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,,"其他	"
"	20200601-20200630","92915222400733140	","2020-06-20 18:49:55	",0秒,"婷旭花坊	","9291522	","营口	",在线支付,订单取消,用户提交订单,否,239.00,73.00,0.00,171.00,"感恩父亲节	",【温暖】11枝粉玫瑰鲜花花束,,,1,239.00,73.00,166.00,166.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【温暖】11枝粉玫瑰鲜花花束原价239.0元现价79.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减3元	",否,未回复,,0.00分,0.00,,"其他	"
"	20200601-20200630","92952823126568044	","2020-06-29 13:15:23	",118秒,"蓝梦鲜花礼品	","9295282	","丹东	",在线支付,订单完成,配送中,否,229.00,64.00,0.00,170.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,64.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减5.0元	",否,未回复,,0.00分,0.00,"2020-06-29 20:38:02	",
"	20200601-20200630","92952844219315926	","2020-06-12 15:37:35	",127秒,"麦萌花艺生活馆	","9295284	","本溪	",在线支付,订单完成,配送中,否,239.00,106.00,0.00,138.00,"毕业季	",【阳光】6枝向日葵鲜花花束毕业季花礼,,,1,239.00,106.00,133.00,133.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【阳光】6枝向日葵鲜花花束毕业季花礼原价239.0元现价109.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,,0.00分,0.00,"2020-06-12 16:15:45	",
"	20200601-20200630","92952842512213938	","2020-06-15 08:22:28	",62秒,"麦萌花艺生活馆	","9295284	","本溪	",在线支付,订单完成,配送中,否,99.00,96.00,0.00,8.00,"开业花篮	",开业花蓝,,,1,99.00,96.00,3.00,3.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/门店新客立减3.0元/送3元商家代金券	",否,已回复,"感谢您的惠顾与评价，花艺师会用心做好每一束花，把订花人的爱传递给收花人，期待您的再次光临，祝您生活愉快！	",0.00分,0.00,"2020-06-15 11:26:53	",
"	20200601-20200630","92952840744361256	","2020-06-19 21:28:22	",21秒,"麦萌花艺生活馆	","9295284	","本溪	",在线支付,订单完成,配送中,否,289.00,156.00,0.00,138.00,"感恩父亲节	",【宽容】3枝向日葵+19枝香槟玫瑰鲜花手提花篮,,,1,289.00,156.00,133.00,133.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【宽容】3枝向日葵+19枝香槟玫瑰鲜花手提花篮原价289.0元现价159.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,"谢谢你的肯定，你得满意是我们努力的方向，欢迎你的下次光临	",0.00分,0.00,"2020-06-19 22:31:27	",
"	20200601-20200630","92952843586875043	","2020-06-28 15:20:16	",80秒,"麦萌花艺生活馆	","9295284	","本溪	",在线支付,订单完成,配送中,否,229.00,69.00,0.00,165.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,69.00,160.00,160.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/送3元商家代金券	",否,已回复,,0.00分,0.00,"2020-06-28 16:20:12	",
"	20200601-20200630","92952864219315926	","2020-06-12 20:20:44	",30秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,239.00,96.00,0.00,212.00,"爱情告白	",【我心永恒】11枝红玫瑰鲜花花束,,,1,239.00,96.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【我心永恒】11枝红玫瑰鲜花花束原价239.0元现价99.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,,0.00分,0.00,"2020-06-12 21:48:21	",
"	20200601-20200630","92952861929021922	","2020-06-13 07:39:28	",21秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,229.00,86.00,0.00,212.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,86.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价89.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,,0.00分,0.00,"2020-06-13 09:46:57	",
"	20200601-20200630","92952864203491019	","2020-06-14 09:57:06	",11秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,239.00,96.00,0.00,212.00,"爱情告白	",【我心永恒】11枝红玫瑰鲜花花束,,,1,239.00,96.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【我心永恒】11枝红玫瑰鲜花花束原价239.0元现价99.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,,0.00分,0.00,"2020-06-14 11:13:05	",
"	20200601-20200630","92952861644733096	","2020-06-14 13:01:16	",22秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,229.00,86.00,0.00,212.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,86.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价89.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,,0.00分,0.00,"2020-06-14 14:50:20	",
"	20200601-20200630","92952862512213938	","2020-06-15 10:47:15	",32秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,229.00,81.00,5.00,212.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,81.00,148.00,143.00,5.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/用户使用了会员红包减5元/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价89.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,"感谢您的惠顾与评价，花艺师会用心做好每一束花，把订花人的爱传递给收花人，期待您的再次光临，祝您生活愉快！	",0.00分,0.00,"2020-06-15 11:38:08	",
"	20200601-20200630","92952863917333677	","2020-06-15 12:13:10	",255秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,用户提交订单,否,229.00,86.00,0.00,212.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,86.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价89.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,"感谢您的惠顾与评价，花艺师会用心做好每一束花，把订花人的爱传递给收花人，期待您的再次光临，祝您生活愉快！	",0.00分,0.00,"2020-06-15 13:40:22	",
"	20200601-20200630","92952861349265922	","2020-06-15 15:32:58	",12秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,239.00,99.00,0.00,209.00,"爱情告白	",【我心永恒】11枝红玫瑰鲜花花束,,,1,239.00,99.00,140.00,140.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【我心永恒】11枝红玫瑰鲜花花束原价239.0元现价99.0元/送3元商家代金券	",否,已回复,"感谢您的惠顾与评价，花艺师会用心做好每一束花，把订花人的爱传递给收花人，期待您的再次光临，祝您生活愉快！	",0.00分,0.00,"2020-06-15 22:25:58	",
"	20200601-20200630","92952860744361256	","2020-06-19 13:16:44	",25秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,249.00,86.00,0.00,232.00,"毕业季	",【明眸】11枝香槟玫瑰+1枝向日葵鲜花花束毕业季花礼,,,1,249.00,86.00,163.00,163.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【明眸】11枝香槟玫瑰+1枝向日葵鲜花花束毕业季花礼原价249.0元现价89.0元/门店新客立减3.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-19 20:46:13	",
"	20200601-20200630","92952862411492991	","2020-06-20 19:36:59	",0秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,是,179.00,86.00,0.00,162.00,"感恩父亲节	",【和蔼】3枝向日葵+4枝香槟玫瑰鲜花花束,,,1,179.00,86.00,93.00,93.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【和蔼】3枝向日葵+4枝香槟玫瑰鲜花花束原价179.0元现价89.0元/门店新客立减3.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-21 15:26:46	",
"	20200601-20200630","92952862400733140	","2020-06-20 19:24:20	",42秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,259.00,106.00,0.00,222.00,"爱情告白	",【爱在心甜】19枝粉玫瑰鲜花礼盒,,,1,259.00,106.00,153.00,153.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱在心甜】19枝粉玫瑰鲜花礼盒原价259.0元现价109.0元/门店新客立减3.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-20 21:19:19	",
"	20200601-20200630","92952861999123439	","2020-06-21 10:00:02	",179秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,239.00,93.00,0.00,215.00,"感恩父亲节	",【问候】3枝向日葵+7枝香槟玫瑰鲜花花束,,,1,239.00,93.00,146.00,146.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【问候】3枝向日葵+7枝香槟玫瑰鲜花花束原价239.0元现价99.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减3元	",否,未回复,,0.00分,0.00,"2020-06-21 15:10:43	",
"	20200601-20200630","92952862418905312	","2020-06-22 09:16:58	",44秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,239.00,73.00,0.00,235.00,"感恩父亲节	",【温暖】11枝粉玫瑰鲜花花束,,,1,239.00,73.00,166.00,166.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【温暖】11枝粉玫瑰鲜花花束原价239.0元现价79.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减3元	",否,未回复,,0.00分,0.00,"2020-06-22 14:36:18	",
"	20200601-20200630","92952861813158088	","2020-06-23 09:52:52	",18秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,239.00,76.00,0.00,232.00,"爱情告白	",【一吻之间】11枝红玫瑰鲜花花束,,,1,239.00,76.00,163.00,163.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【一吻之间】11枝红玫瑰鲜花花束原价239.0元现价79.0元/门店新客立减3.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-23 15:06:23	",
"	20200601-20200630","92952860661192173	","2020-06-25 11:02:45	",16秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,229.00,64.00,0.00,234.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,64.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减5.0元	",否,未回复,,0.00分,0.00,"2020-06-25 15:47:23	",
"	20200601-20200630","92952861562630905	","2020-06-26 08:01:39	",0秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,是,259.00,130.00,0.00,198.00,"致童年拾童趣	",【拾童趣】零食A款,,,1,259.00,130.00,129.00,129.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【拾童趣】零食A款原价259.0元现价138.0元/门店新客立减5.0元/送3元商家代金券/用户使用了商家代金券减3元	",否,未回复,,0.00分,0.00,"2020-06-27 08:50:14	",
"	20200601-20200630","92952860362605194	","2020-06-27 09:01:49	",121秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,169.00,114.00,0.00,124.00,"向日葵花语	",【动人心弦】3枝向日葵韩式混搭鲜花花束,,"50	",1,169.00,114.00,55.00,55.00,0.00,否,0,0.00,0.00,0.00,是,"满100.0元减50.0元/满69.0元赠精美贺卡下单备注贺卡内容*1/门店新客立减5.0元/送3元商家代金券	",是,已回复,"谢谢您的肯定与好评，在您的鼓励下相信我们会做的更出色的，期待您的再次光临，祝您生活愉快，天天开心哦~O(∩_∩)O~	",0.00分,0.00,"2020-06-27 10:47:52	",
"	20200601-20200630","92952862871595796	","2020-06-30 19:22:16	",160秒,"婉苑鲜花婚庆	","9295286	","齐齐哈尔	",在线支付,订单完成,配送中,否,299.00,144.00,5.00,219.00,"33枝玫瑰专区	",【致吾所爱】33枝红玫瑰鲜花礼盒,,"88	",1,299.00,144.00,155.00,150.00,5.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/用户使用了会员红包减5元/购买【致吾所爱】33枝红玫瑰鲜花礼盒原价299.0元现价149.0元	",否,未回复,,0.00分,0.00,"2020-07-01 01:11:32	",
"	20200601-20200630","92953250205334896	","2020-06-12 14:26:55	",176秒,"美家鲜花礼品店	","9295325	","岳阳	",在线支付,订单完成,配送中,否,239.00,96.00,0.00,148.00,"爱情告白	",【我心永恒】11枝红玫瑰鲜花花束,,,1,239.00,96.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【我心永恒】11枝红玫瑰鲜花花束原价239.0元现价99.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,,0.00分,0.00,"2020-06-12 15:14:10	",
"	20200601-20200630","92953251594930278	","2020-06-17 16:10:28	",42秒,"美家鲜花礼品店	","9295325	","岳阳	",在线支付,订单完成,配送中,否,239.00,96.00,0.00,148.00,"爱情告白	",【一吻之间】11枝红玫瑰鲜花花束,,,1,239.00,96.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【一吻之间】11枝红玫瑰鲜花花束原价239.0元现价99.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,"炎炎夏日，鲜花传情，感谢您的喜欢和信任，每一束鲜花都是经过花艺师精心设计细心制作的。您是有眼光的，我们是负责任的。赠人玫瑰手有余香，初心不改，花开相爱。再次感谢您的鼓励和支持，祝您生活愉快，工作顺利！	",0.00分,0.00,"2020-06-17 18:52:47	",
