,0,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,有效订单数,下单新客人数,复购人数,入店转化率,下单转化率,新客转化率,有效率,复购率,原价交易额,实付交易额,商家补贴金额,原价客单价,实付客单价,cluster
63,20200601,20200630,9338709,开封市玺花诚园艺有限公司,鲜花组,河南省,开封,否,20200619,在线,17,17.6,2235,44,2,2,2,0,1.97,0.05,1,1,0,398,185,223,199,92.5,0
51,20200601,20200630,9314605,馨悦花店,鲜花组,河北省,唐山,否,20200612,在线,14,14.6,2231,45,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0
18,20200601,20200630,9221239,花仙子,鲜花组,黑龙江省,鹤岗,否,20200602,在线,10,10.7,2171,85,1,1,1,0,3.92,0.01,1,1,0,239,68,171,239,68,0
84,20200601,20200630,9382867,维罗纳花坊,鲜花组,吉林省,长春,否,20200623,在线,12,12.5,2105,46,3,3,3,0,2.19,0.07,1,1,0,707,254,468,235.6666667,84.66666667,0
44,20200601,20200630,9295284,麦萌花艺生活馆,鲜花组,辽宁省,本溪,否,20200609,在线,16,16.5,2095,47,3,4,3,0,2.24,0.06,1,1.333333333,0,856,427,449,285.3333333,142.3333333,0
39,20200601,20200630,9288324,鑫鑫花艺,鲜花组,辽宁省,锦州,否,20200613,在线,14,14.9,2055,46,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0
34,20200601,20200630,9280257,百花庄花卉,鲜花组,湖南省,益阳,否,20200609,在线,12,12.8,2013,43,4,4,4,0,2.14,0.09,1,1,0,1016,375,661,254,93.75,0
31,20200601,20200630,9268522,7号花舍,鲜花组,黑龙江省,双鸭山,否,20200606,在线,22,22.9,2011,48,0,0,0,0,2.39,0,0,0,0,0,0,0,0,0,0
81,20200601,20200630,9366382,集美花艺,鲜花组,云南省,昆明,否,20200619,在线,14,14.7,1967,34,0,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0
68,20200601,20200630,9339177,阳光鲜花,鲜花组,河北省,保定,否,20200617,在线,9,9.3,1940,38,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
11,20200601,20200630,9043995,情缘婚庆,鲜花组,福建省,南平,否,20200508,在线,16,15.8,1922,71,4,3,3,1,3.69,0.06,0.75,0.75,0.25,727,293,439,181.75,73.25,0
57,20200601,20200630,9319651,爱尚花坊,鲜花组,内蒙古自治区,呼伦贝尔,否,20200613,在线,14,14.3,1896,61,3,3,3,0,3.22,0.05,1,1,0,887,413,489,295.6666667,137.6666667,0
47,20200601,20200630,9295388,田美花艺,鲜花组,辽宁省,丹东,否,20200611,在线,10,10.9,1882,71,7,7,7,0,3.77,0.1,1,1,0,1503,547,986,214.7142857,78.14285714,0
14,20200601,20200630,9132125,等你花舍,鲜花组,安徽省,合肥,否,20200530,在线,15,15,1874,38,2,2,2,0,2.03,0.05,1,1,0,498,207,301,249,103.5,0
73,20200601,20200630,9350030,北植花屿,鲜花组,吉林省,长春,否,20200617,在线,14,14.4,1833,43,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0
74,20200601,20200630,9352076,花仙子（花店）,鲜花组,陕西省,西安,否,20200618,在线,14,14.4,1820,33,7,6,6,1,1.81,0.21,0.857142857,0.857142857,0.142857143,1394,533,891,199.1428571,76.14285714,0
64,20200601,20200630,9338771,玫瑰之约（艾尚花语鲜花店）,鲜花组,河南省,安阳,否,20200617,在线,12,12.1,1763,47,3,3,3,0,2.67,0.06,1,1,0,717,268,464,239,89.33333333,0
23,20200601,20200630,9257821,姐妹鲜花店,鲜花组,黑龙江省,绥化,否,20200608,在线,11,11.7,1673,106,4,3,3,1,6.34,0.04,0.75,0.75,0.25,767,361,416,191.75,90.25,0
26,20200601,20200630,9263832,花语鲜花坊,鲜花组,辽宁省,葫芦岛,否,20200606,在线,15,15.8,1671,52,2,2,2,0,3.11,0.04,1,1,0,468,210,268,234,105,0
17,20200601,20200630,9221238,南园鲜花坊,鲜花组,辽宁省,盘锦,否,20200602,在线,13,13.9,1632,50,3,3,3,0,3.06,0.06,1,1,0,657,239,433,219,79.66666667,0
35,20200601,20200630,9284178,金缘鲜花,鲜花组,辽宁省,锦州,否,20200619,在线,14,14.7,1620,26,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0
38,20200601,20200630,9288323,凤鲜婚庆花艺,鲜花组,湖南省,益阳,否,20200617,在线,13,13.8,1606,36,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0
43,20200601,20200630,9295282,蓝梦鲜花礼品,鲜花组,辽宁省,丹东,否,20200611,在线,15,14.9,1598,38,1,1,1,0,2.38,0.03,1,1,0,229,64,170,229,64,0
42,20200601,20200630,9291522,婷旭花坊,鲜花组,辽宁省,营口,否,20200609,在线,11,11.5,1589,61,1,0,0,1,3.84,0.02,0,0,1,0,0,0,0,0,0
40,20200601,20200630,9288325,喜洋洋鲜花,鲜花组,内蒙古自治区,乌海,否,20200617,在线,14,13.9,1552,22,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0
69,20200601,20200630,9342535,晶晶花艺,鲜花组,河南省,漯河,否,20200617,在线,12,12.3,1538,49,1,0,0,1,3.19,0.02,0,0,1,0,0,0,0,0,0
53,20200601,20200630,9314607,如意花艺,鲜花组,河南省,南阳,否,20200618,在线,13,13.4,1532,34,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0
66,20200601,20200630,9339174,清香园鲜花,鲜花组,山东省,青岛,否,20200617,在线,13,13.8,1516,25,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0
59,20200601,20200630,9322697,锦上添花鲜花,鲜花组,吉林省,长春,否,20200617,在线,11,11.7,1474,39,2,2,2,0,2.65,0.05,1,1,0,358,125,243,179,62.5,0
78,20200601,20200630,9364821,郁花缘鲜花,鲜花组,山东省,青岛,否,20200619,在线,11,11.7,1470,29,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0
0,20200601,20200630,9024275,花韵花艺馆,鲜花组,河南省,郑州,否,20200508,在线,18,18,1451,42,0,0,0,0,2.89,0,0,0,0,0,0,0,0,0,0
24,20200601,20200630,9257829,1°花艺礼品,鲜花组,陕西省,安康,否,20200605,在线,11,11.9,1356,49,2,2,2,0,3.61,0.04,1,1,0,658,396,272,329,198,0
21,20200601,20200630,9228865,花知语婚典,鲜花组,福建省,龙岩,否,20200612,在线,12,12.8,1326,29,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
49,20200601,20200630,9314599,木子花开,鲜花组,辽宁省,铁岭,否,20200618,在线,14,14.6,1295,72,2,1,1,1,5.56,0.03,0.5,0.5,0.5,229,66,168,114.5,33,0
