订单编号,下单时间,店铺名称,店铺ID,店铺所在城市,订单总金额（元）,退款金额（元）,退款商品,商家服务问题
"92882562418905312	","2020-06-22 16:44:50	","长华花店	","9288256	","抚州	","239.00	","239.00	","【一身正气】6枝向日葵鲜花花束*数量1	","商家拒单；	"
"93146090127887422	","2020-06-30 10:41:56	","Mr.Liu's花店	","9314609	","吕梁	","189.00	","0.00	",,"用户催单；	"
"93238420272445555	","2020-06-28 19:31:59	","花无缺鲜花店	","9323842	","锡林郭勒盟	","239.00	","239.00	","【和蔼可亲】11枝粉玫瑰礼盒*数量1	","商家超时未接单；	"
"92952860362605194	","2020-06-27 09:01:49	","婉苑鲜花婚庆	","9295286	","齐齐哈尔	","169.00	","0.00	",,"用户催单；	"
"93146061800154328	","2020-06-29 10:25:36	","茂业花店	","9314606	","湘西土家族苗族自治州	","299.00	","0.00	",,"用户催单；	"
"92663361922721414	","2020-06-18 15:27:51	","珍馨花店	","9266336	","泉州	","179.00	","179.00	","【果敢】3枝向日葵+6枝香槟玫瑰鲜花花束毕业季花礼*数量1	","商家拒单；	"
"92212381990498538	","2020-06-21 17:22:43	","南园鲜花坊	","9221238	","盘锦	","239.00	","0.00	",,"用户催单；	"
"90433171941881786	","2020-06-01 22:49:50	","花坞	","9043317	","福州	","699.00	","0.00	",,"用户催单；	"
"92636052218359854	","2020-06-25 08:09:01	","都市花乡	","9263605	","朝阳	","259.00	","259.00	","【情投意合】蓝色满天星鲜花花束*数量1	","商家超时未接单；	"
"90433171562630905	","2020-06-26 08:26:38	","花坞	","9043317	","福州	","259.00	","0.00	",,"用户催单；	"
"92238724028531005	","2020-06-24 19:06:13	","天天花坊	","9223872	","郴州	","239.00	","239.00	","【浪漫宣言】11枝红玫瑰+2只小熊鲜花礼盒*数量1	","商家超时未接单；	"
"90433082387217215	","2020-06-16 08:49:30	","时初花艺	","9043308	","咸阳	","239.00	","239.00	","【幸福时光】11枝粉玫瑰鲜花花束*数量1	","商家拒单；	"
