商品名称,商品条码,所属类目,门店在售率(%),门店动销率(%),门店售罄率(%),原价销售额(元),实际销售额(元),总销量,城市销售贡献(%),曝光人数,商品点赞数,商品点踩数,下单人数,带来的订单量,带来的订单交易额(元),店均日均有效售卖时长(小时)
"【爱的约定】粉色满天星礼盒	",--,"其它	",0.84,0.84,0.00,249.0,116.00,1,0.47,34,0,0,1,1,249.00,17.98
"【如此爱你】19枝红玫瑰鲜花花束	",--,"其它	",3.36,1.68,0.00,518.0,277.00,2,1.12,69,0,0,2,2,518.00,15.25
"【和蔼可亲】11枝粉玫瑰礼盒	",--,"其它	",8.40,2.52,0.00,717.0,246.33,3,1.00,75,1,0,3,3,896.00,13.29
"【传递情意】19枝粉玫瑰鲜花礼盒	",--,"其它	",2.52,0.84,0.00,259.0,124.00,1,0.50,82,0,0,1,1,277.00,18.66
"【堂堂正正】6枝香槟玫瑰+6朵白百合+3枝向日葵鲜花花束	",--,"其它	",0.84,0.84,0.00,329.0,159.00,1,0.64,15,1,0,1,1,329.00,14.00
"【平易近人】19枝粉玫瑰鲜花花束	",--,"其它	",0.84,0.84,0.00,259.0,109.00,1,0.44,24,0,0,1,1,259.00,12.00
"【问候】3枝向日葵+7枝香槟玫瑰鲜花花束	",--,"其它	",6.72,5.04,0.00,1434.0,587.00,6,2.37,192,0,0,6,6,1435.00,14.87
"【果敢】3枝向日葵+6枝香槟玫瑰鲜花花束毕业季花礼	",--,"其它	",3.36,1.68,0.00,358.0,210.00,2,0.85,237,0,0,2,2,376.00,17.49
"【明眸】11枝香槟玫瑰+1枝向日葵鲜花花束毕业季花礼	",--,"其它	",5.04,3.36,0.00,1245.0,491.00,5,1.99,226,0,0,5,5,1245.00,17.91
"【拾童趣】99枝棒棒糖	",--,"其它	",0.84,0.84,0.00,699.0,396.00,1,1.60,78,0,0,1,1,699.00,17.98
"【阳光】6枝向日葵鲜花花束毕业季花礼	",--,"其它	",2.52,1.68,0.00,478.0,190.00,2,0.77,48,2,0,2,2,478.00,15.00
"【一身正气】6枝向日葵鲜花花束	",--,"其它	",4.20,1.68,0.00,717.0,299.00,3,1.21,15,0,0,2,2,717.00,17.98
"【浩然正气】9枝向日葵鲜花花束	",--,"其它	",1.68,0.84,0.00,289.0,111.00,1,0.45,10,0,0,1,1,289.00,13.50
"【永恒】粉色满天星花束毕业季花礼	",--,"其它	",6.72,4.20,0.00,1253.0,555.67,7,2.25,374,1,0,7,7,1520.00,15.87
"【爱情鲜花】33枝红玫瑰鲜花礼盒	",--,"其它	",2.52,0.84,0.00,299.0,166.00,1,0.67,66,0,0,1,1,299.00,18.66
"【绘梦】19枝粉百合鲜花花束毕业季花礼	",--,"其它	",0.84,0.84,0.00,269.0,156.00,1,0.63,30,0,0,1,1,269.00,12.00
"【往后余生】3枝向日葵加百合鲜花礼盒	",--,"其它	",1.68,0.84,0.00,239.0,156.00,1,0.63,60,0,0,1,1,239.00,16.99
"【甜蜜记事】19枝红玫瑰鲜花礼盒	",--,"其它	",2.52,0.84,0.00,259.0,126.00,1,0.51,76,0,0,1,1,259.00,18.66
"【爱在心甜】19枝粉玫瑰鲜花礼盒	",--,"其它	",0.84,0.84,0.00,259.0,106.00,1,0.43,35,0,0,1,1,259.00,18.00
"【惊鸿】19枝香槟玫瑰鲜花花束毕业季花礼	",--,"其它	",2.52,0.84,0.00,259.0,119.00,1,0.48,3,0,0,1,1,259.00,20.98
"【一吻之间】11枝红玫瑰鲜花花束	",--,"其它	",11.76,8.40,0.00,2868.0,1020.00,12,4.12,416,1,1,12,12,2869.00,15.32
"【动人心弦】3枝向日葵韩式混搭鲜花花束	",--,"其它	",5.04,2.52,0.00,507.0,399.00,3,1.61,81,0,0,3,3,507.00,17.99
"【坚强】5枝向日葵鲜花花束	",--,"其它	",2.52,1.68,0.00,657.0,253.00,3,1.02,77,0,0,3,3,657.00,13.99
"【浪漫时光】19枝红玫瑰鲜花花束	",--,"其它	",0.84,0.84,0.00,259.0,99.00,1,0.40,10,0,0,1,1,259.00,13.50
"【招财进宝】单层开业花蓝一对	",--,"其它	",1.68,0.84,0.00,99.0,96.00,1,0.39,17,0,0,1,1,99.00,15.00
