,蜂窝,门店总数,订单数,曝光人数,订单方差,实付交易额,平均订单数,平均金额,均客单价,最小客单价,最大客单价,非议订单数,拒单,不接订单,time,蜂窝数量
0,万和汇,37,1404,282541.0,69.3697604411581,158506.49000468652,37.945945945945944,4283.959189315852,114.91468550379184,43.75,204.88000030517574,71,9,0,4.783783783783784,1
0,辽宁师范大学,33,1317,297154.0,81.67556383198544,74065.35011290765,39.90909090909091,2244.4045488759893,92.10867299646748,12.851281679593574,188.0,15,5,0,4.96969696969697,1
0,时代广场,32,1197,158931.0,59.384400783805276,139723.0800150037,37.40625,4366.346250468866,110.15081347203723,10.0,208.71666971842438,10,1,0,4.5,1
0,甘井子万达广场,24,608,221235.0,36.9225589893068,62502.06005912642,25.333333333333332,2604.252502463601,101.26461749867632,48.0,180.0,20,2,1,4.5,1
0,旅顺新开,59,607,405980.0,11.851161513652439,60087.94003230332,10.288135593220339,1018.439661564463,108.05278690467495,29.689361761225022,179.08571515764496,19,2,2,4.627118644067797,1
0,太原街,34,339,108460.0,15.664059023702617,27322.100091934193,9.970588235294118,803.5911791745351,92.96562935093976,15.0,206.8999938964844,14,8,0,4.911764705882353,1
0,八一路西,16,313,106392.0,30.59404898560067,17891.50002115964,19.5625,1118.2187513224776,104.9662852421131,20.382857322692868,181.14285714285717,9,4,0,4.5,1
0,奥林匹克,49,225,144196.0,8.14943343467032,19713.840014833953,4.591836734693878,402.3232656088562,130.9095436923556,14.995263156628132,346.0,10,8,0,4.979591836734694,1
0,大连科技学院,8,200,55265.0,10.875923606099589,24492.400012709804,25.0,3061.5500015887255,122.5679046179123,109.0192309893093,140.5076916034403,0,0,0,4.5,1
0,泉水西,12,179,62159.0,15.06023260313751,21816.60001373291,14.916666666666666,1818.0500011444092,156.42676857517625,69.09333394368484,453.0,10,10,0,3.8333333333333335,1
0,金州体育场,31,176,168970.0,9.199228579158847,20868.91000366211,5.67741935483871,673.1906452794229,112.6656717697719,7.0,190.0,8,1,1,4.967741935483871,1
0,金州古城,26,169,128993.0,4.310452412450461,18858.389984130856,6.5,725.3226916973406,111.40289165569712,75.0,191.0,3,1,0,4.730769230769231,1
