商品名称,商品条码,所属类目,门店在售率(%),门店动销率(%),门店售罄率(%),原价销售额(元),实际销售额(元),总销量,城市销售贡献(%),曝光人数,商品点赞数,商品点踩数,下单人数,带来的订单量,带来的订单交易额(元),店均日均有效售卖时长(小时)
"『BlackyarnE2款』99枝红玫瑰花520送女友鲜花	",--,"其它	",2.58,0.09,0.00,698.0,598.00,1,2.36,4,0,0,1,1,698.00,19.74
"『美满良缘』11枝红玫瑰搭配桔梗韩式花束七夕情人节礼物鲜花	",--,"其它	",0.92,0.18,0.00,596.0,238.00,2,0.94,17,0,0,2,2,596.00,21.04
"『皓月当空』11枝红玫瑰满天星礼盒520情人节礼物送女友鲜花	",--,"其它	",1.75,0.09,0.00,158.0,108.00,1,0.43,25,0,0,1,1,158.00,14.70
"『盛夏光年』33枝红玫瑰黑纱花束七夕情人节送女友鲜花店	",--,"其它	",0.09,0.09,0.00,178.0,168.00,1,0.66,4,0,0,1,1,228.00,23.97
"『店长力荐』11枝粉玫瑰鲜花花束送女友送爱人生日礼物	",--,"其它	",0.09,0.09,0.00,205.0,98.00,1,0.39,87,0,0,1,1,205.00,23.98
"『爱意绵绵』9枝混搭玫瑰韩式花束送女友送老婆鲜花	",--,"其它	",9.67,1.66,0.00,5264.0,2212.00,28,8.73,540,2,0,27,28,5289.00,17.11
"『魂牵梦索』满天星鲜花花束520情人节礼物送女友推荐鲜花	",--,"其它	",0.55,0.09,0.00,278.0,178.00,1,0.70,2,0,0,1,1,278.00,20.34
"『如故』33枝粉玫瑰花束 送情人 送女友 送闺蜜 鲜花店	",--,"其它	",0.74,0.09,0.00,299.0,269.00,1,1.06,3,0,0,1,1,299.00,11.61
"『锲而不舍』19枝粉玫瑰搭配尤加利花束七夕礼物情人节鲜花	",--,"其它	",0.09,0.09,0.00,278.0,139.00,1,0.55,35,0,0,1,1,278.00,23.98
"『白头相守』11枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花	",--,"其它	",0.83,0.09,0.00,216.0,119.00,1,0.47,10,0,0,1,1,216.00,11.99
"『三生有幸』19枝康乃馨花束送女友送父母生日鲜花	",--,"其它	",0.18,0.09,0.00,239.0,139.00,1,0.55,4,0,0,1,1,239.00,20.74
"『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店	",--,"其它	",0.18,0.09,0.00,245.0,109.00,1,0.43,2,0,0,1,1,245.00,11.99
"『温香艳玉』11枝红玫瑰花搭配尤加利圣诞礼盒生日礼物鲜花店	",--,"其它	",3.59,0.55,0.00,1188.0,594.00,6,2.34,118,0,0,6,6,1188.00,14.20
"『美丽动人』9枝红玫瑰搭配尤加利韩式花束送女友送老婆鲜花	",--,"其它	",2.76,0.55,0.00,1128.0,472.41,6,1.86,81,1,0,6,6,1274.90,14.28
"『日常家居鲜花』3枝白百合（一公里内配送，不带瓶装。）	",--,"其它	",2.39,0.18,0.00,97.8,59.24,2,0.23,2,0,0,2,2,278.40,18.87
"天堂鸟搭配灰色瓷盆A	",--,"其它	",1.57,0.09,0.00,368.0,338.00,1,1.33,1,0,0,1,1,398.00,18.46
"『霞裙月帔』草莓味棒棒糖搭配薯片包秋天的第一个包包	",--,"其它	",0.37,0.09,0.00,139.0,89.00,1,0.35,3,0,0,1,1,149.00,9.74
"『天生丽质』向日葵粉康乃馨洋桔梗小花束毕业季送老师送师生鲜花	",--,"其它	",1.93,0.37,0.00,668.0,264.00,4,1.04,93,0,0,4,4,668.00,15.44
