订单编号,下单时间,店铺名称,店铺ID,店铺所在城市,订单总金额（元）,退款金额（元）,退款商品,商家服务问题
"94278903982058332	","2020-08-25 14:54:51	","上辰花店鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9427890	","泉州	","329.00	","0.00	",,"用户催单；	"
"95784212141837702	","2020-08-25 13:16:35	","花幻之境鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9578421	","安阳	","259.00	","0.00	",,"用户催单；	"
"94798813123430734	","2020-08-25 14:35:18	","鲜花朵朵鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9479881	","舟山	","259.00	","0.00	",,"用户催单；	"
"95235802386186755	","2020-08-25 13:22:31	","甜蜜花坊鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9523580	","大同	","264.00	","0.00	",,"用户催单；	"
"94798810890902196	","2020-08-25 15:24:28	","鲜花朵朵鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9479881	","舟山	","329.00	","0.00	",,"用户催单；	"
"94278903605089781	","2020-08-25 19:37:06	","上辰花店鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9427890	","泉州	","269.00	","0.00	",,"用户催单；	"
"95784211223213925	","2020-08-25 14:54:04	","花幻之境鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9578421	","安阳	","339.00	","0.00	",,"用户催单；	"
"94798813605089781	","2020-08-25 16:29:53	","鲜花朵朵鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9479881	","舟山	","329.00	","329.00	","【盛夏】19枝粉玫瑰鲜花花束毕业季花礼*数量1	","商家超时未接单；	"
"95297580075108782	","2020-08-25 19:19:55	","花之语鲜花店	","9529758	","黄冈	","379.00	","0.00	",,"用户催单；	"
"94278903774986605	","2020-08-25 19:45:04	","上辰花店鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9427890	","泉州	","259.00	","0.00	",,"用户催单；	"
"94826320358768070	","2020-08-25 10:08:29	","幸福花园鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9482632	","郴州	","259.00	","0.00	",,"用户催单；	"
"95784213968253920	","2020-08-25 16:58:35	","花幻之境鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9578421	","安阳	","239.00	","0.00	",,"用户催单；	"
"95297623470084206	","2020-08-25 07:41:31	","爱尚馨缘鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529762	","长沙	","329.00	","329.00	","【此情不渝】11枝蓝色妖姬鲜花礼盒（真花上色）*数量1	","商家拒单；	"
"94279353382704585	","2020-08-25 08:48:03	","花满庭花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9427935	","莆田	","399.00	","0.00	",,"用户催单；	"
"94712102141837702	","2020-08-25 12:24:38	","先花店鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9471210	","长沙	","259.00	","259.00	","【花开相爱】11枝红玫瑰鲜花花束-七夕节表白鲜花*数量1	","用户催单；	"
"95784213774986605	","2020-08-25 19:48:25	","花幻之境鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9578421	","安阳	","259.00	","0.00	",,"用户催单；	"
"95297622631357360	","2020-08-25 18:51:04	","爱尚馨缘鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529762	","长沙	","509.00	","0.00	",,"用户催单；	"
"94279350026515543	","2020-08-25 11:47:46	","花满庭花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9427935	","莆田	","259.00	","0.00	",,"用户催单；	"
"94712100358768070	","2020-08-25 13:48:43	","先花店鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9471210	","长沙	","259.00	","0.00	",,"用户催单；	"
"95940413382704585	","2020-08-25 06:50:35	","馨语花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9594041	","仙桃	","279.00	","0.00	",,"用户催单；	"
"94279353968253920	","2020-08-25 13:18:33	","花满庭花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9427935	","莆田	","259.00	","0.00	",,"用户催单；	"
"94712104016847411	","2020-08-25 14:46:00	","先花店鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9471210	","长沙	","259.00	","259.00	","【清新海歌】11枝香槟玫瑰鲜花花束-七夕节表白鲜花*数量1	","用户催单；	"
"95297641269807160	","2020-08-24 03:09:04	","花之坊鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529764	","哈密地区	","519.00	","0.00	",,"用户催单；	"
"94279350062270945	","2020-08-25 19:44:22	","花满庭花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9427935	","莆田	","259.00	","0.00	",,"用户催单；	"
"95940412529093535	","2020-08-25 12:26:32	","馨语花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9594041	","仙桃	","259.00	","0.00	",,"用户催单；	"
"94712103213192828	","2020-08-25 15:33:27	","先花店鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9471210	","长沙	","259.00	","0.00	",,"用户催单；	"
"95297644235444324	","2020-08-24 14:43:59	","花之坊鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529764	","哈密地区	","269.00	","0.00	",,"用户催单；	"
"94328343470084206	","2020-08-25 19:47:07	","馨悦花坊鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9432834	","青岛	","329.00	","0.00	",,"用户催单；	"
"94712101294596594	","2020-08-25 15:53:32	","先花店鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9471210	","长沙	","259.00	","0.00	",,"用户催单；	"
"95940410428454022	","2020-08-25 13:05:01	","馨语花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9594041	","仙桃	","259.00	","0.00	",,"用户催单；	"
"94755842386186755	","2020-08-25 11:03:04	","爱美鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9475584	","邵阳	","259.00	","0.00	",,"用户催单；	"
"94156150472979596	","2020-08-25 14:18:46	","一花一木花艺生活馆(七夕节预定,生日鲜花，表白鲜花)	","9415615	","海口	","1299.00	","0.00	",,"拣货超时；	"
"95297642747374586	","2020-08-24 16:22:33	","花之坊鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529764	","哈密地区	","399.00	","0.00	",,"用户催单；	"
"94755843382704585	","2020-08-25 11:55:05	","爱美鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9475584	","邵阳	","319.00	","319.00	","【深情厚谊】6枝向日葵+11枝粉玫瑰鲜花花束*数量1	","商家拒单；	"
"95940411165886577	","2020-08-25 13:07:54	","馨语花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9594041	","仙桃	","259.00	","0.00	",,"用户催单；	"
"94156152631357360	","2020-08-25 14:52:11	","一花一木花艺生活馆(七夕节预定,生日鲜花，表白鲜花)	","9415615	","海口	","289.00	","0.00	",,"拣货超时；	"
"94755841300204059	","2020-08-25 12:23:56	","爱美鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9475584	","邵阳	","259.00	","0.00	",,"用户催单；	"
"94156152665365337	","2020-08-25 16:13:12	","一花一木花艺生活馆(七夕节预定,生日鲜花，表白鲜花)	","9415615	","海口	","259.00	","0.00	",,"拣货超时；	"
"95297640915830123	","2020-08-24 18:19:54	","花之坊鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529764	","哈密地区	","239.00	","0.00	",,"用户催单；	"
"94755840358768070	","2020-08-25 12:28:49	","爱美鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9475584	","邵阳	","259.00	","0.00	",,"用户催单；	"
"95940410062270945	","2020-08-25 13:20:14	","馨语花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9594041	","仙桃	","259.00	","0.00	",,"用户催单；	"
"94164972386186755	","2020-08-25 11:52:51	","柳柳花舍鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9416497	","重庆	","349.00	","0.00	",,"用户催单；	"
"94755844016847411	","2020-08-25 12:47:26	","爱美鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9475584	","邵阳	","309.00	","309.00	","【手捧幸福】33枝粉康乃馨鲜花礼盒*数量1	","商家拒单；	"
"94164972718691708	","2020-08-25 15:07:54	","柳柳花舍鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9416497	","重庆	","329.00	","0.00	",,"用户催单；	"
"95298123213192828	","2020-08-25 12:27:38	","微妮初花坊鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529812	","株洲	","329.00	","0.00	",,"用户催单；	"
"95940413266318408	","2020-08-25 14:12:20	","馨语花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9594041	","仙桃	","259.00	","0.00	",,"用户催单；	"
"94755841294596594	","2020-08-25 13:41:06	","爱美鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9475584	","邵阳	","269.00	","0.00	",,"用户催单；	"
"94164971069511785	","2020-08-25 17:26:06	","柳柳花舍鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9416497	","重庆	","259.00	","0.00	",,"用户催单；	"
"95298121294596594	","2020-08-25 12:45:58	","微妮初花坊鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529812	","株洲	","259.00	","0.00	",,"用户催单；	"
"95940430408368023	","2020-08-25 00:20:39	","浪漫花屋鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9594043	","邵阳	","259.00	","0.00	",,"用户催单；	"
"94794642386186755	","2020-08-25 09:17:28	","99花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9479464	","南平	","259.00	","0.00	",,"用户催单；	"
"94180802386186755	","2020-08-25 12:23:44	","唯一鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9418080	","临沂	","899.00	","0.00	",,"拣货超时；	"
"95298123968253920	","2020-08-25 13:34:49	","微妮初花坊鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529812	","株洲	","259.00	","0.00	",,"用户催单；	"
"94794642141837702	","2020-08-25 11:02:45	","99花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9479464	","南平	","259.00	","259.00	","【幸福时光】11枝粉玫瑰鲜花花束-七夕节表白鲜花*数量1	","商家超时未接单；	"
"94180801300204059	","2020-08-25 17:15:41	","唯一鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9418080	","临沂	","259.00	","0.00	",,"拣货超时；	"
"95940432386186755	","2020-08-25 05:53:53	","浪漫花屋鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9594043	","邵阳	","269.00	","0.00	",,"用户催单；	"
"94794641300204059	","2020-08-25 11:48:21	","99花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9479464	","南平	","259.00	","0.00	",,"用户催单；	"
"95298122342655417	","2020-08-25 15:46:08	","微妮初花坊鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529812	","株洲	","259.00	","0.00	",,"用户催单；	"
"94180803892506751	","2020-08-25 21:04:05	","唯一鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9418080	","临沂	","509.00	","0.00	",,"拣货超时；	"
"95940431795091754	","2020-08-25 07:21:39	","浪漫花屋鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9594043	","邵阳	","329.00	","0.00	",,"用户催单；	"
"94154953470084206	","2020-08-25 14:49:30	","芳雅花艺生活馆	","9415495	","渭南	","259.00	","259.00	","【怦然心动】11枝红玫瑰鲜花网红礼盒-七夕节表白鲜花*数量1	","商家超时未接单；	"
"95298120372010069	","2020-08-25 15:48:33	","微妮初花坊鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529812	","株洲	","329.00	","0.00	",,"用户催单；	"
"94156111269807160	","2020-08-24 01:25:44	","圣格花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9415611	","佳木斯	","329.00	","329.00	","【如梦】19枝红玫瑰鲜花花束-七夕节表白鲜花*数量1	","商家超时未接单；	"
"94248131677285159	","2020-08-25 11:01:06	","如意鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9424813	","连云港	","329.00	","329.00	","【满心欢喜】11枝粉玫瑰+5朵白百合鲜花花束*数量1	","商家拒单；	"
"95940431223213925	","2020-08-25 08:39:37	","浪漫花屋鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9594043	","邵阳	","509.00	","0.00	",,"用户催单；	"
"95298131795091754	","2020-08-25 09:43:47	","蝶恋花鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529813	","石家庄	","259.00	","0.00	",,"用户催单；	"
"94156121795091754	","2020-08-25 08:23:01	","利群鲜花批发鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9415612	","青岛	","509.00	","0.00	",,"拣货超时；	"
"96075470408368023	","2020-08-25 08:14:02	","馨语花坊鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9607547	","仙桃	","269.00	","0.00	",,"用户催单；	"
"95298131677285159	","2020-08-25 09:46:40	","蝶恋花鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529813	","石家庄	","259.00	","0.00	",,"用户催单；	"
"94248132141837702	","2020-08-25 11:28:27	","如意鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9424813	","连云港	","1299.00	","1299.00	","【Queen】99枝粉玫瑰皇冠白纱鲜花花束-七夕节表白鲜花*数量1	","商家拒单；	"
"94156123213192828	","2020-08-25 09:23:34	","利群鲜花批发鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9415612	","青岛	","259.00	","0.00	",,"用户催单；	"
"95298133892506751	","2020-08-25 13:45:53	","蝶恋花鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529813	","石家庄	","279.00	","0.00	",,"用户催单；	"
"94156121294596594	","2020-08-25 09:40:53	","利群鲜花批发鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9415612	","青岛	","259.00	","0.00	",,"拣货超时；	"
"96076730408368023	","2020-08-25 08:28:32	","相约玫瑰鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9607673	","衡阳	","259.00	","0.00	",,"用户催单；	"
"94248131300204059	","2020-08-25 11:57:47	","如意鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9424813	","连云港	","329.00	","329.00	","【云淡风来】19枝香槟玫瑰鲜花礼盒-七夕节表白鲜花*数量1	","商家拒单；	"
"95298133123430734	","2020-08-25 15:53:17	","蝶恋花鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529813	","石家庄	","329.00	","0.00	",,"用户催单；	"
"94156122718691708	","2020-08-25 10:06:33	","利群鲜花批发鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9415612	","青岛	","259.00	","0.00	",,"用户催单；	"
"96076731795091754	","2020-08-25 12:49:25	","相约玫瑰鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9607673	","衡阳	","329.00	","0.00	",,"用户催单；	"
"94156122342655417	","2020-08-25 10:59:06	","利群鲜花批发鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9415612	","青岛	","259.00	","0.00	",,"拣货超时；	"
"95298130372010069	","2020-08-25 18:48:29	","蝶恋花鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9529813	","石家庄	","899.00	","899.00	","【真诚的爱】52枝粉玫瑰鲜花花束*数量1	","商家拒单；	"
"94273990890902196	","2020-08-25 09:21:34	","花仙子鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9427399	","吉安	","299.00	","0.00	",,"用户催单；	"
"94156123605089781	","2020-08-25 11:24:16	","利群鲜花批发鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9415612	","青岛	","309.00	","0.00	",,"拣货超时；	"
"96076744016847411	","2020-08-25 03:54:50	","木子花开鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9607674	","玉溪	","382.00	","382.00	","【小幸运】19枝粉玫瑰+粉绣球混搭鲜花花束*数量1	","商家超时未接单；	"
"94156121093934630	","2020-08-25 13:10:13	","利群鲜花批发鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9415612	","青岛	","614.00	","0.00	",,"用户催单；	"
"94278870358768070	","2020-08-25 10:44:14	","花之恋果之园鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9427887	","青岛	","259.00	","0.00	",,"用户催单；	"
"95440293470084206	","2020-08-25 09:47:00	","花儿朵朵鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9544029	","芜湖	","259.00	","0.00	",,"用户催单；	"
"94156122742513103	","2020-08-25 13:32:06	","利群鲜花批发鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9415612	","青岛	","259.00	","0.00	",,"拣货超时；	"
"96076743892506751	","2020-08-25 07:22:57	","木子花开鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9607674	","玉溪	","382.00	","0.00	",,"用户催单；	"
"94389201300204059	","2020-08-25 09:48:31	","拾花间鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9438920	","佛山	","259.00	","0.00	",,"用户催单；	"
"94156151795091754	","2020-08-25 07:17:34	","一花一木花艺生活馆(七夕节预定,生日鲜花，表白鲜花)	","9415615	","海口	","159.00	","0.00	",,"拣货超时；	"
"95440293968253920	","2020-08-25 14:57:24	","花儿朵朵鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9544029	","芜湖	","349.00	","0.00	",,"用户催单；	"
"94389203123430734	","2020-08-25 13:14:06	","拾花间鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9438920	","佛山	","269.00	","269.00	","【蔚蓝星辰】9枝白玫瑰搭配蓝色满天星花束*数量1	","商家拒单；	"
"96076740075108782	","2020-08-25 09:52:58	","木子花开鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9607674	","玉溪	","267.00	","0.00	",,"用户催单；	"
"94156151677285159	","2020-08-25 07:19:06	","一花一木花艺生活馆(七夕节预定,生日鲜花，表白鲜花)	","9415615	","海口	","259.00	","0.00	",,"拣货超时；	"
"95440290372010069	","2020-08-25 15:23:54	","花儿朵朵鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9544029	","芜湖	","399.00	","399.00	","【小幸运】19枝粉玫瑰+粉绣球混搭鲜花花束*数量1	","缺货导致退款；	"
"94389203774986605	","2020-08-25 14:00:05	","拾花间鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9438920	","佛山	","259.00	","259.00	","【浪漫宣言】11枝红玫瑰+2只小熊鲜花礼盒*数量1	","商家拒单；	"
"94156153382704585	","2020-08-25 07:25:25	","一花一木花艺生活馆(七夕节预定,生日鲜花，表白鲜花)	","9415615	","海口	","259.00	","0.00	",,"拣货超时；	"
"94659660408368023	","2020-08-25 16:24:15	","花艺生活馆鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9465966	","贵阳	","329.00	","329.00	","【天使的心跳】19枝粉玫瑰鲜花花束*数量1	","商家超时未接单；	"
"95558811300204059	","2020-08-25 18:02:10	","締玖鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9555881	","保定	","379.00	","0.00	",,"用户催单；	"
