,开始日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,有效订单数,下单新客人数,复购人数,入店转化率,下单转化率,新客转化率,复购率,原价交易额,实付交易额,商家补贴金额,原价客单价,实付客单价,cluster
285,4,8207112,花生活鲜花（书悦花卉）,鲜花组,浙江省,宁波,否,20191220,在线,24,24.0,19545,309,12,11,11,1,1.58,3.88,0.9166666666666666,0.08333333333333333,2865.0,1524.0,1721.0,238.75,127.0,3
12,1,1937925,花生活鲜花（花心苑花店）,鲜花组,湖北省,荆州,否,20170103,在线,22,22.2,19427,164,1,1,1,0,0.84,0.61,1.0,0.0,128.0,105.0,62.0,128.0,105.0,3
308,2,8278267,花生活鲜花（时光对白花店）,鲜花组,河南省,周口,否,20191207,在线,9,9.0,19374,648,7,4,4,3,3.34,1.08,0.5714285714285714,0.42857142857142855,1418.0,570.0,1004.0,202.57142857142858,81.42857142857143,3
219,4,7515286,花生活鲜花（窑辉鲜花礼仪）,鲜花组,西藏自治区,拉萨,否,20190730,在线,14,14.3,19327,866,21,19,17,4,4.48,2.42,0.8095238095238095,0.19047619047619047,7018.0,4488.0,3190.0,334.1904761904762,213.71428571428572,3
41,2,3985407,花生活鲜花（柔兰花艺）,鲜花组,福建省,莆田,否,20171207,在线,20,19.9,19324,679,22,17,15,7,3.51,3.24,0.6818181818181818,0.3181818181818182,5336.0,3203.0,2796.0,242.54545454545453,145.5909090909091,3
142,3,7028637,花生活鲜花（鲜花批发）,鲜花组,黑龙江省,双鸭山,否,20190514,在线,24,24.0,19229,210,4,5,3,1,1.09,1.9,0.75,0.25,1999.0,817.0,1372.0,499.75,204.25,3
201,2,7475294,花生活鲜花（苔米花艺）,鲜花组,山东省,烟台,否,20190723,在线,23,23.5,19098,290,3,3,3,0,1.52,1.03,1.0,0.0,1166.0,506.0,699.0,388.6666666666667,168.66666666666666,3
347,4,8462158,花生活鲜花（鲜花花之语气球DIY）,鲜花组,山东省,济宁,否,20200208,在线,24,24.0,19076,314,6,3,3,3,1.65,1.91,0.5,0.5,698.0,287.0,528.0,116.33333333333333,47.833333333333336,3
134,2,7022271,花生活鲜花（心艺花店）,鲜花组,湖南省,长沙,否,20190514,在线,18,19.0,19028,667,17,14,14,3,3.51,2.55,0.8235294117647058,0.17647058823529413,4988.0,2282.0,3252.0,293.4117647058824,134.23529411764707,3
325,2,8284382,花生活鲜花（胡子花艺）,鲜花组,云南省,昆明,否,20191209,在线,16,16.5,18897,1423,60,48,46,14,7.53,4.22,0.7666666666666667,0.23333333333333334,17012.0,8635.0,10205.0,283.53333333333336,143.91666666666666,3
79,1,5962302,花生活鲜花（众里寻Ta花舍）,鲜花组,甘肃省,兰州,否,20181024,在线,18,18.1,18877,334,10,9,7,3,1.77,2.99,0.7,0.3,4343.0,1161.09,3337.91,434.3,116.109,3
120,2,6881023,花生活鲜花（爱花行）,鲜花组,山东省,枣庄,否,20190415,在线,20,20.4,18792,751,25,20,16,9,4.0,3.33,0.64,0.36,6633.0,3090.0,4323.0,265.32,123.6,3
149,1,7028637,花生活鲜花（鲜花批发）,鲜花组,黑龙江省,双鸭山,否,20190514,在线,24,24.0,18774,202,1,0,0,1,1.08,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
77,2,6104153,花生活鲜花（花伴鲜花）,鲜花组,安徽省,滁州,否,20181125,在线,19,19.1,18741,283,3,2,2,1,1.51,1.06,0.6666666666666666,0.3333333333333333,426.0,350.0,154.0,142.0,116.66666666666667,3
24,1,2527715,花生活鲜花（情缘鲜花店遵义店）,鲜花组,贵州省,遵义,否,20170519,在线,24,24.0,18625,79,0,0,0,0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
97,3,6729448,花生活鲜花（千百卉鲜花店）,鲜花组,贵州省,贵阳,否,20190322,在线,24,24.0,18603,1281,142,135,124,18,6.89,11.09,0.8732394366197183,0.1267605633802817,33090.0,18645.01,19200.99,233.0281690140845,131.30288732394365,3
176,3,7318032,花生活鲜花（朵美鲜花）,鲜花组,辽宁省,辽阳,否,20190704,在线,24,24.0,18536,520,26,27,22,4,2.81,5.0,0.8461538461538461,0.15384615384615385,9096.0,4166.0,5861.0,349.84615384615387,160.23076923076923,3
326,2,8284386,花生活鲜花（花界花店）,鲜花组,广西壮族自治区,贺州,否,20191219,在线,8,8.5,18525,789,29,26,23,6,4.26,3.68,0.7931034482758621,0.20689655172413793,7342.0,4306.0,3889.0,253.17241379310346,148.48275862068965,3
