,开始日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,有效订单数,下单新客人数,复购人数,入店转化率,下单转化率,新客转化率,复购率,原价交易额,实付交易额,商家补贴金额,原价客单价,实付客单价,cluster
25,1,2622811,花生活鲜花（品蕊花屋）,鲜花组,四川省,宜宾,否,20170606,在线,22,22.7,12939,191,8,4,2,6,1.48,4.19,0.25,0.75,1288.0,516.0,928.0,161.0,64.5,2
28,3,3018522,花生活鲜花（源达花艺）,鲜花组,湖南省,常德,否,20170814,在线,24,24.0,12932,244,13,12,8,5,1.89,5.33,0.6153846153846154,0.38461538461538464,2673.0,1667.9,1434.0,205.6153846153846,128.3,2
226,4,7545494,花生活鲜花（柒色花艺馆）,鲜花组,广西壮族自治区,柳州,否,20190730,在线,22,22.3,12911,105,0,0,0,0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
355,4,8471427,心爱之语鲜花,鲜花组,内蒙古自治区,通辽,否,20200225,在线,11,10.5,12879,276,5,4,4,1,2.14,1.81,0.8,0.2,980.0,391.0,735.0,196.0,78.2,2
234,3,7641996,花生活鲜花（花幸福花店襄阳店）,鲜花组,湖北省,襄阳,否,20190830,在线,10,10.2,12873,226,3,3,3,0,1.76,1.33,1.0,0.0,736.0,437.0,416.0,245.33333333333334,145.66666666666666,2
190,4,7392907,花生活鲜花（玫瑰园鲜花）,鲜花组,陕西省,渭南,否,20190719,在线,23,23.6,12870,144,0,0,0,0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
202,1,7427902,花生活鲜花（同心花艺）,鲜花组,贵州省,遵义,否,20190712,在线,24,24.0,12842,50,0,0,0,0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
274,4,8068587,花生活鲜花（花轩子鲜花店）,鲜花组,贵州省,毕节,否,20191205,在线,24,24.0,12821,260,6,5,5,1,2.03,2.31,0.8333333333333334,0.16666666666666666,1762.0,951.0,996.0,293.6666666666667,158.5,2
101,1,6626527,花生活鲜花（博雅鲜花店）,鲜花组,甘肃省,兰州,否,20190310,在线,23,23.7,12797,87,1,0,0,1,0.68,1.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
211,1,7475292,花生活鲜花（馨语花屋）,鲜花组,贵州省,遵义,否,20190719,在线,16,15.9,12788,524,32,32,25,7,4.1,6.11,0.78125,0.21875,8806.0,4739.01,5247.99,275.1875,148.0940625,2
248,1,7642006,花生活鲜花（爱人鲜花）,鲜花组,辽宁省,营口,否,20191126,在线,18,18.6,12768,356,4,1,1,3,2.79,1.12,0.25,0.75,245.0,122.0,162.0,61.25,30.5,2
196,3,7427904,花生活鲜花（我在等你）,鲜花组,江西省,鹰潭,否,20190723,在线,24,24.0,12752,230,2,1,1,1,1.8,0.87,0.5,0.5,128.0,105.0,62.0,64.0,52.5,2
92,3,6582771,花生活鲜花（七彩花艺坊）,鲜花组,辽宁省,营口,否,20190223,在线,24,24.0,12739,451,29,27,24,5,3.54,6.43,0.8275862068965517,0.1724137931034483,6354.0,2904.0,4298.0,219.10344827586206,100.13793103448276,2
397,4,8801607,朝夕花舍,鲜花组,河北省,唐山,否,20200402,在线,16,16.4,12718,444,9,8,8,1,3.49,2.03,0.8888888888888888,0.1111111111111111,2055.0,974.0,1351.0,228.33333333333334,108.22222222222223,2
233,4,7642006,花生活鲜花（爱人鲜花）,鲜花组,辽宁省,营口,否,20191126,在线,24,24.0,12707,250,7,7,7,0,1.97,2.8,1.0,0.0,1494.0,1054.0,674.0,213.42857142857142,150.57142857142858,2
139,4,7028637,花生活鲜花（鲜花批发）,鲜花组,黑龙江省,双鸭山,否,20190514,在线,24,24.0,12686,182,0,0,0,0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
281,4,8207107,花生活鲜花（花叙鲜花店）,鲜花组,江西省,宜春,否,20191219,在线,23,23.2,12662,216,12,10,10,2,1.71,5.56,0.8333333333333334,0.16666666666666666,2329.0,934.0,1775.0,194.08333333333334,77.83333333333333,2
351,4,8471194,花生活鲜花（红日·兰拉德鲜花）,鲜花组,广东省,佛山,否,20200207,在线,24,24.0,12655,151,7,7,7,0,1.19,4.64,1.0,0.0,1413.0,532.0,1151.0,201.85714285714286,76.0,2
5,4,799254,花生活鲜花（花好月缘鲜花店）,鲜花组,福建省,莆田,否,20160322,在线,24,24.0,12632,109,0,0,0,0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
90,3,6543684,花生活鲜花（椰林花店）,鲜花组,上海市,上海,否,20190130,在线,24,24.0,12592,206,10,10,8,2,1.64,4.85,0.8,0.2,3631.0,1570.0,2446.0,363.1,157.0,2
290,1,7994675,花生活鲜花（爱花居鲜花店）,鲜花组,贵州省,贵阳,否,20191207,在线,22,22.3,12560,138,8,9,6,2,1.1,5.8,0.75,0.25,2368.0,1028.0,1652.0,296.0,128.5,2
30,4,3095162,花生活鲜花（花瓣雨花坊）,鲜花组,天津市,天津,否,20170812,在线,20,20.3,12537,104,1,1,1,0,0.83,0.96,1.0,0.0,128.0,75.0,92.0,128.0,75.0,2
104,3,6773717,花生活鲜花（紫薇鲜花坊）,鲜花组,四川省,南充,否,20190424,在线,24,24.0,12524,302,10,10,9,1,2.41,3.31,0.9,0.1,3058.0,1551.0,1892.0,305.8,155.1,2
319,4,8280405,花生活鲜花（臻挚花艺馆）,鲜花组,河北省,廊坊,否,20191213,在线,24,24.0,12514,113,0,0,0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
177,2,7349051,花生活鲜花（花聚花艺馆）,鲜花组,安徽省,合肥,否,20190702,在线,19,19.5,12491,331,18,17,15,3,2.65,5.44,0.8333333333333334,0.16666666666666666,5225.0,2648.0,3235.0,290.27777777777777,147.11111111111111,2
161,4,7207851,花生活鲜花（龙兴花艺）,鲜花组,福建省,龙岩,否,20190603,在线,23,23.7,12453,693,123,124,110,13,5.56,17.75,0.8943089430894309,0.10569105691056911,27231.0,10420.5,21349.0,221.390243902439,84.71951219512195,2
103,1,6729448,花生活鲜花（千百卉鲜花店）,鲜花组,贵州省,贵阳,否,20190322,在线,14,14.8,12453,493,36,35,34,2,3.96,7.3,0.9444444444444444,0.05555555555555555,9351.0,5140.02,5529.98,259.75,142.77833333333334,2
304,1,8207114,花生活鲜花（初吻花坊）,鲜花组,贵州省,遵义,否,20200119,在线,15,15.0,12440,50,0,0,0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
7,1,799254,花生活鲜花（花好月缘鲜花店）,鲜花组,福建省,莆田,否,20160322,在线,24,24.0,12397,126,0,0,0,0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
196,2,7429078,花生活鲜花（印象花坊）,鲜花组,福建省,宁德,否,20190724,在线,16,17.0,12371,383,19,20,17,2,3.1,4.96,0.8947368421052632,0.10526315789473684,7035.0,3319.0,4486.0,370.2631578947368,174.68421052631578,2
270,4,7994668,花生活鲜花（彩雲·鲜花）,鲜花组,贵州省,贵阳,否,20191123,在线,20,20.9,12369,174,12,12,11,1,1.41,6.9,0.9166666666666666,0.08333333333333333,2306.0,1095.0,1679.0,192.16666666666666,91.25,2
235,1,7515288,花生活鲜花（绿如蓝花店）,鲜花组,四川省,达州,否,20190803,在线,24,24.0,12318,95,1,1,1,0,0.77,1.05,1.0,0.0,128.0,99.0,62.0,128.0,99.0,2
257,2,7785895,花生活鲜花（心愿屋鲜花店）,鲜花组,贵州省,贵阳,否,20190912,在线,12,12.4,12312,158,6,4,4,2,1.28,3.8,0.6666666666666666,0.3333333333333333,1605.0,778.0,983.0,267.5,129.66666666666666,2
76,4,6074581,有间花店,鲜花组,安徽省,黄山,否,20181031,在线,23,23.0,12302,244,9,7,6,3,1.98,3.69,0.6666666666666666,0.3333333333333333,1887.0,834.0,1124.0,209.66666666666666,92.66666666666667,2
49,1,4363389,花生活鲜花（意达鲜花店）,鲜花组,河北省,唐山,否,20180201,在线,24,23.0,12297,320,8,5,5,3,2.6,2.5,0.625,0.375,1047.0,785.0,457.0,130.875,98.125,2
120,4,6881023,花生活鲜花（爱花行）,鲜花组,山东省,枣庄,否,20190415,在线,20,20.7,12287,300,21,21,20,1,2.44,7.0,0.9523809523809523,0.047619047619047616,4011.0,1851.9,2978.0,191.0,88.18571428571428,2
127,1,6881023,花生活鲜花（爱花行）,鲜花组,山东省,枣庄,否,20190415,在线,16,16.2,12235,217,4,4,0,4,1.77,1.84,0.0,1.0,1238.0,329.01,1025.99,309.5,82.2525,2
46,2,4389748,花生活鲜花（玫瑰花店2店）,鲜花组,广东省,东莞,否,20180211,在线,19,19.3,12211,272,6,4,4,2,2.23,2.21,0.6666666666666666,0.3333333333333333,1358.0,666.0,848.0,226.33333333333334,111.0,2
322,2,8278460,花生活鲜花（乐陵鲜花店）,鲜花组,山东省,德州,否,20191206,在线,4,4.7,12187,745,4,4,4,0,6.11,0.54,1.0,0.0,1004.0,551.0,609.0,251.0,137.75,2
324,4,8357582,花生活鲜花（遇见BEAUTY）,鲜花组,山东省,菏泽,否,20191219,在线,14,14.1,12169,975,81,79,56,25,8.01,8.31,0.691358024691358,0.30864197530864196,17719.0,8887.0,11595.0,218.7530864197531,109.71604938271605,2
132,1,6928399,花生活鲜花（有间鲜花店）,鲜花组,宁夏回族自治区,银川,否,20190718,在线,24,24.0,12152,302,8,7,7,1,2.49,2.65,0.875,0.125,2132.0,1000.01,1404.99,266.5,125.00125,2
125,2,6928399,花生活鲜花（有间鲜花店）,鲜花组,宁夏回族自治区,银川,否,20190718,在线,17,17.5,12109,334,7,4,4,3,2.76,2.1,0.5714285714285714,0.42857142857142855,1298.0,658.0,796.0,185.42857142857142,94.0,2
251,4,7743133,花生活鲜花（浪漫花语）,鲜花组,江西省,赣州,否,20190904,在线,23,23.9,12083,273,31,31,28,3,2.26,11.36,0.9032258064516129,0.0967741935483871,4816.0,1679.9,3555.0,155.3548387096774,54.190322580645166,2
384,3,8710687,甜美花苑,鲜花组,浙江省,嘉兴,否,20200321,在线,15,15.8,12071,464,14,13,12,2,3.84,3.02,0.8571428571428571,0.14285714285714285,3513.0,1545.0,2142.0,250.92857142857142,110.35714285714286,2
357,1,8435959,花生活鲜花（玫瑰花坊）,鲜花组,山东省,菏泽,否,20200108,在线,13,13.3,12063,421,6,4,4,2,3.49,1.43,0.6666666666666666,0.3333333333333333,1236.0,672.0,720.0,206.0,112.0,2
240,1,7545492,花生活鲜花（湛江畅通鲜花）,鲜花组,广东省,湛江,否,20190805,在线,16,16.9,12062,242,5,2,2,3,2.01,2.07,0.4,0.6,768.0,307.0,539.0,153.6,61.4,2
6,2,799254,花生活鲜花（花好月缘鲜花店）,鲜花组,福建省,莆田,否,20160322,在线,19,19.9,12050,115,2,1,1,1,0.95,1.74,0.5,0.5,258.0,195.0,102.0,129.0,97.5,2
153,2,7194721,花生活鲜花（四季春花艺美学馆）,鲜花组,云南省,丽江,否,20190614,在线,14,14.4,12034,862,66,44,43,23,7.16,7.66,0.6515151515151515,0.3484848484848485,19555.0,10030.0,11226.0,296.2878787878788,151.96969696969697,2
210,2,7514881,花生活鲜花（小简花艺工作室）,鲜花组,浙江省,绍兴,否,20190726,在线,7,7.8,12033,55,0,0,0,0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
118,3,6826712,花生活鲜花（流星花园鲜花）,鲜花组,河北省,廊坊,否,20190423,在线,24,24.0,11989,430,11,8,8,3,3.59,2.56,0.7272727272727273,0.2727272727272727,2495.0,1134.9,1672.0,226.8181818181818,103.17272727272729,2
183,1,7318032,花生活鲜花（朵美鲜花）,鲜花组,辽宁省,辽阳,否,20190704,在线,22,22.0,11971,179,3,3,2,1,1.5,1.68,0.6666666666666666,0.3333333333333333,2439.0,289.08,2188.92,813.0,96.36,2
40,4,3985407,花生活鲜花（柔兰花艺）,鲜花组,福建省,莆田,否,20171207,在线,23,23.6,11901,312,15,14,13,2,2.62,4.81,0.8666666666666667,0.13333333333333333,3339.0,1505.0,2255.0,222.6,100.33333333333333,2
323,2,8280405,花生活鲜花（臻挚花艺馆）,鲜花组,河北省,廊坊,否,20191213,在线,20,20.2,11898,134,2,2,2,0,1.13,1.49,1.0,0.0,638.0,312.0,404.0,319.0,156.0,2
232,2,7641996,花生活鲜花（花幸福花店襄阳店）,鲜花组,湖北省,襄阳,否,20190830,在线,2,2.9,11896,129,0,0,0,0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
268,3,7934075,花生活鲜花（红玫瑰鲜花婚庆）,鲜花组,陕西省,榆林,否,20191210,在线,24,24.0,11879,263,5,4,4,1,2.21,1.9,0.8,0.2,1200.0,594.0,762.0,240.0,118.8,2
200,1,7392907,花生活鲜花（玫瑰园鲜花）,鲜花组,陕西省,渭南,否,20190719,在线,17,17.5,11873,172,3,1,1,2,1.45,1.74,0.3333333333333333,0.6666666666666666,245.0,112.0,172.0,81.66666666666667,37.333333333333336,2
345,1,8357592,花生活鲜花（花心思花艺贵阳店）,鲜花组,贵州省,贵阳,否,20191220,在线,19,19.1,11838,157,18,14,9,9,1.33,11.46,0.5,0.5,2010.0,849.03,1264.97,111.66666666666667,47.16833333333333,2
139,1,7004308,花生活鲜花（曼陀罗花开）,鲜花组,陕西省,宝鸡,否,20190514,在线,24,24.0,11813,89,1,0,0,1,0.75,1.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
135,3,7022271,花生活鲜花（心艺花店）,鲜花组,湖南省,长沙,否,20190514,在线,24,24.0,11765,306,10,10,10,0,2.6,3.27,1.0,0.0,2693.0,1077.0,1923.0,269.3,107.7,2
106,1,6773712,花生活鲜花（花之翼）,鲜花组,贵州省,贵阳,否,20190404,在线,19,19.2,11751,135,3,2,2,1,1.15,2.22,0.6666666666666666,0.3333333333333333,408.0,138.0,348.0,136.0,46.0,2
24,2,2622811,花生活鲜花（品蕊花屋）,鲜花组,四川省,宜宾,否,20170606,在线,18,18.1,11715,297,13,11,9,4,2.54,4.38,0.6923076923076923,0.3076923076923077,3524.0,1663.0,2285.0,271.0769230769231,127.92307692307692,2
361,3,8471427,心爱之语鲜花,鲜花组,内蒙古自治区,通辽,否,20200225,在线,14,13.8,11714,301,12,8,8,4,2.57,3.99,0.6666666666666666,0.3333333333333333,2055.0,1192.0,1175.0,171.25,99.33333333333333,2
130,4,6968235,花生活鲜花（奢漫花艺）,鲜花组,吉林省,长春,否,20190428,在线,24,24.0,11700,227,23,23,20,3,1.94,10.13,0.8695652173913043,0.13043478260869565,1949.5,676.5,1502.0,84.76086956521739,29.41304347826087,2
39,4,3882102,如意花艺,鲜花组,广东省,佛山,否,20180601,在线,17,16.2,11700,163,9,12,5,4,1.39,5.52,0.5555555555555556,0.4444444444444444,1030.0,657.0,524.0,114.44444444444444,73.0,2
208,3,7475402,花生活鲜花（百合花坊）,鲜花组,宁夏回族自治区,中卫,否,20190730,在线,12,12.0,11698,543,21,22,20,1,4.64,3.87,0.9523809523809523,0.047619047619047616,5952.0,3334.0,3466.0,283.42857142857144,158.76190476190476,2
276,3,7994671,花生活鲜花（爱花坊鲜花店）,鲜花组,浙江省,温州,否,20191208,在线,23,23.9,11689,211,5,4,4,1,1.81,2.37,0.8,0.2,1059.0,462.0,753.0,211.8,92.4,2
34,4,3174325,花生活鲜花（乐派花艺）,鲜花组,贵州省,遵义,否,20170822,在线,24,24.0,11682,118,2,2,2,0,1.01,1.69,1.0,0.0,566.0,291.0,353.0,283.0,145.5,2
164,3,7207851,花生活鲜花（龙兴花艺）,鲜花组,福建省,龙岩,否,20190603,在线,24,23.9,11676,653,62,62,44,18,5.59,9.49,0.7096774193548387,0.2903225806451613,14632.0,6879.6,9697.0,236.0,110.96129032258065,2
89,4,6543684,花生活鲜花（椰林花店）,鲜花组,上海市,上海,否,20190130,在线,24,24.0,11663,224,14,14,14,0,1.92,6.25,1.0,0.0,4170.0,2535.0,2051.0,297.85714285714283,181.07142857142858,2
203,1,7427904,花生活鲜花（我在等你）,鲜花组,江西省,鹰潭,否,20190723,在线,18,18.9,11663,249,3,2,0,3,2.13,1.2,0.0,1.0,408.0,144.0,342.0,136.0,48.0,2
157,3,7207842,花生活鲜花（兰草缘花坊鲜花）,鲜花组,安徽省,合肥,否,20190619,在线,22,22.1,11645,201,13,14,11,2,1.73,6.47,0.8461538461538461,0.15384615384615385,2566.0,1203.0,1787.0,197.3846153846154,92.53846153846153,2
72,4,5962302,花生活鲜花（众里寻Ta花舍）,鲜花组,甘肃省,兰州,否,20181024,在线,24,24.0,11626,159,8,7,6,2,1.37,5.03,0.75,0.25,1491.0,690.0,1074.0,186.375,86.25,2
32,2,3114926,花生活鲜花（艺博花艺）,鲜花组,河南省,安阳,否,20170818,在线,3,3.6,11607,133,2,2,2,0,1.15,1.5,1.0,0.0,548.0,341.0,285.0,274.0,170.5,2
131,1,6882165,花生活鲜花（栋梁花卉）,鲜花组,河南省,开封,否,20190423,在线,24,24.0,11582,194,3,2,2,1,1.68,1.55,0.6666666666666666,0.3333333333333333,576.0,270.0,384.0,192.0,90.0,2
39,2,3713872,花生活鲜花（泽凤花店）,鲜花组,安徽省,合肥,否,20171115,在线,14,14.4,11564,187,7,6,6,1,1.62,3.74,0.8571428571428571,0.14285714285714285,1818.0,760.0,1214.0,259.7142857142857,108.57142857142857,2
359,4,8488486,梁氏花木,鲜花组,江西省,萍乡,否,20200210,在线,15,14.5,11550,308,14,14,10,4,2.67,4.55,0.7142857142857143,0.2857142857142857,3018.0,1300.0,2181.0,215.57142857142858,92.85714285714286,2
83,2,6390095,花生活鲜花（倾城鲜花）,鲜花组,湖北省,襄阳,否,20181227,在线,2,2.3,11530,52,0,0,0,0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
259,4,7907143,花生活鲜花（花仙子鲜花店）,鲜花组,湖北省,鄂州,否,20191107,在线,5,5.9,11530,86,0,0,0,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
115,1,6773727,花生活鲜花（水滴鲜花花艺）,鲜花组,山西省,太原,否,20190510,在线,18,18.1,11520,268,10,8,7,3,2.33,3.73,0.7,0.3,9488.0,1171.27,8506.73,948.8,117.127,2
84,4,6395163,花生活鲜花（花海）,鲜花组,浙江省,杭州,否,20181225,在线,18,18.3,11515,563,71,69,58,13,4.89,12.61,0.8169014084507042,0.18309859154929578,20943.0,12257.0,11141.0,294.9718309859155,172.6338028169014,2
81,4,6305029,花生活鲜花（庆祝花卉）,鲜花组,北京市,北京,否,20181210,在线,24,24.0,11502,177,13,15,6,7,1.54,7.34,0.46153846153846156,0.5384615384615384,2958.0,1555.0,1481.1,227.53846153846155,119.61538461538461,2
123,2,6882164,花生活鲜花（天蓉鲜花店）,鲜花组,浙江省,嘉兴,否,20190703,在线,13,13.8,11493,227,3,0,0,3,1.98,1.32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
278,4,8094433,花生活鲜花（清湘花坊）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20191204,在线,24,24.0,11493,604,60,55,51,9,5.26,9.93,0.85,0.15,17026.0,9528.0,9451.0,283.76666666666665,158.8,2
117,1,6773938,花生活鲜花（玫瑰花坊）,鲜花组,重庆市,重庆,否,20190404,在线,18,18.3,11489,183,7,6,6,1,1.59,3.83,0.8571428571428571,0.14285714285714285,1553.0,1066.0,719.0,221.85714285714286,152.28571428571428,2
21,2,2402349,花生活鲜花（静静花艺银盛路店）,鲜花组,宁夏回族自治区,银川,否,20170430,在线,15,15.1,11486,140,5,1,1,4,1.22,3.57,0.2,0.8,370.0,175.0,234.0,74.0,35.0,2
119,3,6826772,花生活鲜花（倾城时光鲜花）,鲜花组,江西省,吉安,否,20190422,在线,22,22.8,11473,499,54,50,45,9,4.35,10.82,0.8333333333333334,0.16666666666666666,11980.0,6612.0,7259.0,221.85185185185185,122.44444444444444,2
13,1,1971869,花生活鲜花（嘿花哨花艺）,鲜花组,贵州省,遵义,否,20170116,在线,21,21.6,11437,67,0,0,0,0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
237,4,7642074,花生活鲜花（云艳花坊）,鲜花组,湖北省,黄冈,否,20190830,在线,15,15.1,11430,428,18,15,11,7,3.74,4.21,0.6111111111111112,0.3888888888888889,2984.0,1280.0,2048.0,165.77777777777777,71.11111111111111,2
271,1,7785896,花生活鲜花（湘湘鲜花蛋糕）,鲜花组,山东省,淄博,否,20190910,在线,24,24.0,11414,127,0,0,0,0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
237,3,7642006,花生活鲜花（爱人鲜花）,鲜花组,辽宁省,营口,否,20191126,在线,24,24.0,11394,409,17,14,14,3,3.59,4.16,0.8235294117647058,0.17647058823529413,3090.0,1662.0,1969.0,181.76470588235293,97.76470588235294,2
189,2,7392902,花生活鲜花（花先生鲜花店）,鲜花组,浙江省,绍兴,否,20190719,在线,13,13.4,11344,129,0,0,0,0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
390,4,8776857,盛世情缘鲜花,鲜花组,辽宁省,营口,否,20200402,在线,17,17.5,11336,205,10,9,10,0,1.81,4.88,1.0,0.0,1194.0,711.0,858.0,119.4,71.1,2
19,2,2220100,花生活鲜花（花花世界鲜花）,鲜花组,湖北省,十堰,否,20170327,在线,2,2.2,11328,72,0,0,0,0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
328,1,8278324,花生活鲜花（翊渡花舍鲜花店）,鲜花组,湖北省,武汉,否,20191206,在线,24,24.0,11315,61,0,0,0,0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
276,4,8071981,花生活鲜花（红豆情鲜花）,鲜花组,北京市,北京,否,20191224,在线,12,12.3,11293,148,7,5,5,2,1.31,4.73,0.7142857142857143,0.2857142857142857,1755.0,878.0,1072.0,250.71428571428572,125.42857142857143,2
75,4,6061744,花生活鲜花（花艺空间）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20181114,在线,24,24.0,11264,189,3,2,1,2,1.68,1.59,0.3333333333333333,0.6666666666666666,407.0,254.0,231.0,135.66666666666666,84.66666666666667,2
288,2,8207112,花生活鲜花（书悦花卉）,鲜花组,浙江省,宁波,否,20191220,在线,24,24.0,11249,254,17,10,10,7,2.26,6.69,0.5882352941176471,0.4117647058823529,3938.0,2601.0,1727.0,231.64705882352942,153.0,2
140,4,7063793,花生活鲜花（俪缘鲜花）,鲜花组,河北省,唐山,否,20190528,在线,23,23.7,11225,82,0,0,0,0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
46,1,4192177,花生活鲜花（国色天香鲜花店）,鲜花组,贵州省,遵义,否,20180103,在线,24,24.0,11224,30,0,0,0,0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
113,1,6773722,花生活鲜花（名缘花卉）,鲜花组,安徽省,六安,否,20190404,在线,22,22.7,11221,86,1,0,0,1,0.77,1.16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
76,3,6061744,花生活鲜花（花艺空间）,鲜花组,新疆维吾尔自治区,乌鲁木齐,否,20181114,在线,18,18.9,11208,238,14,10,10,4,2.12,5.88,0.7142857142857143,0.2857142857142857,2887.0,1899.7,1377.0,206.21428571428572,135.69285714285715,2
251,3,7690567,花生活鲜花（温馨花店）,鲜花组,重庆市,重庆,否,20190916,在线,19,19.0,11182,178,10,11,10,0,1.59,5.62,1.0,0.0,3482.0,1565.0,2341.0,348.2,156.5,2
169,4,7310188,花生活鲜花（伊佰莲鲜花婚庆）,鲜花组,浙江省,绍兴,否,20190620,在线,14,14.0,11161,173,15,14,11,4,1.55,8.67,0.7333333333333333,0.26666666666666666,2372.0,1086.0,1751.0,158.13333333333333,72.4,2
1,4,653643,花生活鲜花（雅景花艺）,鲜花组,广东省,东莞,否,20190422,在线,14,14.0,11117,91,0,0,0,0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
190,3,7392901,花生活鲜花（挚爱一生鲜花店）,鲜花组,福建省,宁德,否,20190724,在线,24,24.0,11094,210,10,8,7,3,1.89,4.76,0.7,0.3,3019.0,1174.0,2157.0,301.9,117.4,2
262,4,7934067,花生活鲜花（浪漫花都）,鲜花组,山西省,运城,否,20191123,在线,21,21.2,11091,175,1,0,0,1,1.58,0.57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
307,4,8278322,花生活鲜花（岭铖花坊）,鲜花组,吉林省,四平,否,20191206,在线,24,24.0,11057,427,5,1,1,4,3.86,1.17,0.2,0.8,245.0,96.0,188.0,49.0,19.2,2
244,4,7672420,花生活鲜花（义乌鲜花婚庆）,鲜花组,浙江省,金华,否,20190827,在线,24,24.0,11039,202,3,2,2,1,1.83,1.49,0.6666666666666666,0.3333333333333333,608.0,310.0,376.0,202.66666666666666,103.33333333333333,2
169,1,7207848,花生活鲜花（原色花店）,鲜花组,四川省,南充,否,20190621,在线,19,19.4,11036,155,8,8,6,2,1.4,5.16,0.75,0.25,6567.0,592.18,6130.82,820.875,74.0225,2
283,1,7994663,花生活鲜花（爱轩花艺）,鲜花组,浙江省,温州,否,20191203,在线,24,24.0,11028,103,1,1,1,0,0.93,0.97,1.0,0.0,470.0,185.0,324.0,470.0,185.0,2
180,2,7349110,花生活鲜花（芳香花艺馆）,鲜花组,安徽省,合肥,否,20190806,在线,24,24.0,11021,238,21,19,17,4,2.16,8.82,0.8095238095238095,0.19047619047619047,6140.0,2957.0,3885.0,292.3809523809524,140.8095238095238,2
362,4,8488489,爱花居晴儿鲜花,鲜花组,山东省,烟台,否,20200211,在线,24,24.0,11002,348,20,22,16,4,3.16,5.75,0.8,0.2,4818.0,1997.0,3671.0,240.9,99.85,2
65,3,5641328,花生活鲜花（成都陌上花开）,鲜花组,四川省,成都,否,20180815,在线,24,24.0,10997,329,20,18,17,3,2.99,6.08,0.85,0.15,3699.0,1715.99,2568.01,184.95,85.7995,2
33,4,3165468,花生活鲜花（甄阿奇花艺）,鲜花组,辽宁省,营口,否,20170916,在线,24,24.0,10990,121,3,2,2,1,1.1,2.48,0.6666666666666666,0.3333333333333333,626.0,372.0,332.0,208.66666666666666,124.0,2
152,4,7194721,花生活鲜花（四季春花艺美学馆）,鲜花组,云南省,丽江,否,20190614,在线,24,24.0,10966,394,26,24,24,2,3.59,6.6,0.9230769230769231,0.07692307692307693,5205.0,2851.0,3290.0,200.19230769230768,109.65384615384616,2
8,3,1330090,花生活鲜花（唯美花艺）,鲜花组,云南省,大理白族自治州,否,20160816,在线,24,24.0,10939,441,6,6,5,1,4.03,1.36,0.8333333333333334,0.16666666666666666,1821.0,889.0,1166.0,303.5,148.16666666666666,2
247,2,7672499,花生活鲜花（绿之源花卉园艺）,鲜花组,湖北省,黄冈,否,20190902,在线,0,0.0,10933,80,0,0,0,0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
378,4,8724585,顺意鲜花店,鲜花组,贵州省,安顺,否,20200323,在线,20,20.8,10927,348,19,15,15,4,3.18,5.46,0.7894736842105263,0.21052631578947367,3285.0,1575.0,1909.0,172.89473684210526,82.89473684210526,2
142,4,7093976,花生活鲜花（花筵万达店）,鲜花组,湖南省,常德,否,20190621,在线,11,11.0,10926,90,0,0,0,0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4,4,783170,花生活鲜花（香香花店）,鲜花组,福建省,厦门,否,20160328,在线,24,24.0,10916,117,1,0,0,1,1.07,0.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
