,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
121,6952198,71.0,0,9,4.5,5.0,5.0
122,6956267,75.0,1,11,5.0,5.0,5.0
123,6967767,83.0,1,40,5.0,5.0,5.0
124,6968235,83.0,0,24,5.0,5.0,5.0
125,7004308,70.0,0,3,0.0,0.0,0.0
126,7022271,66.0,0,11,0.0,0.0,0.0
127,7022273,60.0,0,7,0.0,0.0,0.0
128,7022274,82.0,1,34,4.6,5.0,5.0
129,7022275,56.0,0,5,0.0,0.0,0.0
130,7022276,81.0,0,15,5.0,5.0,5.0
131,7022374,79.0,1,38,4.5,4.9,4.9
132,7022375,79.0,0,17,0.0,0.0,0.0
133,7028637,74.0,1,29,0.0,0.0,0.0
134,7063793,71.0,1,28,5.0,5.0,5.0
135,7088807,67.0,0,3,0.0,0.0,0.0
136,7093976,62.0,0,11,3.0,4.3,4.3
137,7094045,76.0,2,20,4.6,5.0,5.0
138,7160078,54.0,0,0,0.0,0.0,0.0
139,7166109,76.0,0,3,0.0,0.0,0.0
140,7166110,85.0,1,23,4.8,5.0,5.0
141,7166112,54.0,0,8,0.0,0.0,0.0
142,7166113,57.0,0,0,0.0,0.0,0.0
143,7166116,56.0,0,0,0.0,0.0,0.0
144,7166264,80.0,0,18,5.0,5.0,5.0
145,7194721,82.0,0,18,4.5,5.0,5.0
146,7196730,79.0,0,45,4.6,4.7,4.7
147,7207842,80.0,1,13,4.9,5.0,5.0
148,7207843,61.0,0,4,0.0,0.0,0.0
149,7207845,61.0,0,8,0.0,0.0,0.0
150,7207846,82.0,0,14,4.7,5.0,5.0
151,7207847,61.0,0,9,2.0,3.3,3.3
152,7207848,74.0,0,6,5.0,5.0,5.0
153,7207850,68.0,0,3,0.0,0.0,0.0
154,7207851,90.0,3,79,4.5,4.9,4.9
155,7264470,50.0,0,1,0.0,0.0,0.0
156,7264472,59.0,0,3,4.4,5.0,5.0
157,7264474,57.0,0,4,0.0,0.0,0.0
158,7264476,65.0,0,0,5.0,5.0,5.0
159,7280704,65.0,0,5,0.0,0.0,0.0
160,7310176,53.0,0,3,0.0,0.0,0.0
161,7310188,79.0,0,18,4.8,5.0,5.0
162,7311299,62.0,0,0,0.0,0.0,0.0
163,7317971,58.0,0,2,0.0,0.0,0.0
164,7317972,69.0,0,4,0.0,0.0,0.0
