门店,门店ID,城市(城市负责人),体检分,权益奖励,近7日服务问题导致的营业额损失(元),本周触犯红线,上周触犯红线
"花生活鲜花（晴曦花艺）	","4434657	",福州,"58.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（花田故事）	","4439411	",福州,"59.0	",--,724,未触犯红线,未触犯红线
"花生活鲜花（雪莲花艺）	","4464626	",北京,"81.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（祥瑞花艺坊）	","4473272	",天津,"77.0	",提升月均体检分-生意贷-8月,278,未触犯红线,未触犯红线
"花生活鲜花（陌上花开株洲店）	","4742557	",株洲,"64.0	",提升月均体检分-生意贷-8月,352,未触犯红线,未触犯红线
"花生活鲜花（阿西木花艺工作室）	","4885878	",厦门,"56.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（华粤鲜花馆）	","5054488	",厦门,"61.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（撒罗米园艺）	","5056286	",杭州,"52.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（贡贡鲜花坊）	","5121244	",厦门,"57.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"郁涧鲜花坊（七夕情人节，礼物，鲜花）	","5196478	",赤峰,"83.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（四季花屋）	","5332337	",北京,"84.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花稼之约鲜花）	","5345425	",沈阳,"69.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（有钱花）	","5346237	",十堰,"60.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（心怡花店）	","5379291	",上海,"80.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（爱尚鲜花鲜花）	","5550366	",邢台,"62.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（仙丽鲜花）	","5565851	",绵阳,"56.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（花香漫进）	","5582315	",成都,"57.0	",--,542,未触犯红线,未触犯红线
"呆子花艺（七夕预定，告白，生日）	","5630285	",黔东南苗族侗族自治州,"47.0	",--,1035,未触犯红线,未触犯红线
"花生活鲜花（成都陌上花开）	","5641328	",成都,"72.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（唯爱花艺）	","5740741	",银川,"75.0	",提升月均体检分-生意贷-8月,228,未触犯红线,未触犯红线
"花生活鲜花（厦门陌上花开）	","5762294	",厦门,"77.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花家花艺鲜花店）	","5788642	",深圳,"58.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（达奇花艺）	","5845622	",济南,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（六月花坊）	","5860472	",金华,"68.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（俪缘花店）	","5866954	",青岛,"56.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（众里寻Ta花舍）	","5962302	",兰州,"68.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（韦爵爷鲜花）	","6012181	",保定,"54.0	",--,0,未触犯红线,未触犯红线
"白爵至尊婚庆公司·七夕鲜花	","6026797	",昆明,"66.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花艺空间）	","6061744	",乌鲁木齐,"62.0	",--,416,未触犯红线,未触犯红线
"花生活鲜花（花伴鲜花）	","6104153	",滁州,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（艾洛芙花坊）	","6132769	",合肥,"70.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（翔远花艺）	","6197578	",合肥,"54.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（慰馨花艺馆）	","6236483	",重庆,"47.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（庆祝花卉）	","6305029	",北京,"83.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花述鲜花生活馆）	","6355077	",株洲,"66.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（倾城鲜花）	","6390095	",襄阳,"82.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花海）	","6395163	",杭州,"87.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（天缘花艺）	","6405229	",遵义,"73.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（漫漫鲜花坊）	","6503029	",银川,"65.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花花世界兴庆区店）	","6533841	",银川,"56.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（椰林花店）	","6543684	",上海,"69.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（经典鲜花蛋糕）	","6579105	",长春,"68.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（七彩花艺坊）	","6582771	",营口,"77.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（梅婷花店）	","6588555	",厦门,"54.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（唯爱花店）	","6609908	",合肥,"64.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（博雅鲜花店）	","6626527	",兰州,"71.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（萌宠一花语）	","6704550	",安庆,"52.0	",提升月均体检分-生意贷-8月,528,未触犯红线,未触犯红线
"千百卉鲜花店（教师节鲜花）	","6729448	",贵阳,"75.0	",提升月均体检分-生意贷-8月,269,未触犯红线,未触犯红线
"花生活鲜花（無用花艺）	","6773711	",贵阳,"72.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花之翼）	","6773712	",贵阳,"60.0	",提升月均体检分-生意贷-8月,528,未触犯红线,未触犯红线
"花生活鲜花（哈尔滨鲜花批发）	","6773713	",哈尔滨,"68.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（诚信花卉）	","6773714	",重庆,"79.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花城花艺）	","6773715	",廊坊,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（紫薇鲜花坊）	","6773717	",南充,"65.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（好百年婚庆）	","6773719	",岳阳,"65.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花灵珑鲜花）	","6773720	",镇江,"59.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（名缘花卉）	","6773722	",六安,"58.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（荣浩千寻花艺）	","6773725	",西安,"58.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（水滴鲜花花艺）	","6773727	",太原,"79.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（缤纷花屋）	","6773784	",株洲,"84.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（玫瑰花坊）	","6773938	",重庆,"67.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（四季花苑）	","6773939	",宁波,"85.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（鲜花婚庆）	","6773940	",德州,"78.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（百合馆鲜花店）	","6773941	",淮安,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（婷雅花坊）	","6774016	",马鞍山,"87.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花开有时·七夕鲜花	","6774085	",乌鲁木齐,"55.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（LOVE鲜花店）	","6826710	",廊坊,"66.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（流星花园鲜花）	","6826712	",廊坊,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（倾城时光鲜花）	","6826772	",吉安,"84.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花满屋）	","6865867	",合肥,"78.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（爱花行）	","6881023	",枣庄,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（七里香花艺）	","6882162	",遂宁,"52.0	",--,176,未触犯红线,未触犯红线
"花生活鲜花（可可家鲜花）	","6882163	",石家庄,"54.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（天蓉鲜花店）	","6882164	",嘉兴,"66.0	",--,369,未触犯红线,未触犯红线
"花生活鲜花（栋梁花卉）	","6882165	",开封,"73.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（有间鲜花店）	","6928399	",银川,"62.0	",提升月均体检分-生意贷-8月,711,未触犯红线,未触犯红线
"花生活鲜花（伟爵爷仪嘉花艺馆）	","6944778	",烟台,"56.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（韦爵爷花店）	","6952198	",武汉,"77.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（佳人婚庆店）	","6956267	",常州,"80.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花掌门）	","6967767	",抚顺,"77.0	",提升月均体检分-生意贷-8月,176,未触犯红线,未触犯红线
"花生活鲜花（奢漫花艺）	","6968235	",长春,"77.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（曼陀罗花开）	","7004308	",宝鸡,"64.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（心艺花店）	","7022271	",长沙,"65.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花漾flower鲜花店）	","7022273	",北京,"49.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（唯爱花坊）	","7022274	",合肥,"76.0	",提升月均体检分-生意贷-8月,278,未触犯红线,未触犯红线
"花生活鲜花（太阳红花店）	","7022275	",资阳,"71.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（姐姐的花店）	","7022276	",镇江,"70.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（萍萍花店）	","7022374	",上海,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（冉绘鲜花）	","7022375	",吕梁,"75.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（鲜花批发）	","7028637	",双鸭山,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（森森鲜花）	","7063793	",唐山,"71.0	",提升月均体检分-生意贷-8月,284,未触犯红线,未触犯红线
"韦爵爷生活花艺馆（七夕情人节，礼物，鲜花）	","7088807	",哈尔滨,"64.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花筵万达店）	","7093976	",常德,"59.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（铭相花缘）	","7094045	",上海,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（绿家园艺）	","7160078	",厦门,"54.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（花研巧遇）	","7166109	",合肥,"76.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（花香鲜花店）	","7166110	",泸州,"80.0	",提升月均体检分-生意贷-8月,119,未触犯红线,未触犯红线
"花生活鲜花（蒂留香花艺）	","7166112	",六安,"61.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（浪漫鲜花坊）	","7166113	",德州,"56.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（韦爵爷花艺坊）	","7166116	",合肥,"53.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（花开相爱）	","7166264	",合肥,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（四季春花艺美学馆）	","7194721	",丽江,"81.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"友缘鲜花（七夕节日，表白，鲜花）	","7196730	",曲靖,"81.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（兰草缘花坊鲜花）	","7207842	",合肥,"78.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花殿鲜花店）	","7207843	",呼伦贝尔,"61.0	",提升月均体检分-生意贷-8月,278,未触犯红线,未触犯红线
"花生活鲜花（花言巧语花艺坊）	","7207845	",南平,"67.0	",提升月均体检分-生意贷-8月,181,未触犯红线,未触犯红线
"花生活鲜花（极乐莲华鲜花）	","7207846	",杭州,"79.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花匠花艺）	","7207847	",泉州,"68.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（原色花店）	","7207848	",南充,"70.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（尚花坊）	","7207850	",亳州,"78.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（龙兴花艺）	","7207851	",龙岩,"87.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（栖梧花店）	","7264470	",厦门,"60.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（花朝鲜花店）	","7264472	",合肥,"60.0	",--,176,未触犯红线,未触犯红线
"花生活鲜花（密语花坊）	","7264474	",上海,"62.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"邀邀妮之鲜花店（七夕情人节，告白，生日）	","7264476	",湛江,"66.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（槿妍花舍）	","7280704	",泸州,"60.0	",提升月均体检分-生意贷-8月,264,未触犯红线,未触犯红线
"花生活鲜花（新罗区石斛花坊）	","7310176	",龙岩,"50.0	",--,592,未触犯红线,未触犯红线
"花梦谷花卉（七夕节日，表白，鲜花）	","7310188	",绍兴,"75.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（筱月鲜花店）	","7311299	",合肥,"52.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（如意花坊银川店店）	","7317971	",银川,"60.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（知音花艺）	","7317972	",金华,"65.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（朵美鲜花）	","7318032	",辽阳,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"洋洋花语屋（七夕情人节，告白，生日）	","7331152	",眉山,"77.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（馨灵花屋）	","7349050	",南平,"82.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花聚花艺馆(欣园店）	","7349051	",合肥,"72.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（赢聚花行）	","7349052	",上海,"50.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（饰美鲜花）	","7349060	",天津,"58.0	",--,0,未触犯红线,未触犯红线
"芳香花艺馆（顺园店）	","7349110	",合肥,"68.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（非凡花艺）	","7392788	",淮安,"75.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（幸福花店遵义店）	","7392799	",遵义,"52.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（百花轩）	","7392893	",兰州,"74.0	",提升月均体检分-生意贷-8月,784,未触犯红线,未触犯红线
"花生活鲜花（花之物语花店）	","7392896	",南昌,"57.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（阿紫鲜花店）	","7392897	",天津,"61.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花房姑娘鲜花店）	","7392899	",九江,"62.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（如意花坊济南店）	","7392900	",济南,"63.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（挚爱一生鲜花店）	","7392901	",宁德,"62.0	",提升月均体检分-生意贷-8月,711,未触犯红线,未触犯红线
"花生活鲜花（花先生鲜花店）	","7392902	",绍兴,"65.0	",--,1702,未触犯红线,未触犯红线
"花生活鲜花（云槿花艺）	","7392906	",无锡,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（玫瑰园鲜花）	","7392907	",渭南,"60.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（同心花艺）	","7427902	",遵义,"54.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（我在等你）	","7427904	",鹰潭,"63.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（水晶之恋花坊）	","7428704	",中卫,"61.0	",提升月均体检分-生意贷-8月,268,未触犯红线,未触犯红线
"花生活鲜花（印象花坊）	","7429078	",宁德,"70.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（幸福之花）	","7475288	",西安,"59.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（馨语花屋）	","7475292	",遵义,"82.0	",提升月均体检分-生意贷-8月,176,未触犯红线,未触犯红线
"花生活鲜花（520忆花坊）	","7475293	",遵义,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（苔米花艺）	","7475294	",烟台,"73.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（锦卉花艺）	","7475297	",上海,"54.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（香阁丽娜）	","7475298	",遵义,"81.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（宇欣花店）	","7475299	",合肥,"59.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（花缘花店）	","7475300	",东莞,"75.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（百合花坊）	","7475402	",中卫,"72.0	",提升月均体检分-生意贷-8月,278,未触犯红线,未触犯红线
"花生活鲜花（艺轩鲜花）	","7514879	",泉州,"71.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（小姐姐花店）	","7514880	",安庆,"67.0	",提升月均体检分-生意贷-8月,428,未触犯红线,未触犯红线
"花生活鲜花（小简花艺工作室）	","7514881	",绍兴,"79.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（倾城花屋）	","7514883	",徐州,"58.0	",提升月均体检分-生意贷-8月,800,未触犯红线,未触犯红线
"花生活鲜花（启缘花店）	","7514884	",镇江,"71.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（七彩花卉）	","7514886	",黄冈,"78.0	",提升月均体检分-生意贷-8月,318,未触犯红线,未触犯红线
"花生活鲜花（平价鲜花坊）	","7514887	",安顺,"53.0	",--,876,未触犯红线,未触犯红线
"花生活鲜花（名媛花兿）	","7514888	",重庆,"68.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（米粒鲜花之家）	","7514889	",泸州,"57.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（金蔷薇时尚花艺）	","7514890	",襄阳,"81.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花之恋花卉）	","7514891	",珠海,"56.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（花缘轩）	","7514892	",厦门,"78.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（爱尚花艺）	","7514896	",安顺,"82.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（窑辉鲜花礼仪）	","7515286	",拉萨,"74.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（绿如蓝花店）	","7515288	",达州,"73.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（雨辉花店）	","7545487	",福州,"70.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（海天花艺）	","7545488	",咸阳,"65.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花草堂鲜花店）	","7545489	",银川,"75.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（尚品花艺）	","7545490	",郴州,"68.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（湛江畅通鲜花）	","7545492	",湛江,"57.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（柒色花艺馆）	","7545494	",柳州,"60.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（爱琴海鲜花店）	","7546953	",湛江,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（爱花人）	","7622475	",上海,"65.0	",--,0,未触犯红线,未触犯红线
