,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
0,642989,74.0,0,3,3.6,4.6,4.6
1,653643,73.0,0,10,5.0,5.0,5.0
2,714142,75.0,0,6,4.6,4.4,4.4
3,772683,80.0,0,9,5.0,5.0,5.0
4,799254,67.0,0,1,0.0,0.0,0.0
5,833749,61.0,0,0,0.0,0.0,0.0
6,1330090,63.0,0,0,0.0,0.0,0.0
7,1523142,76.0,0,16,5.0,5.0,5.0
8,1696175,83.0,0,11,5.0,5.0,5.0
9,1937925,63.0,0,3,4.8,5.0,5.0
10,1971869,75.0,0,10,4.6,5.0,5.0
11,2006070,77.0,2,5,0.0,0.0,0.0
12,2019807,59.0,0,1,0.0,0.0,0.0
13,2045211,63.0,0,2,3.3,4.6,4.6
14,2068451,50.0,0,0,0.0,0.0,0.0
15,2095123,86.0,9,71,4.6,4.6,4.6
16,2174771,67.0,0,1,0.0,0.0,0.0
17,2220100,56.0,0,3,0.0,0.0,0.0
18,2329256,76.0,0,3,0.0,0.0,0.0
19,2402349,77.0,0,2,4.4,4.4,4.4
20,2482113,61.0,0,2,0.0,0.0,0.0
21,2527715,64.0,0,6,4.0,5.0,5.0
22,2622811,75.0,0,3,4.5,4.4,4.4
23,2666240,78.0,0,3,4.7,4.7,4.7
24,2880558,71.0,0,6,4.6,5.0,5.0
25,2922099,64.0,0,1,0.0,0.0,0.0
26,3018522,80.0,0,6,4.9,5.0,5.0
27,3027069,50.0,0,1,0.0,0.0,0.0
28,3072588,70.0,0,4,0.0,0.0,0.0
29,3095162,54.0,0,5,0.0,0.0,0.0
30,3114926,73.0,0,6,5.0,5.0,5.0
31,3128450,83.0,0,13,4.9,4.8,4.8
32,3165468,61.0,0,0,0.0,0.0,0.0
33,3174325,53.0,0,2,0.0,0.0,0.0
34,3464481,64.0,0,1,0.0,0.0,0.0
35,3468033,86.0,1,51,4.8,4.9,4.9
36,3562612,56.0,0,0,0.0,0.0,0.0
