,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
0,642989,74.0,0,3,0.0,0.0,0.0
1,653643,61.0,0,2,0.0,0.0,0.0
2,714142,75.0,0,4,5.0,0.0,0.0
3,772683,78.0,0,6,0.0,0.0,0.0
4,799254,75.0,0,8,0.0,0.0,0.0
5,833749,69.0,0,2,0.0,0.0,0.0
6,1330090,64.0,0,0,0.0,0.0,0.0
7,1523142,74.0,0,5,0.0,0.0,0.0
8,1696175,72.0,1,4,0.0,0.0,0.0
9,1937925,71.0,0,2,0.0,0.0,0.0
10,1971869,70.0,0,0,0.0,0.0,0.0
11,2006070,75.0,0,4,0.0,0.0,0.0
12,2019807,52.0,0,0,0.0,0.0,0.0
13,2045211,71.0,0,1,0.0,0.0,0.0
14,2068451,45.0,0,0,0.0,0.0,0.0
15,2095123,87.0,10,94,4.9,4.9,4.9
16,2174771,43.0,0,1,0.0,0.0,0.0
17,2220100,62.0,0,7,0.0,0.0,0.0
18,2329256,67.0,1,3,0.0,0.0,0.0
19,2402349,66.0,0,2,0.0,0.0,0.0
20,2482113,61.0,0,1,0.0,0.0,0.0
21,2527715,62.0,0,3,0.0,0.0,0.0
22,2622811,71.0,0,10,0.0,0.0,0.0
23,2666240,70.0,0,2,0.0,0.0,0.0
24,2880558,64.0,0,0,0.0,0.0,0.0
25,2922099,60.0,0,0,0.0,0.0,0.0
26,3018522,55.0,0,3,0.0,0.0,0.0
27,3027069,55.0,0,2,0.0,0.0,0.0
28,3072588,61.0,0,3,0.0,0.0,0.0
29,3095162,55.0,0,3,0.0,0.0,0.0
30,3114926,65.0,0,1,0.0,0.0,0.0
31,3128450,79.0,0,12,5.0,5.0,5.0
32,3165468,48.0,0,3,0.0,0.0,0.0
33,3174325,53.0,0,2,0.0,0.0,0.0
34,3464481,57.0,0,0,0.0,0.0,0.0
35,3468033,88.0,6,68,4.6,5.0,5.0
36,3562612,46.0,0,11,0.0,0.0,0.0
37,3713872,60.0,0,1,0.0,0.0,0.0
38,3985407,82.0,0,6,0.0,0.0,0.0
39,3994932,60.0,0,2,0.0,0.0,0.0
