,日期,城市,门店名称,曝光人数,曝光人数环比,访问人数,访问人数环比,曝光访问转化率,曝光访问转化率环比,意向转化人数,意向转化人数环比,意向转化率,意向转化率环比,Unnamed: 0,城市等级
45,Sep-20,淮安,邂逅花坊鲜花(百合婚礼鲜花),390,-23%,44,-41%,11.28%,-23%,3,-40%,6.82%,1%,50,C1
46,Sep-20,温州,邂逅花坊鲜花(普罗旺斯婚庆),1178,-51%,105,-72%,8.91%,-43%,9,-74%,8.57%,-8%,21,B1
47,Sep-20,烟台,邂逅花坊鲜花(墨兰鲜花店),2020,-24%,161,-20%,7.97%,4%,14,56%,8.70%,95%,40,C1
48,Sep-20,玉林,三叶草花艺坊,1035,-18%,102,-30%,9.86%,-15%,5,67%,4.90%,139%,202,0
49,Sep-20,白山,邂逅花坊鲜花(青青花行),1088,-27%,150,-36%,13.79%,-13%,17,42%,11.33%,122%,308,0
50,Sep-20,秦皇岛,阳光鲜花店,568,5%,50,11%,8.80%,6%,2,100%,4.00%,80%,62,C2
51,Sep-20,秦皇岛,邂逅花坊鲜花(飘香鲜花婚典),791,-41%,82,-43%,10.37%,-3%,2,-50%,2.44%,-13%,62,C2
52,Sep-20,秦皇岛,美洋有约鲜花,607,-29%,22,-21%,3.62%,10%,0,-100%,0.00%,-100%,62,C2
53,Sep-20,绵阳,邂逅花坊鲜花(绮彩花果坊店),1338,-16%,121,-22%,9.04%,-7%,3,-67%,2.48%,-57%,96,D1
54,Sep-20,西宁,邂逅花坊鲜花(情太子花坊),1989,21%,247,108%,12.42%,71%,24,500%,9.72%,189%,98,D1
55,Sep-20,资阳,花语鲜花,28464,-23%,1568,-16%,5.51%,9%,99,-9%,6.31%,8%,264,0
56,Sep-20,资阳,邂逅花坊鲜花(一花一匠),6427,140%,388,-53%,6.04%,-81%,6,200%,1.55%,546%,264,0
57,Sep-20,运城,邂逅花坊(小屋店),1573,-45%,171,-38%,10.87%,13%,6,-62%,3.51%,-39%,122,D2
58,Sep-20,钦州,邂逅花坊鲜花(时尚花坊),1533,-40%,114,-54%,7.44%,-24%,8,-27%,7.02%,60%,230,0
59,Sep-20,镇江,心语花苑,1092,-80%,123,-54%,11.26%,133%,16,129%,13.01%,393%,68,C2
60,Sep-20,镇江,邂逅花坊鲜花心永恒婚礼定制,514,5%,32,-18%,6.23%,-22%,0,-100%,0.00%,-100%,68,C2
61,Sep-20,长春,邂逅花坊鲜花(盛缘花卉),480,-14%,76,9%,15.83%,26%,3,200%,3.95%,176%,35,B2
62,Sep-20,防城港,邂逅花坊鲜花(爱尚店),1184,-73%,189,-45%,15.96%,105%,5,-71%,2.65%,-47%,228,0
63,Sep-20,阳江,缤纷花艺,2151,-33%,148,-50%,6.88%,-26%,10,43%,6.76%,188%,304,0
64,Sep-20,鞍山,邂逅花坊鲜花(金卉花房),922,5%,87,18%,9.44%,11%,2,持平,2.30%,-15%,81,C2
65,Sep-20,马鞍山,邂逅花坊鲜花(婷雅花坊店),24178,-30%,1185,-15%,4.90%,22%,72,-9%,6.08%,7%,100,D1
66,Sep-20,鹰潭,邂逅花坊鲜花·花开时节,515,-37%,38,-64%,7.38%,-43%,1,-75%,2.63%,-31%,192,0
67,Sep-20,鹰潭,邂逅花坊鲜花(鑫美花卉),2028,-20%,409,-35%,20.17%,-19%,36,-27%,8.80%,13%,192,0
68,Sep-20,黄山,邂逅花坊鲜花(百花苑婚庆),507,-42%,57,-48%,11.24%,-11%,4,-43%,7.02%,10%,143,D3
