,Unnamed: 0,门店Id,门店名称,时间,城市,充值金额,补贴金额,合计金额,订单金额,门店Id1
0,0,9026049,花语鲜花,9,资阳,1200,300,1500,13940,93
1,1,770992480,邂逅花坊鲜花（花海花艺）,9,杭州,1400,350,1750,4529,44
2,2,127544279,邂逅花坊鲜花店·婷雅花坊,9,马鞍山,1000,250,1250,11932,112
3,3,126427126,花雨轩花艺,9,长春,200,50,250,4241,33
4,4,652302390,邂逅花坊鲜花(一花一匠),9,资阳,200,50,250,144,5
5,5,130648305,邂逅花坊鲜花(知音婚庆鲜花店),9,金华,1000,250,1250,9035,58
