,日期,店铺所在城市,下单时间,接单时长,是否预订单,商品分类,商品名称,商品原价销售额,商品实付销售额,百分比
1421,1,遵义	,2020-01-01 13:22:05	,192秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,145.0,0.5272727272727272
1432,1,遵义	,2020-01-09 14:48:10	,47秒,否,折扣专区	,『感天动地』19枝红玫瑰鲜花礼盒送亲人送闺蜜送情人鲜花店,298.0,142.0,0.47651006711409394
1478,1,东莞	,2020-01-04 11:10:20	,2秒,否,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,145.0,0.5918367346938775
1510,1,徐州	,2020-01-24 15:39:43	,170秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,126.08,0.45847272727272725
1515,1,镇江	,2020-01-27 10:37:25	,247秒,否,折扣专区	,『Niu郎款』11枝红玫瑰鲜花花束送女友闺蜜圣诞爆款鲜花店,395.0,126.44,0.3201012658227848
1587,1,银川	,2020-01-01 08:35:12	,46秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,144.0,0.5236363636363637
1619,1,黄冈	,2020-01-02 12:10:01	,0秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,145.0,0.5272727272727272
1634,1,黄冈	,2020-01-28 11:37:31	,22秒,否,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,128.0,0.5224489795918368
1677,1,银川	,2020-01-10 11:10:06	,25秒,否,折扣专区	,『情窦初开』19枝粉玫瑰鲜花礼盒送男友 送闺蜜送亲人鲜花店,370.0,142.0,0.3837837837837838
1789,1,毕节	,2020-01-02 00:08:51	,27秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,145.0,0.5272727272727272
1816,1,乌海	,2020-01-24 16:02:45	,0秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,126.05,0.45836363636363636
1818,1,乌海	,2020-01-26 09:42:57	,0秒,否,折扣专区	,『感天动地』19枝红玫瑰鲜花礼盒送亲人送闺蜜送情人鲜花店,298.0,150.0,0.5033557046979866
1820,1,乌鲁木齐	,2020-01-04 19:39:36	,40秒,否,折扣专区	,『Classic B4款』表白神器 11枝红玫瑰+配草鲜花店,268.0,145.0,0.5410447761194029
1824,1,乌鲁木齐	,2020-01-10 10:56:25	,174秒,否,折扣专区	,『魔鬼中的天使』20朵白玫瑰花红玫瑰花混搭礼盒鲜花店爱人推荐,308.0,142.0,0.461038961038961
1889,1,新乡	,2020-01-11 18:00:53	,115秒,否,折扣专区	,『魔鬼中的天使』20朵白玫瑰花红玫瑰花混搭礼盒鲜花店爱人推荐,308.0,135.0,0.4383116883116883
