,日期,店铺所在城市,下单时间,接单时长,是否预订单,商品分类,商品名称,商品原价销售额,商品实付销售额,百分比
35,1,郴州	,2020-01-01 18:16:59	,8秒,否,折扣专区	,『目不转睛』9枝粉玫瑰花束送女友生日礼物鲜花店推荐送闺蜜,245.0,124.0,0.5061224489795918
39,1,郴州	,2020-01-01 13:25:48	,10秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,121.0,0.49387755102040815
63,1,郴州	,2020-01-08 10:34:32	,6秒,否,折扣专区	,『Niu郎款』11枝红玫瑰鲜花花束送女友闺蜜圣诞爆款鲜花店,395.0,122.0,0.30886075949367087
65,1,郴州	,2020-01-08 18:49:50	,8秒,否,折扣专区	,『爆款推荐』9枝玫瑰混搭玫瑰花束生日送女友送闺蜜送老公鲜花店,426.0,124.0,0.29107981220657275
66,1,郴州	,2020-01-09 10:04:18	,6秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,122.0,0.44363636363636366
68,1,郴州	,2020-01-09 07:58:35	,6秒,否,折扣专区	,『痴心』11枝红玫瑰礼盒鲜花送女友闺蜜朋友送女友圣诞爆款,320.0,122.0,0.38125
82,1,郴州	,2020-01-12 19:13:10	,6秒,否,折扣专区	,『爆款推荐』9枝玫瑰混搭玫瑰花束生日送女友送闺蜜送老公鲜花店,295.0,116.0,0.39322033898305087
94,1,郴州	,2020-01-16 15:03:39	,6秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,122.0,0.44363636363636366
112,1,郴州	,2020-01-21 10:29:43	,4秒,否,折扣专区	,『爆款推荐』9枝玫瑰混搭玫瑰花束生日送女友送闺蜜送老公鲜花店,295.0,118.0,0.4
124,1,郴州	,2020-02-01 12:36:22	,7秒,否,折扣专区	,『目不转睛』9枝粉玫瑰花束送女友生日礼物鲜花店推荐送闺蜜,245.0,118.0,0.4816326530612245
250,1,上海	,2020-01-15 19:03:14	,24秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,122.0,0.44363636363636366
476,1,杭州	,2020-01-10 19:47:43	,1秒,否,折扣专区	,『爆款推荐』9枝玫瑰混搭玫瑰花束生日送女友送闺蜜送老公鲜花店,295.0,118.0,0.4
516,1,银川	,2020-01-29 13:27:03	,0秒,是,折扣专区	,『痴心』11枝红玫瑰花礼盒 送女友鼠年朋友生日礼物送女友,320.0,118.0,0.36875
518,1,银川	,2020-01-29 13:29:14	,0秒,否,折扣专区	,『痴心』11枝红玫瑰花礼盒 送女友鼠年朋友生日礼物送女友,320.0,118.0,0.36875
525,1,上海	,2020-01-06 10:20:16	,1秒,否,折扣专区	,『爆款推荐』9枝玫瑰混搭玫瑰花束生日送女友送闺蜜送老公鲜花店,426.0,124.0,0.29107981220657275
556,1,上海	,2020-01-25 18:25:08	,2秒,否,折扣专区	,『Classic B4款』表白神器 11枝红玫瑰+配草鲜花店,268.0,117.05,0.43675373134328355
563,1,营口	,2020-01-03 21:59:19	,0秒,是,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,124.0,0.5061224489795918
645,1,贵阳	,2020-01-16 15:28:17	,47秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,122.0,0.44363636363636366
670,1,南充	,2020-01-19 17:19:16	,124秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,118.0,0.4816326530612245
724,1,宁波	,2020-01-03 13:59:50	,38秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,121.0,0.49387755102040815
726,1,宁波	,2020-01-04 16:51:58	,142秒,否,折扣专区	,『爆款推荐』9枝玫瑰混搭玫瑰花束生日送女友送闺蜜送老公鲜花店,426.0,124.0,0.29107981220657275
744,1,宁波	,2020-01-13 10:17:36	,83秒,否,折扣专区	,『爆款推荐』9枝玫瑰混搭玫瑰花束生日送女友送闺蜜送老公鲜花店,295.0,116.0,0.39322033898305087
745,1,宁波	,2020-01-13 22:38:50	,233秒,否,折扣专区	,『痴心』11枝红玫瑰礼盒鲜花送女友闺蜜朋友送女友圣诞爆款,320.0,118.0,0.36875
792,1,马鞍山	,2020-01-09 17:55:40	,2秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,122.0,0.44363636363636366
799,1,马鞍山	,2020-01-12 10:21:40	,0秒,是,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,122.0,0.49795918367346936
811,1,马鞍山	,2020-01-15 18:54:06	,0秒,否,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,122.0,0.49795918367346936
915,1,常州	,2020-01-19 18:35:32	,1秒,否,折扣专区	,『爆款推荐』9枝玫瑰混搭玫瑰花束生日送女友送闺蜜送老公鲜花店,295.0,118.0,0.4
1031,1,吕梁	,2020-01-24 12:11:30	,279秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,116.85,0.4769387755102041
1174,1,龙岩	,2020-01-05 22:28:18	,1秒,否,折扣专区	,『爆款推荐』9枝玫瑰混搭玫瑰花束生日送女友送闺蜜送老公鲜花店,426.0,124.0,0.29107981220657275
